"Step","harvest_cbamsvo - SW_ep_rew_total","harvest_cbamsvo - SW_ep_rew_total__MIN","harvest_cbamsvo - SW_ep_rew_total__MAX"
"64000","-3322.953125","-3322.953125","-3322.953125"
"128000","-3102.75","-3102.75","-3102.75"
"192000","-2558.6400146484375","-2558.6400146484375","-2558.6400146484375"
"256000","-2394.6500244140625","-2394.6500244140625","-2394.6500244140625"
"320000","-2054.220001220703","-2054.220001220703","-2054.220001220703"
"384000","-1633","-1633","-1633"
"448000","-1424.2499694824219","-1424.2499694824219","-1424.2499694824219"
"512000","-1154.9100036621094","-1154.9100036621094","-1154.9100036621094"
"576000","-923.5399932861328","-923.5399932861328","-923.5399932861328"
"640000","-736.7899932861328","-736.7899932861328","-736.7899932861328"
"704000","-618.739990234375","-618.739990234375","-618.739990234375"
"768000","-475.3899917602539","-475.3899917602539","-475.3899917602539"
"832000","-380.75000762939453","-380.75000762939453","-380.75000762939453"
"896000","-354.7700004577637","-354.7700004577637","-354.7700004577637"
"960000","-311.44000244140625","-311.44000244140625","-311.44000244140625"
"1024000","-272.73999786376953","-272.73999786376953","-272.73999786376953"
"1088000","-242.72000122070312","-242.72000122070312","-242.72000122070312"
"1152000","-194.81000137329102","-194.81000137329102","-194.81000137329102"
"1216000","-163.7599983215332","-163.7599983215332","-163.7599983215332"
"1280000","-153.75000381469727","-153.75000381469727","-153.75000381469727"
"1344000","-129.81999969482422","-129.81999969482422","-129.81999969482422"
"1408000","-104.03999996185303","-104.03999996185303","-104.03999996185303"
"1472000","-82.18000221252441","-82.18000221252441","-82.18000221252441"
"1536000","-34.59999942779541","-34.59999942779541","-34.59999942779541"
"1600000","-13.309999942779541","-13.309999942779541","-13.309999942779541"
"1664000","-1.9699997901916504","-1.9699997901916504","-1.9699997901916504"
"1728000","12.290000140666962","12.290000140666962","12.290000140666962"
"1792000","36.05999976396561","36.05999976396561","36.05999976396561"
"1856000","49.09999895095825","49.09999895095825","49.09999895095825"
"1920000","61.50999867916107","61.50999867916107","61.50999867916107"
"1984000","63.91000032424927","63.91000032424927","63.91000032424927"
"2048000","78.8799991607666","78.8799991607666","78.8799991607666"
"2112000","80.01000118255615","80.01000118255615","80.01000118255615"
"2176000","88.15999984741211","88.15999984741211","88.15999984741211"
"2240000","102.86000061035156","102.86000061035156","102.86000061035156"
"2304000","108.18000030517578","108.18000030517578","108.18000030517578"
"2368000","105.80999946594238","105.80999946594238","105.80999946594238"
"2432000","110.62000274658203","110.62000274658203","110.62000274658203"
"2496000","116.89000129699707","116.89000129699707","116.89000129699707"
"2560000","122.0099983215332","122.0099983215332","122.0099983215332"
"2624000","126.20000076293945","126.20000076293945","126.20000076293945"
"2688000","125.23999977111816","125.23999977111816","125.23999977111816"
"2752000","132.39000129699707","132.39000129699707","132.39000129699707"
"2816000","131.96000289916992","131.96000289916992","131.96000289916992"
"2880000","128.07999992370605","128.07999992370605","128.07999992370605"
"2944000","134.20000076293945","134.20000076293945","134.20000076293945"
"3008000","133.10000038146973","133.10000038146973","133.10000038146973"
"3072000","136.29000282287598","136.29000282287598","136.29000282287598"
"3136000","138.4600009918213","138.4600009918213","138.4600009918213"
"3200000","138.43999862670898","138.43999862670898","138.43999862670898"
"3264000","137.67000007629395","137.67000007629395","137.67000007629395"
"3328000","138.69000244140625","138.69000244140625","138.69000244140625"
"3392000","136.48999977111816","136.48999977111816","136.48999977111816"
"3456000","140.7899990081787","140.7899990081787","140.7899990081787"
"3520000","145.12000274658203","145.12000274658203","145.12000274658203"
"3584000","141.04000282287598","141.04000282287598","141.04000282287598"
"3648000","141.76000022888184","141.76000022888184","141.76000022888184"
"3712000","143.2199993133545","143.2199993133545","143.2199993133545"
"3776000","141.7899990081787","141.7899990081787","141.7899990081787"
"3840000","143.5","143.5","143.5"
"3904000","145.19000053405762","145.19000053405762","145.19000053405762"
"3968000","142.9199981689453","142.9199981689453","142.9199981689453"
"4032000","148.52000045776367","148.52000045776367","148.52000045776367"
"4096000","149.64999961853027","149.64999961853027","149.64999961853027"
"4160000","149.44999885559082","149.44999885559082","149.44999885559082"
"4224000","148.57999992370605","148.57999992370605","148.57999992370605"
"4288000","146.54999923706055","146.54999923706055","146.54999923706055"
"4352000","145.03000259399414","145.03000259399414","145.03000259399414"
"4416000","147.6699981689453","147.6699981689453","147.6699981689453"
"4480000","150.06999969482422","150.06999969482422","150.06999969482422"
"4544000","151.02999877929688","151.02999877929688","151.02999877929688"
"4608000","149.88000106811523","149.88000106811523","149.88000106811523"
"4672000","150.61999893188477","150.61999893188477","150.61999893188477"
"4736000","148.45000076293945","148.45000076293945","148.45000076293945"
"4800000","149.02000045776367","149.02000045776367","149.02000045776367"
"4864000","152.8799991607666","152.8799991607666","152.8799991607666"
"4928000","151.26999855041504","151.26999855041504","151.26999855041504"
"4992000","149.5099983215332","149.5099983215332","149.5099983215332"
"5056000","148.89999961853027","148.89999961853027","148.89999961853027"
"5120000","149.4300022125244","149.4300022125244","149.4300022125244"
"5184000","150.99999809265137","150.99999809265137","150.99999809265137"
"5248000","151.23000144958496","151.23000144958496","151.23000144958496"
"5312000","153.73999786376953","153.73999786376953","153.73999786376953"
"5376000","152.76000213623047","152.76000213623047","152.76000213623047"
"5440000","152.33999824523926","152.33999824523926","152.33999824523926"
"5504000","152.02999687194824","152.02999687194824","152.02999687194824"
"5568000","152.4099998474121","152.4099998474121","152.4099998474121"
"5632000","151.5800018310547","151.5800018310547","151.5800018310547"
"5696000","153.03000259399414","153.03000259399414","153.03000259399414"
"5760000","154.18999862670898","154.18999862670898","154.18999862670898"
"5824000","154.04000282287598","154.04000282287598","154.04000282287598"
"5888000","153.60000038146973","153.60000038146973","153.60000038146973"
"5952000","153.20000457763672","153.20000457763672","153.20000457763672"
"6016000","153.7300033569336","153.7300033569336","153.7300033569336"
"6080000","152.59000205993652","152.59000205993652","152.59000205993652"
"6144000","153.7599983215332","153.7599983215332","153.7599983215332"
"6208000","153.2199993133545","153.2199993133545","153.2199993133545"
"6272000","153.23000144958496","153.23000144958496","153.23000144958496"
"6336000","153.58999824523926","153.58999824523926","153.58999824523926"
"6400000","153.60000228881836","153.60000228881836","153.60000228881836"
"6464000","153.71000289916992","153.71000289916992","153.71000289916992"
"6528000","154.20000457763672","154.20000457763672","154.20000457763672"
"6592000","152.56000137329102","152.56000137329102","152.56000137329102"
"6656000","152.5799961090088","152.5799961090088","152.5799961090088"
"6720000","154.35999870300293","154.35999870300293","154.35999870300293"
"6784000","153.92000198364258","153.92000198364258","153.92000198364258"
"6848000","153.26000022888184","153.26000022888184","153.26000022888184"
"6912000","153.3900032043457","153.3900032043457","153.3900032043457"
"6976000","153.27999687194824","153.27999687194824","153.27999687194824"
"7040000","153.76000213623047","153.76000213623047","153.76000213623047"
"7104000","154.36000061035156","154.36000061035156","154.36000061035156"
"7168000","153.11999893188477","153.11999893188477","153.11999893188477"
"7232000","153.67999839782715","153.67999839782715","153.67999839782715"
"7296000","153.82999992370605","153.82999992370605","153.82999992370605"
"7360000","154.5399990081787","154.5399990081787","154.5399990081787"
"7424000","154.36999893188477","154.36999893188477","154.36999893188477"
"7488000","154.32000350952148","154.32000350952148","154.32000350952148"
"7552000","154.2600040435791","154.2600040435791","154.2600040435791"
"7616000","154.4600009918213","154.4600009918213","154.4600009918213"
"7680000","153.55000114440918","153.55000114440918","153.55000114440918"
"7744000","153.9300022125244","153.9300022125244","153.9300022125244"
"7808000","153.8199977874756","153.8199977874756","153.8199977874756"
"7872000","153.92999839782715","153.92999839782715","153.92999839782715"
"7936000","153.98999977111816","153.98999977111816","153.98999977111816"
"8000000","154.06999969482422","154.06999969482422","154.06999969482422"
"8064000","153.57999992370605","153.57999992370605","153.57999992370605"
"8128000","154.06000137329102","154.06000137329102","154.06000137329102"
"8192000","154.05999946594238","154.05999946594238","154.05999946594238"
"8256000","154.44000053405762","154.44000053405762","154.44000053405762"
"8320000","154.4199981689453","154.4199981689453","154.4199981689453"
"8384000","154.43000030517578","154.43000030517578","154.43000030517578"
"8448000","154.30999946594238","154.30999946594238","154.30999946594238"
"8512000","154.24999809265137","154.24999809265137","154.24999809265137"
"8576000","153.47000122070312","153.47000122070312","153.47000122070312"
