"Step","harvest_cbamsvo - SW_ep_rew_total","harvest_cbamsvo - SW_ep_rew_total__MIN","harvest_cbamsvo - SW_ep_rew_total__MAX"
"6400000","153.1400032043457","153.1400032043457","153.1400032043457"
"6464000","153.72000122070312","153.72000122070312","153.72000122070312"
"6528000","153.73000144958496","153.73000144958496","153.73000144958496"
"6592000","153.64000129699707","153.64000129699707","153.64000129699707"
"6656000","153.05000114440918","153.05000114440918","153.05000114440918"
"6720000","153.04999923706055","153.04999923706055","153.04999923706055"
"6784000","153.64000129699707","153.64000129699707","153.64000129699707"
"6848000","153.81999969482422","153.81999969482422","153.81999969482422"
"6912000","154.26000022888184","154.26000022888184","154.26000022888184"
"6976000","154.25000381469727","154.25000381469727","154.25000381469727"
"7040000","153.52000045776367","153.52000045776367","153.52000045776367"
"7104000","154.17000007629395","154.17000007629395","154.17000007629395"
"7168000","154.35999870300293","154.35999870300293","154.35999870300293"
"7232000","154.01000213623047","154.01000213623047","154.01000213623047"
"7296000","153.76000022888184","153.76000022888184","153.76000022888184"
"7360000","153.73999977111816","153.73999977111816","153.73999977111816"
"7424000","154.43000030517578","154.43000030517578","154.43000030517578"
"7488000","154.26000022888184","154.26000022888184","154.26000022888184"
"7552000","153.75","153.75","153.75"
"7616000","154.3700008392334","154.3700008392334","154.3700008392334"
"7680000","153.8799991607666","153.8799991607666","153.8799991607666"
"7744000","154.2800006866455","154.2800006866455","154.2800006866455"
"7808000","154.39000129699707","154.39000129699707","154.39000129699707"
"7872000","154.63000106811523","154.63000106811523","154.63000106811523"
"7936000","153.48999977111816","153.48999977111816","153.48999977111816"
"8000000","153.4099998474121","153.4099998474121","153.4099998474121"
"8064000","153.30999946594238","153.30999946594238","153.30999946594238"
"8128000","154.27999877929688","154.27999877929688","154.27999877929688"
"8192000","154.23999786376953","154.23999786376953","154.23999786376953"
"8256000","154.35999870300293","154.35999870300293","154.35999870300293"
"8320000","154.35000038146973","154.35000038146973","154.35000038146973"
"8384000","153.7800006866455","153.7800006866455","153.7800006866455"
"8448000","153.8499984741211","153.8499984741211","153.8499984741211"
"8512000","154.5099983215332","154.5099983215332","154.5099983215332"
"8576000","154.45999908447266","154.45999908447266","154.45999908447266"
"8640000","154.0300006866455","154.0300006866455","154.0300006866455"
"8704000","153.9600009918213","153.9600009918213","153.9600009918213"
"8768000","153.89999771118164","153.89999771118164","153.89999771118164"
"8832000","154.4099998474121","154.4099998474121","154.4099998474121"
"8896000","154.5","154.5","154.5"
"8960000","154.4600009918213","154.4600009918213","154.4600009918213"
"9024000","154.3400001525879","154.3400001525879","154.3400001525879"
"9088000","154.29999923706055","154.29999923706055","154.29999923706055"
"9152000","154.35000228881836","154.35000228881836","154.35000228881836"
"9216000","153.79999923706055","153.79999923706055","153.79999923706055"
"9280000","154.41000175476074","154.41000175476074","154.41000175476074"
"9344000","154.41000175476074","154.41000175476074","154.41000175476074"
"9408000","154.35000228881836","154.35000228881836","154.35000228881836"
"9472000","154.55999946594238","154.55999946594238","154.55999946594238"
"9536000","154.4300022125244","154.4300022125244","154.4300022125244"
"9600000","153.93999862670898","153.93999862670898","153.93999862670898"
"9664000","153.8799991607666","153.8799991607666","153.8799991607666"
"9728000","154.54000282287598","154.54000282287598","154.54000282287598"
"9792000","154.5699977874756","154.5699977874756","154.5699977874756"
"9856000","153.92000007629395","153.92000007629395","153.92000007629395"
"9920000","153.96000289916992","153.96000289916992","153.96000289916992"
"9984000","154.39999771118164","154.39999771118164","154.39999771118164"
"10048000","154.5200023651123","154.5200023651123","154.5200023651123"
