"Step","harvest_original_cbam_svo - SW_ep_rew_total","harvest_original_cbam_svo - SW_ep_rew_total__MIN","harvest_original_cbam_svo - SW_ep_rew_total__MAX"
"12736000","93.15999925136566","93.15999925136566","93.15999925136566"
"12800000","142.97000122070312","142.97000122070312","142.97000122070312"
"12864000","130.60999841988087","130.60999841988087","130.60999841988087"
"12928000","113.29000091552734","113.29000091552734","113.29000091552734"
"12992000","82.52999925613403","82.52999925613403","82.52999925613403"
"13056000","51.50000071525574","51.50000071525574","51.50000071525574"
"13120000","85.66000032424927","85.66000032424927","85.66000032424927"
"13184000","63.179999589920044","63.179999589920044","63.179999589920044"
"13248000","38.459999799728394","38.459999799728394","38.459999799728394"
"13312000","19.600000143051147","19.600000143051147","19.600000143051147"
"13376000","8.03000020980835","8.03000020980835","8.03000020980835"
"13440000","-29.600001350045204","-29.600001350045204","-29.600001350045204"
"13504000","-68.72999835014343","-68.72999835014343","-68.72999835014343"
"13568000","-49.55000030994415","-49.55000030994415","-49.55000030994415"
"13632000","-66.2299992442131","-66.2299992442131","-66.2299992442131"
"13696000","-11.560000211000443","-11.560000211000443","-11.560000211000443"
"13760000","87.37000089883804","87.37000089883804","87.37000089883804"
"13824000","99.37000143527985","99.37000143527985","99.37000143527985"
"13888000","125.9200005531311","125.9200005531311","125.9200005531311"
"13952000","149.94999980926514","149.94999980926514","149.94999980926514"
"14016000","141.4800000190735","141.4800000190735","141.4800000190735"
"14080000","161.8100004196167","161.8100004196167","161.8100004196167"
"14144000","182.79000091552734","182.79000091552734","182.79000091552734"
"14208000","192.9999942779541","192.9999942779541","192.9999942779541"
"14272000","171.52000045776367","171.52000045776367","171.52000045776367"
"14336000","175.2600016593933","175.2600016593933","175.2600016593933"
"14400000","177.5","177.5","177.5"
"14464000","185.64999961853027","185.64999961853027","185.64999961853027"
"14528000","212.4199981689453","212.4199981689453","212.4199981689453"
"14592000","195.81000423431396","195.81000423431396","195.81000423431396"
"14656000","189.99999904632568","189.99999904632568","189.99999904632568"
"14720000","203.6099967956543","203.6099967956543","203.6099967956543"
"14784000","219.11999797821045","219.11999797821045","219.11999797821045"
"14848000","232.1700038909912","232.1700038909912","232.1700038909912"
"14912000","221.42999649047852","221.42999649047852","221.42999649047852"
