"Step","lbf10_cbamcausal - SW_ep_rew_total","lbf10_cbamcausal - SW_ep_rew_total__MIN","lbf10_cbamcausal - SW_ep_rew_total__MAX"
"64000","32.53125047683716","32.53125047683716","32.53125047683716"
"128000","32.08999967575073","32.08999967575073","32.08999967575073"
"192000","32.84999871253967","32.84999871253967","32.84999871253967"
"256000","27.480000972747803","27.480000972747803","27.480000972747803"
"320000","24.410000681877136","24.410000681877136","24.410000681877136"
"384000","28.250001668930054","28.250001668930054","28.250001668930054"
"448000","27.38000226020813","27.38000226020813","27.38000226020813"
"512000","29.270002126693726","29.270002126693726","29.270002126693726"
"576000","31.62999939918518","31.62999939918518","31.62999939918518"
"640000","30.239997625350952","30.239997625350952","30.239997625350952"
"704000","27.970001697540283","27.970001697540283","27.970001697540283"
"768000","29.04000234603882","29.04000234603882","29.04000234603882"
"832000","29.300002813339233","29.300002813339233","29.300002813339233"
"896000","29.420002698898315","29.420002698898315","29.420002698898315"
"960000","30.179999589920044","30.179999589920044","30.179999589920044"
"1024000","27.529998779296875","27.529998779296875","27.529998779296875"
"1088000","31.030000686645508","31.030000686645508","31.030000686645508"
"1152000","29.71000075340271","29.71000075340271","29.71000075340271"
"1216000","29.540001392364502","29.540001392364502","29.540001392364502"
"1280000","29.460000038146973","29.460000038146973","29.460000038146973"
"1344000","30.230000019073486","30.230000019073486","30.230000019073486"
"1408000","28.100000381469727","28.100000381469727","28.100000381469727"
"1472000","29.180002450942993","29.180002450942993","29.180002450942993"
"1536000","32.26000189781189","32.26000189781189","32.26000189781189"
"1600000","32.96000146865845","32.96000146865845","32.96000146865845"
"1664000","31.02000331878662","31.02000331878662","31.02000331878662"
"1728000","30.65000009536743","30.65000009536743","30.65000009536743"
"1792000","31.71999979019165","31.71999979019165","31.71999979019165"
"1856000","30.780001163482666","30.780001163482666","30.780001163482666"
"1920000","32.799999475479126","32.799999475479126","32.799999475479126"
"1984000","34.01000213623047","34.01000213623047","34.01000213623047"
"2048000","31.96000051498413","31.96000051498413","31.96000051498413"
"2112000","33.30000019073486","33.30000019073486","33.30000019073486"
"2176000","33.260003089904785","33.260003089904785","33.260003089904785"
"2240000","34.68000268936157","34.68000268936157","34.68000268936157"
"2304000","33.3799991607666","33.3799991607666","33.3799991607666"
"2368000","31.370001554489136","31.370001554489136","31.370001554489136"
"2432000","32.070000886917114","32.070000886917114","32.070000886917114"
"2496000","32.60000133514404","32.60000133514404","32.60000133514404"
"2560000","32.81000280380249","32.81000280380249","32.81000280380249"
"2624000","33.22000026702881","33.22000026702881","33.22000026702881"
"2688000","31.51000165939331","31.51000165939331","31.51000165939331"
"2752000","32.690001010894775","32.690001010894775","32.690001010894775"
"2816000","32.33999800682068","32.33999800682068","32.33999800682068"
"2880000","33.55000114440918","33.55000114440918","33.55000114440918"
"2944000","34.60000133514404","34.60000133514404","34.60000133514404"
"3008000","33.32999920845032","33.32999920845032","33.32999920845032"
"3072000","34.300002098083496","34.300002098083496","34.300002098083496"
"3136000","34.65000104904175","34.65000104904175","34.65000104904175"
"3200000","34.35000038146973","34.35000038146973","34.35000038146973"
"3264000","35.53000068664551","35.53000068664551","35.53000068664551"
"3328000","36.2599983215332","36.2599983215332","36.2599983215332"
"3392000","36.529998779296875","36.529998779296875","36.529998779296875"
"3456000","33.570000648498535","33.570000648498535","33.570000648498535"
"3520000","33.58000087738037","33.58000087738037","33.58000087738037"
"3584000","35.30000019073486","35.30000019073486","35.30000019073486"
"3648000","37.57999849319458","37.57999849319458","37.57999849319458"
"3712000","36.6200008392334","36.6200008392334","36.6200008392334"
"3776000","35.11999845504761","35.11999845504761","35.11999845504761"
"3840000","35.72999858856201","35.72999858856201","35.72999858856201"
"3904000","35.2300009727478","35.2300009727478","35.2300009727478"
"3968000","35.639997482299805","35.639997482299805","35.639997482299805"
"4032000","35.560001850128174","35.560001850128174","35.560001850128174"
"4096000","34.96000051498413","34.96000051498413","34.96000051498413"
"4160000","36.3800003528595","36.3800003528595","36.3800003528595"
"4224000","36.09999895095825","36.09999895095825","36.09999895095825"
"4288000","34.30000066757202","34.30000066757202","34.30000066757202"
"4352000","34.94000005722046","34.94000005722046","34.94000005722046"
"4416000","35.94000005722046","35.94000005722046","35.94000005722046"
"4480000","37.62000131607056","37.62000131607056","37.62000131607056"
"4544000","36.81999921798706","36.81999921798706","36.81999921798706"
"4608000","37.02000284194946","37.02000284194946","37.02000284194946"
"4672000","36.44000220298767","36.44000220298767","36.44000220298767"
"4736000","36.380000829696655","36.380000829696655","36.380000829696655"
"4800000","36.60999846458435","36.60999846458435","36.60999846458435"
"4864000","36.50000071525574","36.50000071525574","36.50000071525574"
"4928000","36.77000331878662","36.77000331878662","36.77000331878662"
"4992000","37.35000038146973","37.35000038146973","37.35000038146973"
"5056000","35.40000033378601","35.40000033378601","35.40000033378601"
"5120000","35.32000255584717","35.32000255584717","35.32000255584717"
"5184000","34.779998540878296","34.779998540878296","34.779998540878296"
"5248000","33.83999967575073","33.83999967575073","33.83999967575073"
"5312000","34.740001916885376","34.740001916885376","34.740001916885376"
"5376000","36.13999843597412","36.13999843597412","36.13999843597412"
"5440000","36.80000019073486","36.80000019073486","36.80000019073486"
"5504000","35.86000156402588","35.86000156402588","35.86000156402588"
"5568000","35.3000009059906","35.3000009059906","35.3000009059906"
"5632000","35.3700008392334","35.3700008392334","35.3700008392334"
"5696000","36.55000066757202","36.55000066757202","36.55000066757202"
"5760000","36.62000226974487","36.62000226974487","36.62000226974487"
"5824000","37.4399995803833","37.4399995803833","37.4399995803833"
