Step,coin3_cbamsvo - SW_ep_rew_total,coin3_cbamsvo - SW_ep_rew_total__MIN,coin3_cbamsvo - SW_ep_rew_total__MAX
4160000,-8.600000202655792,-8.600000202655792,-8.600000202655792
4224000,-8.480000257492065,-8.480000257492065,-8.480000257492065
4288000,-8.060000240802765,-8.060000240802765,-8.060000240802765
4352000,-8.820000112056732,-8.820000112056732,-8.820000112056732
4416000,-9.00000011920929,-9.00000011920929,-9.00000011920929
4480000,-8.220000147819519,-8.220000147819519,-8.220000147819519
4544000,-9.120000004768372,-9.120000004768372,-9.120000004768372
4608000,-9.82000008225441,-9.82000008225441,-9.82000008225441
4672000,-10.599999785423279,-10.599999785423279,-10.599999785423279
4736000,-9.879999876022339,-9.879999876022339,-9.879999876022339
4800000,-9.820000246167183,-9.820000246167183,-9.820000246167183
4864000,-11.259999632835388,-11.259999632835388,-11.259999632835388
4928000,-10.200000047683716,-10.200000047683716,-10.200000047683716
4992000,-10.239999830722809,-10.239999830722809,-10.239999830722809
5056000,-10.059999942779541,-10.059999942779541,-10.059999942779541
5120000,-9.87999975681305,-9.87999975681305,-9.87999975681305
5184000,-9.579999923706055,-9.579999923706055,-9.579999923706055
5248000,-10.300000429153442,-10.300000429153442,-10.300000429153442
5312000,-10.679999828338623,-10.679999828338623,-10.679999828338623
5376000,-9.959999561309814,-9.959999561309814,-9.959999561309814
5440000,-9.640000343322754,-9.640000343322754,-9.640000343322754
5504000,-9.479999780654907,-9.479999780654907,-9.479999780654907
5568000,-10.740000009536743,-10.740000009536743,-10.740000009536743
5632000,-9.860000133514404,-9.860000133514404,-9.860000133514404
5696000,-9.879999876022339,-9.879999876022339,-9.879999876022339
5760000,-10.399999856948853,-10.399999856948853,-10.399999856948853
5824000,-9.600000143051147,-9.600000143051147,-9.600000143051147
5888000,-10.500000476837158,-10.500000476837158,-10.500000476837158
5952000,-9.680000305175781,-9.680000305175781,-9.680000305175781
6016000,-10.200000286102295,-10.200000286102295,-10.200000286102295
6080000,-10.120000123977661,-10.120000123977661,-10.120000123977661
6144000,-11.579999566078186,-11.579999566078186,-11.579999566078186
6208000,-11.40000033378601,-11.40000033378601,-11.40000033378601
6272000,-10.719999551773071,-10.719999551773071,-10.719999551773071
6336000,-10.900000095367432,-10.900000095367432,-10.900000095367432
6400000,-12.300000190734863,-12.300000190734863,-12.300000190734863
6464000,-11.37999963760376,-11.37999963760376,-11.37999963760376
6528000,-11.199999809265137,-11.199999809265137,-11.199999809265137
6592000,-10.980000019073486,-10.980000019073486,-10.980000019073486
6656000,-11.119999885559082,-11.119999885559082,-11.119999885559082
6720000,-11.0600004196167,-11.0600004196167,-11.0600004196167
