"Step","coin5_cbam_causal - SW_ep_rew_total","coin5_cbam_causal - SW_ep_rew_total__MIN","coin5_cbam_causal - SW_ep_rew_total__MAX"
"64000","-10.419999837875366","-10.419999837875366","-10.419999837875366"
"128000","-9.859999418258667","-9.859999418258667","-9.859999418258667"
"192000","-10.78000020980835","-10.78000020980835","-10.78000020980835"
"256000","-9.28000020980835","-9.28000020980835","-9.28000020980835"
"320000","-10.300000190734863","-10.300000190734863","-10.300000190734863"
"384000","-9.100000381469727","-9.100000381469727","-9.100000381469727"
"448000","-8.520000457763672","-8.520000457763672","-8.520000457763672"
"512000","-9.5","-9.5","-9.5"
"576000","-9.15999960899353","-9.15999960899353","-9.15999960899353"
"640000","-9.360000610351562","-9.360000610351562","-9.360000610351562"
"704000","-8.440000351518393","-8.440000351518393","-8.440000351518393"
"768000","-8.139999747276306","-8.139999747276306","-8.139999747276306"
"832000","-7.31999958306551","-7.31999958306551","-7.31999958306551"
"896000","-7.800000071525574","-7.800000071525574","-7.800000071525574"
"960000","-8.019999293610454","-8.019999293610454","-8.019999293610454"
"1024000","-8.699999406933784","-8.699999406933784","-8.699999406933784"
"1088000","-6.860000282526016","-6.860000282526016","-6.860000282526016"
"1152000","-8.959999799728394","-8.959999799728394","-8.959999799728394"
"1216000","-7.659999698400497","-7.659999698400497","-7.659999698400497"
"1280000","-9.200000524520874","-9.200000524520874","-9.200000524520874"
"1344000","-7.619999695569277","-7.619999695569277","-7.619999695569277"
"1408000","-7.880000174045563","-7.880000174045563","-7.880000174045563"
"1472000","-7.449999555945396","-7.449999555945396","-7.449999555945396"
"1536000","-7.440000057220459","-7.440000057220459","-7.440000057220459"
"1600000","-5.28000009059906","-5.28000009059906","-5.28000009059906"
"1664000","-7.519999623298645","-7.519999623298645","-7.519999623298645"
"1728000","-5.680000483989716","-5.680000483989716","-5.680000483989716"
"1792000","-6.980000101029873","-6.980000101029873","-6.980000101029873"
"1856000","-8.139999985694885","-8.139999985694885","-8.139999985694885"
"1920000","-7.4799997713416815","-7.4799997713416815","-7.4799997713416815"
"1984000","-5.340000092983246","-5.340000092983246","-5.340000092983246"
"2048000","-4.360000014305115","-4.360000014305115","-4.360000014305115"
"2112000","-6.080000579357147","-6.080000579357147","-6.080000579357147"
"2176000","-7.440000414848328","-7.440000414848328","-7.440000414848328"
"2240000","-5.300000190734863","-5.300000190734863","-5.300000190734863"
"2304000","-6.260000512003899","-6.260000512003899","-6.260000512003899"
"2368000","-6.079999923706055","-6.079999923706055","-6.079999923706055"
"2432000","-5","-5","-5"
"2496000","-6.280000299215317","-6.280000299215317","-6.280000299215317"
"2560000","-6.120000123977661","-6.120000123977661","-6.120000123977661"
"2624000","-4.559999972581863","-4.559999972581863","-4.559999972581863"
"2688000","-5.680000305175781","-5.680000305175781","-5.680000305175781"
"2752000","-4.1800002455711365","-4.1800002455711365","-4.1800002455711365"
"2816000","-5.280000247061253","-5.280000247061253","-5.280000247061253"
"2880000","-5.220000192523003","-5.220000192523003","-5.220000192523003"
"2944000","-6.039999723434448","-6.039999723434448","-6.039999723434448"
"3008000","-5.959999442100525","-5.959999442100525","-5.959999442100525"
"3072000","-4.0400004386901855","-4.0400004386901855","-4.0400004386901855"
"3136000","-4.580000519752502","-4.580000519752502","-4.580000519752502"
"3200000","-4.080000638961792","-4.080000638961792","-4.080000638961792"
"3264000","-3.8299999237060547","-3.8299999237060547","-3.8299999237060547"
"3328000","-3.819999933242798","-3.819999933242798","-3.819999933242798"
"3392000","-1.5199999809265137","-1.5199999809265137","-1.5199999809265137"
"3456000","-4.720000505447388","-4.720000505447388","-4.720000505447388"
"3520000","-3.440000295639038","-3.440000295639038","-3.440000295639038"
"3584000","-3.359999656677246","-3.359999656677246","-3.359999656677246"
"3648000","-4.62000036239624","-4.62000036239624","-4.62000036239624"
"3712000","-1.820000171661377","-1.820000171661377","-1.820000171661377"
"3776000","-1.4599997997283936","-1.4599997997283936","-1.4599997997283936"
"3840000","-0.6200003623962402","-0.6200003623962402","-0.6200003623962402"
"3904000","-3.720000743865967","-3.720000743865967","-3.720000743865967"
"3968000","-2.0200002193450928","-2.0200002193450928","-2.0200002193450928"
"4032000","-1.9200000762939453","-1.9200000762939453","-1.9200000762939453"
"4096000","-0.739999532699585","-0.739999532699585","-0.739999532699585"
"4160000","-3.1600000858306885","-3.1600000858306885","-3.1600000858306885"
"4224000","-1.4600000381469727","-1.4600000381469727","-1.4600000381469727"
"4288000","-0.7600002288818359","-0.7600002288818359","-0.7600002288818359"
"4352000","-2.059999942779541","-2.059999942779541","-2.059999942779541"
