"Step","cleanup_cbaminequity_aversion - SW_ep_rew_total","cleanup_cbaminequity_aversion - SW_ep_rew_total__MIN","cleanup_cbaminequity_aversion - SW_ep_rew_total__MAX"
"5440000","4.494999289512634","4.494999289512634","4.494999289512634"
"5504000","4.8249993324279785","4.8249993324279785","4.8249993324279785"
"5568000","5.807499289512634","5.807499289512634","5.807499289512634"
"5632000","5.649999439716339","5.649999439716339","5.649999439716339"
"5696000","4.912499666213989","4.912499666213989","4.912499666213989"
"5760000","4.56749951839447","4.56749951839447","4.56749951839447"
"5824000","4.4549994468688965","4.4549994468688965","4.4549994468688965"
"5888000","4.752499341964722","4.752499341964722","4.752499341964722"
"5952000","4.554999530315399","4.554999530315399","4.554999530315399"
"6016000","3.9924994707107544","3.9924994707107544","3.9924994707107544"
"6080000","3.857499599456787","3.857499599456787","3.857499599456787"
"6144000","3.969999685883522","3.969999685883522","3.969999685883522"
"6208000","4.374999403953552","4.374999403953552","4.374999403953552"
"6272000","4.237499713897705","4.237499713897705","4.237499713897705"
"6336000","3.929999738931656","3.929999738931656","3.929999738931656"
"6400000","2.8674997575581074","2.8674997575581074","2.8674997575581074"
"6464000","2.4024996608495712","2.4024996608495712","2.4024996608495712"
"6528000","2.6949997544288635","2.6949997544288635","2.6949997544288635"
"6592000","2.5249997079372406","2.5249997079372406","2.5249997079372406"
"6656000","2.5749995410442352","2.5749995410442352","2.5749995410442352"
"6720000","2.7074997052550316","2.7074997052550316","2.7074997052550316"
"6784000","2.512499712407589","2.512499712407589","2.512499712407589"
"6848000","2.487499698996544","2.487499698996544","2.487499698996544"
"6912000","2.587499588727951","2.587499588727951","2.587499588727951"
"6976000","2.3949997574090958","2.3949997574090958","2.3949997574090958"
"7040000","2.4974997341632843","2.4974997341632843","2.4974997341632843"
"7104000","2.4474997222423553","2.4474997222423553","2.4474997222423553"
"7168000","1.467499926686287","1.467499926686287","1.467499926686287"
"7232000","1.0724998712539673","1.0724998712539673","1.0724998712539673"
"7296000","1.7999997735023499","1.7999997735023499","1.7999997735023499"
"7360000","2.1299998909235","2.1299998909235","2.1299998909235"
"7424000","1.8649995923042297","1.8649995923042297","1.8649995923042297"
"7488000","2.2949998527765274","2.2949998527765274","2.2949998527765274"
"7552000","2.282499819993973","2.282499819993973","2.282499819993973"
"7616000","2.072499990463257","2.072499990463257","2.072499990463257"
"7680000","2.1649997383356094","2.1649997383356094","2.1649997383356094"
"7744000","2.030000001192093","2.030000001192093","2.030000001192093"
"7808000","2.159999892115593","2.159999892115593","2.159999892115593"
"7872000","2.0249999314546585","2.0249999314546585","2.0249999314546585"
"7936000","1.9024998918175697","1.9024998918175697","1.9024998918175697"
"8000000","2.034999802708626","2.034999802708626","2.034999802708626"
"8064000","2.2574998885393143","2.2574998885393143","2.2574998885393143"
"8128000","2.2624998688697815","2.2624998688697815","2.2624998688697815"
"8192000","2.1349998638033867","2.1349998638033867","2.1349998638033867"
"8256000","2.5499995052814484","2.5499995052814484","2.5499995052814484"
"8320000","2.372499793767929","2.372499793767929","2.372499793767929"
"8384000","2.724999651312828","2.724999651312828","2.724999651312828"
"8448000","2.2049996368587017","2.2049996368587017","2.2049996368587017"
"8512000","2.7099997252225876","2.7099997252225876","2.7099997252225876"
"8576000","3.7374993562698364","3.7374993562698364","3.7374993562698364"
"8640000","4.354999601840973","4.354999601840973","4.354999601840973"
"8704000","4.679999768733978","4.679999768733978","4.679999768733978"
"8768000","4.324999004602432","4.324999004602432","4.324999004602432"
"8832000","3.8049997091293335","3.8049997091293335","3.8049997091293335"
"8896000","4.039999425411224","4.039999425411224","4.039999425411224"
"8960000","4.234999358654022","4.234999358654022","4.234999358654022"
"9024000","4.357499361038208","4.357499361038208","4.357499361038208"
"9088000","4.162499487400055","4.162499487400055","4.162499487400055"
"9152000","3.569999620318413","3.569999620318413","3.569999620318413"
"9216000","3.642499804496765","3.642499804496765","3.642499804496765"
"9280000","3.5549997687339783","3.5549997687339783","3.5549997687339783"
"9344000","3.577499747276306","3.577499747276306","3.577499747276306"
"9408000","3.7224996089935303","3.7224996089935303","3.7224996089935303"
"9472000","3.919999122619629","3.919999122619629","3.919999122619629"
"9536000","4.164999902248383","4.164999902248383","4.164999902248383"
"9600000","4.157499730587006","4.157499730587006","4.157499730587006"
"9664000","4.094999730587006","4.094999730587006","4.094999730587006"
"9728000","4.169999480247498","4.169999480247498","4.169999480247498"
"9792000","4.562499642372131","4.562499642372131","4.562499642372131"
"9856000","4.014999747276306","4.014999747276306","4.014999747276306"
"9920000","3.8899993896484375","3.8899993896484375","3.8899993896484375"
"9984000","3.644999384880066","3.644999384880066","3.644999384880066"
"10048000","3.6774994134902954","3.6774994134902954","3.6774994134902954"
"10112000","3.9549992084503174","3.9549992084503174","3.9549992084503174"
"10176000","4.142499327659607","4.142499327659607","4.142499327659607"
"10240000","3.6999993324279785","3.6999993324279785","3.6999993324279785"
"10304000","3.6674992740154266","3.6674992740154266","3.6674992740154266"
"10368000","3.6099997758865356","3.6099997758865356","3.6099997758865356"
"10432000","3.559999704360962","3.559999704360962","3.559999704360962"
"10496000","3.114999681711197","3.114999681711197","3.114999681711197"
"10560000","3.447499454021454","3.447499454021454","3.447499454021454"
"10624000","3.3874996304512024","3.3874996304512024","3.3874996304512024"
"10688000","3.3499999046325684","3.3499999046325684","3.3499999046325684"
"10752000","3.8149997293949127","3.8149997293949127","3.8149997293949127"
"10816000","3.804999530315399","3.804999530315399","3.804999530315399"
"10880000","3.5774999260902405","3.5774999260902405","3.5774999260902405"
"10944000","3.3449996411800385","3.3449996411800385","3.3449996411800385"
"11008000","2.802499622106552","2.802499622106552","2.802499622106552"
"11072000","3.092499941587448","3.092499941587448","3.092499941587448"
"11136000","3.489999532699585","3.489999532699585","3.489999532699585"
"11200000","3.674999713897705","3.674999713897705","3.674999713897705"
"11264000","4.0599992871284485","4.0599992871284485","4.0599992871284485"
"11328000","3.7799994945526123","3.7799994945526123","3.7799994945526123"
"11392000","3.5874997675418854","3.5874997675418854","3.5874997675418854"
"11456000","3.937499612569809","3.937499612569809","3.937499612569809"
"11520000","4.694999277591705","4.694999277591705","4.694999277591705"
"11584000","4.692499399185181","4.692499399185181","4.692499399185181"
"11648000","4.482499599456787","4.482499599456787","4.482499599456787"
"11712000","4.484999418258667","4.484999418258667","4.484999418258667"
"11776000","4.11499959230423","4.11499959230423","4.11499959230423"
"11840000","3.942499428987503","3.942499428987503","3.942499428987503"
"11904000","4.087499499320984","4.087499499320984","4.087499499320984"
"11968000","4.227499842643738","4.227499842643738","4.227499842643738"
"12032000","4.007499516010284","4.007499516010284","4.007499516010284"
"12096000","3.7674995958805084","3.7674995958805084","3.7674995958805084"
"12160000","4.162499487400055","4.162499487400055","4.162499487400055"
"12224000","4.384999513626099","4.384999513626099","4.384999513626099"
"12288000","4.339999794960022","4.339999794960022","4.339999794960022"
"12352000","4.167499542236328","4.167499542236328","4.167499542236328"
"12416000","4.087499737739563","4.087499737739563","4.087499737739563"
"12480000","4.092500150203705","4.092500150203705","4.092500150203705"
"12544000","3.9499996304512024","3.9499996304512024","3.9499996304512024"
"12608000","4.047499567270279","4.047499567270279","4.047499567270279"
"12672000","4.35249936580658","4.35249936580658","4.35249936580658"
"12736000","4.442499279975891","4.442499279975891","4.442499279975891"
"12800000","4.219999372959137","4.219999372959137","4.219999372959137"
"12864000","4.312499105930328","4.312499105930328","4.312499105930328"
"12928000","4.59999942779541","4.59999942779541","4.59999942779541"
"12992000","4.88749960064888","4.88749960064888","4.88749960064888"
"13056000","4.8024996519088745","4.8024996519088745","4.8024996519088745"
"13120000","4.672499299049377","4.672499299049377","4.672499299049377"
"13184000","4.652499079704285","4.652499079704285","4.652499079704285"
"13248000","4.5324994921684265","4.5324994921684265","4.5324994921684265"
"13312000","4.509999632835388","4.509999632835388","4.509999632835388"
"13376000","4.8349995613098145","4.8349995613098145","4.8349995613098145"
"13440000","4.972499132156372","4.972499132156372","4.972499132156372"
"13504000","4.045000076293945","4.045000076293945","4.045000076293945"
"13568000","4.592499822378159","4.592499822378159","4.592499822378159"
"13632000","4.644999563694","4.644999563694","4.644999563694"
"13696000","4.462499678134918","4.462499678134918","4.462499678134918"
"13760000","4.53999924659729","4.53999924659729","4.53999924659729"
"13824000","4.762499451637268","4.762499451637268","4.762499451637268"
"13888000","4.919999778270721","4.919999778270721","4.919999778270721"
"13952000","4.88499915599823","4.88499915599823","4.88499915599823"
"14016000","4.732499599456787","4.732499599456787","4.732499599456787"
"14080000","4.780000030994415","4.780000030994415","4.780000030994415"
"14144000","4.889999747276306","4.889999747276306","4.889999747276306"
"14208000","4.864999771118164","4.864999771118164","4.864999771118164"
"14272000","4.6324997544288635","4.6324997544288635","4.6324997544288635"
"14336000","4.379999279975891","4.379999279975891","4.379999279975891"
"14400000","4.144999593496323","4.144999593496323","4.144999593496323"
"14464000","4.607499420642853","4.607499420642853","4.607499420642853"
"14528000","4.6874998807907104","4.6874998807907104","4.6874998807907104"
"14592000","5.00499951839447","5.00499951839447","5.00499951839447"
"14656000","4.6424994468688965","4.6424994468688965","4.6424994468688965"
"14720000","4.50999915599823","4.50999915599823","4.50999915599823"
"14784000","4.7174994349479675","4.7174994349479675","4.7174994349479675"
"14848000","4.732499897480011","4.732499897480011","4.732499897480011"
"14912000","4.137499496340752","4.137499496340752","4.137499496340752"
"14976000","3.7475001215934753","3.7475001215934753","3.7475001215934753"
"15040000","4.694999575614929","4.694999575614929","4.694999575614929"
"15104000","4.849999785423279","4.849999785423279","4.849999785423279"
"15168000","4.6874993443489075","4.6874993443489075","4.6874993443489075"
"15232000","4.469999551773071","4.469999551773071","4.469999551773071"
"15296000","4.524999022483826","4.524999022483826","4.524999022483826"
"15360000","5.2524994015693665","5.2524994015693665","5.2524994015693665"
"15424000","4.594999849796295","4.594999849796295","4.594999849796295"
"15488000","4.389999508857727","4.389999508857727","4.389999508857727"
"15552000","4.794999837875366","4.794999837875366","4.794999837875366"
"15616000","5.039999306201935","5.039999306201935","5.039999306201935"
"15680000","4.997499197721481","4.997499197721481","4.997499197721481"
"15744000","3.9099994227290154","3.9099994227290154","3.9099994227290154"
"15808000","4.842499554157257","4.842499554157257","4.842499554157257"
"15872000","4.399999976158142","4.399999976158142","4.399999976158142"
"15936000","4.777499407529831","4.777499407529831","4.777499407529831"
"16000000","5.177499294281006","5.177499294281006","5.177499294281006"
"16064000","5.147499442100525","5.147499442100525","5.147499442100525"
"16128000","5.16999951004982","5.16999951004982","5.16999951004982"
"16192000","4.779999494552612","4.779999494552612","4.779999494552612"
"16256000","5.109999477863312","5.109999477863312","5.109999477863312"
"16320000","4.437499463558197","4.437499463558197","4.437499463558197"
"16384000","4.617499351501465","4.617499351501465","4.617499351501465"
"16448000","4.479999601840973","4.479999601840973","4.479999601840973"
"16512000","4.254999607801437","4.254999607801437","4.254999607801437"
"16576000","4.442499577999115","4.442499577999115","4.442499577999115"
"16640000","4.35499981045723","4.35499981045723","4.35499981045723"
"16704000","5.1449995040893555","5.1449995040893555","5.1449995040893555"
"16768000","5.027499437332153","5.027499437332153","5.027499437332153"
"16832000","4.569999516010284","4.569999516010284","4.569999516010284"
"16896000","4.634999930858612","4.634999930858612","4.634999930858612"
"16960000","4.717499554157257","4.717499554157257","4.717499554157257"
"17024000","4.999999821186066","4.999999821186066","4.999999821186066"
"17088000","5.144999444484711","5.144999444484711","5.144999444484711"
"17152000","5.199999570846558","5.199999570846558","5.199999570846558"
"17216000","5.014999687671661","5.014999687671661","5.014999687671661"
"17280000","4.98749965429306","4.98749965429306","4.98749965429306"
"17344000","4.8524991273880005","4.8524991273880005","4.8524991273880005"
"17408000","5.3099992871284485","5.3099992871284485","5.3099992871284485"
"17472000","5.327499270439148","5.327499270439148","5.327499270439148"
"17536000","5.157499670982361","5.157499670982361","5.157499670982361"
"17600000","4.424999833106995","4.424999833106995","4.424999833106995"
"17664000","4.96249920129776","4.96249920129776","4.96249920129776"
"17728000","5.219999253749847","5.219999253749847","5.219999253749847"
"17792000","4.942499577999115","4.942499577999115","4.942499577999115"
"17856000","5.214999496936798","5.214999496936798","5.214999496936798"
"17920000","5.102499544620514","5.102499544620514","5.102499544620514"
"17984000","4.857499361038208","4.857499361038208","4.857499361038208"
"18048000","4.71999979019165","4.71999979019165","4.71999979019165"
"18112000","4.972499191761017","4.972499191761017","4.972499191761017"
"18176000","4.797499358654022","4.797499358654022","4.797499358654022"
"18240000","4.844999432563782","4.844999432563782","4.844999432563782"
"18304000","4.6824992299079895","4.6824992299079895","4.6824992299079895"
"18368000","4.8449994921684265","4.8449994921684265","4.8449994921684265"
"18432000","4.547499775886536","4.547499775886536","4.547499775886536"
"18496000","4.579999357461929","4.579999357461929","4.579999357461929"
"18560000","4.627499580383301","4.627499580383301","4.627499580383301"
"18624000","4.75999915599823","4.75999915599823","4.75999915599823"
"18688000","5.114999294281006","5.114999294281006","5.114999294281006"
"18752000","4.432498931884766","4.432498931884766","4.432498931884766"
"18816000","4.5449992418289185","4.5449992418289185","4.5449992418289185"
"18880000","4.924999475479126","4.924999475479126","4.924999475479126"
"18944000","4.874999403953552","4.874999403953552","4.874999403953552"
"19008000","4.297499448060989","4.297499448060989","4.297499448060989"
"19072000","4.90249902009964","4.90249902009964","4.90249902009964"
"19136000","5.184999346733093","5.184999346733093","5.184999346733093"
"19200000","4.439999461174011","4.439999461174011","4.439999461174011"
"19264000","4.769999444484711","4.769999444484711","4.769999444484711"
"19328000","5.292499423027039","5.292499423027039","5.292499423027039"
"19392000","4.9024999141693115","4.9024999141693115","4.9024999141693115"
"19456000","4.854999363422394","4.854999363422394","4.854999363422394"
"19520000","5.019999325275421","5.019999325275421","5.019999325275421"
"19584000","4.7274991273880005","4.7274991273880005","4.7274991273880005"
"19648000","5.1149991154670715","5.1149991154670715","5.1149991154670715"
"19712000","4.664999276399612","4.664999276399612","4.664999276399612"
"19776000","4.81499969959259","4.81499969959259","4.81499969959259"
"19840000","3.4524994492530823","3.4524994492530823","3.4524994492530823"
"19904000","3.862499713897705","3.862499713897705","3.862499713897705"
"19968000","4.737499892711639","4.737499892711639","4.737499892711639"
"20032000","4.704999268054962","4.704999268054962","4.704999268054962"
