"Step","cleanup_cbam_baseline - SW_ep_rew_total","cleanup_cbam_baseline - SW_ep_rew_total__MIN","cleanup_cbam_baseline - SW_ep_rew_total__MAX"
"5184000","-51.3799991607666","-51.3799991607666","-51.3799991607666"
"5248000","-33.999999821186066","-33.999999821186066","-33.999999821186066"
"5312000","-20.34999966621399","-20.34999966621399","-20.34999966621399"
"5376000","0.5799999833106995","0.5799999833106995","0.5799999833106995"
"5440000","10.340000033378601","10.340000033378601","10.340000033378601"
"5504000","-4.510000079870224","-4.510000079870224","-4.510000079870224"
"5568000","5.850000023841858","5.850000023841858","5.850000023841858"
"5632000","10.409999966621399","10.409999966621399","10.409999966621399"
"5696000","11.730000138282776","11.730000138282776","11.730000138282776"
"5760000","-5.039999842643738","-5.039999842643738","-5.039999842643738"
"5824000","5.3699997663497925","5.3699997663497925","5.3699997663497925"
"5888000","13.59000015258789","13.59000015258789","13.59000015258789"
"5952000","14.430000305175781","14.430000305175781","14.430000305175781"
"6016000","15.08000042848289","15.08000042848289","15.08000042848289"
"6080000","9.550000011920929","9.550000011920929","9.550000011920929"
"6144000","9.449999958276749","9.449999958276749","9.449999958276749"
"6208000","14.370000183582306","14.370000183582306","14.370000183582306"
"6272000","10.800000071525574","10.800000071525574","10.800000071525574"
"6336000","7.349999975413084","7.349999975413084","7.349999975413084"
"6400000","14.300000190734863","14.300000190734863","14.300000190734863"
"6464000","8.169999986886978","8.169999986886978","8.169999986886978"
"6528000","11.669999688863754","11.669999688863754","11.669999688863754"
"6592000","19.609999984502792","19.609999984502792","19.609999984502792"
"6656000","18.260000228881836","18.260000228881836","18.260000228881836"
"6720000","21.859999895095825","21.859999895095825","21.859999895095825"
"6784000","23.81999945640564","23.81999945640564","23.81999945640564"
"6848000","24.690000295639038","24.690000295639038","24.690000295639038"
"6912000","21.389999628067017","21.389999628067017","21.389999628067017"
"6976000","20.419999480247498","20.419999480247498","20.419999480247498"
"7040000","24.630000352859497","24.630000352859497","24.630000352859497"
"7104000","26.5","26.5","26.5"
"7168000","20.58999991416931","20.58999991416931","20.58999991416931"
"7232000","24.390000343322754","24.390000343322754","24.390000343322754"
"7296000","18.740000128746033","18.740000128746033","18.740000128746033"
"7360000","24.020000219345093","24.020000219345093","24.020000219345093"
"7424000","26.290000677108765","26.290000677108765","26.290000677108765"
"7488000","23.890000581741333","23.890000581741333","23.890000581741333"
"7552000","25.080000162124634","25.080000162124634","25.080000162124634"
"7616000","19.820000052452087","19.820000052452087","19.820000052452087"
"7680000","22.230000019073486","22.230000019073486","22.230000019073486"
"7744000","19.36000007390976","19.36000007390976","19.36000007390976"
"7808000","21.71000027656555","21.71000027656555","21.71000027656555"
"7872000","20.55999994277954","20.55999994277954","20.55999994277954"
"7936000","18.010000467300415","18.010000467300415","18.010000467300415"
"8000000","17.790000081062317","17.790000081062317","17.790000081062317"
"8064000","22.570000171661377","22.570000171661377","22.570000171661377"
"8128000","24.070000410079956","24.070000410079956","24.070000410079956"
"8192000","22.389999866485596","22.389999866485596","22.389999866485596"
"8256000","22.96000051498413","22.96000051498413","22.96000051498413"
"8320000","23.44000005722046","23.44000005722046","23.44000005722046"
"8384000","27.299999713897705","27.299999713897705","27.299999713897705"
"8448000","27.179999113082886","27.179999113082886","27.179999113082886"
"8512000","30.339999437332153","30.339999437332153","30.339999437332153"
"8576000","30.890000343322754","30.890000343322754","30.890000343322754"
"8640000","24.940000295639038","24.940000295639038","24.940000295639038"
"8704000","21.430000066757202","21.430000066757202","21.430000066757202"
"8768000","20.639999866485596","20.639999866485596","20.639999866485596"
"8832000","18.89000004529953","18.89000004529953","18.89000004529953"
"8896000","18.739999532699585","18.739999532699585","18.739999532699585"
"8960000","21.359999895095825","21.359999895095825","21.359999895095825"
"9024000","18.360000014305115","18.360000014305115","18.360000014305115"
"9088000","18.910000324249268","18.910000324249268","18.910000324249268"
"9152000","15.060000382363796","15.060000382363796","15.060000382363796"
"9216000","19.990000009536743","19.990000009536743","19.990000009536743"
"9280000","21.459999799728394","21.459999799728394","21.459999799728394"
"9344000","19.790000200271606","19.790000200271606","19.790000200271606"
"9408000","20.009999752044678","20.009999752044678","20.009999752044678"
"9472000","19.529999375343323","19.529999375343323","19.529999375343323"
"9536000","19.16000008583069","19.16000008583069","19.16000008583069"
"9600000","18.179999828338623","18.179999828338623","18.179999828338623"
"9664000","18.889999985694885","18.889999985694885","18.889999985694885"
"9728000","18.80999994277954","18.80999994277954","18.80999994277954"
"9792000","20.240000009536743","20.240000009536743","20.240000009536743"
"9856000","23.210000157356262","23.210000157356262","23.210000157356262"
"9920000","20.929999828338623","20.929999828338623","20.929999828338623"
"9984000","23.980000019073486","23.980000019073486","23.980000019073486"
"10048000","20.420000314712524","20.420000314712524","20.420000314712524"
"10112000","14.979999780654907","14.979999780654907","14.979999780654907"
"10176000","14.700000166893005","14.700000166893005","14.700000166893005"
"10240000","14.449999928474426","14.449999928474426","14.449999928474426"
"10304000","13.219999998807907","13.219999998807907","13.219999998807907"
"10368000","16.22000002861023","16.22000002861023","16.22000002861023"
"10432000","15.610000014305115","15.610000014305115","15.610000014305115"
"10496000","18.580000042915344","18.580000042915344","18.580000042915344"
"10560000","19.050000190734863","19.050000190734863","19.050000190734863"
"10624000","17.550000190734863","17.550000190734863","17.550000190734863"
"10688000","19.009999752044678","19.009999752044678","19.009999752044678"
"10752000","18.5600004196167","18.5600004196167","18.5600004196167"
"10816000","15.97000002861023","15.97000002861023","15.97000002861023"
"10880000","17.80999994277954","17.80999994277954","17.80999994277954"
"10944000","18.079999923706055","18.079999923706055","18.079999923706055"
"11008000","18.05999994277954","18.05999994277954","18.05999994277954"
"11072000","17.670000314712524","17.670000314712524","17.670000314712524"
"11136000","16.28999972343445","16.28999972343445","16.28999972343445"
"11200000","18.180000066757202","18.180000066757202","18.180000066757202"
"11264000","18.34999966621399","18.34999966621399","18.34999966621399"
"11328000","21.31000018119812","21.31000018119812","21.31000018119812"
"11392000","24.739999771118164","24.739999771118164","24.739999771118164"
"11456000","27.40000009536743","27.40000009536743","27.40000009536743"
"11520000","28.21000027656555","28.21000027656555","28.21000027656555"
"11584000","25.190000295639038","25.190000295639038","25.190000295639038"
"11648000","25.299999952316284","25.299999952316284","25.299999952316284"
"11712000","29.130000114440918","29.130000114440918","29.130000114440918"
"11776000","27.869999885559082","27.869999885559082","27.869999885559082"
"11840000","25.199999809265137","25.199999809265137","25.199999809265137"
"11904000","22.03000044822693","22.03000044822693","22.03000044822693"
"11968000","18.329999923706055","18.329999923706055","18.329999923706055"
"12032000","18.46000063419342","18.46000063419342","18.46000063419342"
"12096000","22.46999979019165","22.46999979019165","22.46999979019165"
"12160000","23.97000026702881","23.97000026702881","23.97000026702881"
"12224000","25.989999771118164","25.989999771118164","25.989999771118164"
"12288000","26.509999990463257","26.509999990463257","26.509999990463257"
"12352000","25.450000047683716","25.450000047683716","25.450000047683716"
"12416000","25.769999504089355","25.769999504089355","25.769999504089355"
"12480000","26.700000286102295","26.700000286102295","26.700000286102295"
"12544000","27.419999837875366","27.419999837875366","27.419999837875366"
"12608000","28.480000019073486","28.480000019073486","28.480000019073486"
"12672000","29.240000009536743","29.240000009536743","29.240000009536743"
"12736000","35.56000089645386","35.56000089645386","35.56000089645386"
"12800000","37.15000057220459","37.15000057220459","37.15000057220459"
"12864000","37.570000648498535","37.570000648498535","37.570000648498535"
"12928000","38.60999894142151","38.60999894142151","38.60999894142151"
"12992000","38.420000076293945","38.420000076293945","38.420000076293945"
"13056000","41.83000135421753","41.83000135421753","41.83000135421753"
"13120000","45.03000068664551","45.03000068664551","45.03000068664551"
"13184000","39.269999742507935","39.269999742507935","39.269999742507935"
"13248000","37.21000051498413","37.21000051498413","37.21000051498413"
"13312000","35.610000133514404","35.610000133514404","35.610000133514404"
"13376000","34.07000017166138","34.07000017166138","34.07000017166138"
"13440000","32.489999294281006","32.489999294281006","32.489999294281006"
"13504000","33.50999975204468","33.50999975204468","33.50999975204468"
"13568000","28.980000019073486","28.980000019073486","28.980000019073486"
"13632000","28.080000162124634","28.080000162124634","28.080000162124634"
"13696000","26.059999704360962","26.059999704360962","26.059999704360962"
"13760000","30.31999945640564","30.31999945640564","30.31999945640564"
"13824000","31.020000219345093","31.020000219345093","31.020000219345093"
"13888000","27.610000371932983","27.610000371932983","27.610000371932983"
"13952000","31.730000495910645","31.730000495910645","31.730000495910645"
"14016000","28.639999866485596","28.639999866485596","28.639999866485596"
"14080000","21.679999828338623","21.679999828338623","21.679999828338623"
"14144000","17.75","17.75","17.75"
"14208000","16.160000324249268","16.160000324249268","16.160000324249268"
"14272000","15.340000033378601","15.340000033378601","15.340000033378601"
"14336000","14.319999933242798","14.319999933242798","14.319999933242798"
"14400000","14.970000267028809","14.970000267028809","14.970000267028809"
"14464000","15.830000400543213","15.830000400543213","15.830000400543213"
"14528000","15.079999923706055","15.079999923706055","15.079999923706055"
"14592000","17.09999990463257","17.09999990463257","17.09999990463257"
"14656000","18.59999966621399","18.59999966621399","18.59999966621399"
"14720000","19.230000257492065","19.230000257492065","19.230000257492065"
"14784000","18.759999752044678","18.759999752044678","18.759999752044678"
"14848000","16.350000143051147","16.350000143051147","16.350000143051147"
"14912000","18.06000018119812","18.06000018119812","18.06000018119812"
"14976000","19.050000190734863","19.050000190734863","19.050000190734863"
"15040000","18.580000400543213","18.580000400543213","18.580000400543213"
"15104000","17.570000171661377","17.570000171661377","17.570000171661377"
"15168000","16.509999990463257","16.509999990463257","16.509999990463257"
"15232000","15.529999852180481","15.529999852180481","15.529999852180481"
"15296000","16.44000005722046","16.44000005722046","16.44000005722046"
"15360000","14.549999952316284","14.549999952316284","14.549999952316284"
"15424000","17.87999987602234","17.87999987602234","17.87999987602234"
"15488000","17.730000257492065","17.730000257492065","17.730000257492065"
"15552000","15.97000002861023","15.97000002861023","15.97000002861023"
"15616000","14.389999747276306","14.389999747276306","14.389999747276306"
"15680000","14.660000324249268","14.660000324249268","14.660000324249268"
"15744000","13.81000018119812","13.81000018119812","13.81000018119812"
"15808000","17.37000012397766","17.37000012397766","17.37000012397766"
"15872000","17.09000039100647","17.09000039100647","17.09000039100647"
"15936000","19.329999923706055","19.329999923706055","19.329999923706055"
"16000000","21.829999923706055","21.829999923706055","21.829999923706055"
"16064000","25.230000495910645","25.230000495910645","25.230000495910645"
"16128000","25.369999885559082","25.369999885559082","25.369999885559082"
"16192000","24.980000019073486","24.980000019073486","24.980000019073486"
"16256000","26.049999713897705","26.049999713897705","26.049999713897705"
"16320000","24.510000228881836","24.510000228881836","24.510000228881836"
"16384000","24.58999991416931","24.58999991416931","24.58999991416931"
"16448000","28.91000008583069","28.91000008583069","28.91000008583069"
"16512000","32.94999980926514","32.94999980926514","32.94999980926514"
"16576000","31.62999963760376","31.62999963760376","31.62999963760376"
"16640000","33.49999952316284","33.49999952316284","33.49999952316284"
"16704000","29.880000114440918","29.880000114440918","29.880000114440918"
"16768000","25.40000009536743","25.40000009536743","25.40000009536743"
"16832000","19.679999828338623","19.679999828338623","19.679999828338623"
"16896000","19.710000038146973","19.710000038146973","19.710000038146973"
"16960000","19.549999713897705","19.549999713897705","19.549999713897705"
"17024000","20.459999799728394","20.459999799728394","20.459999799728394"
"17088000","19.569999933242798","19.569999933242798","19.569999933242798"
"17152000","19.350000381469727","19.350000381469727","19.350000381469727"
"17216000","18.390000104904175","18.390000104904175","18.390000104904175"
"17280000","16.570000171661377","16.570000171661377","16.570000171661377"
"17344000","19.110000371932983","19.110000371932983","19.110000371932983"
"17408000","18.549999952316284","18.549999952316284","18.549999952316284"
"17472000","16.860000133514404","16.860000133514404","16.860000133514404"
"17536000","16.190000295639038","16.190000295639038","16.190000295639038"
"17600000","19.02999997138977","19.02999997138977","19.02999997138977"
"17664000","21.25000023841858","21.25000023841858","21.25000023841858"
"17728000","20.71999979019165","20.71999979019165","20.71999979019165"
"17792000","21.05999994277954","21.05999994277954","21.05999994277954"
"17856000","23.609999895095825","23.609999895095825","23.609999895095825"
"17920000","21.90000033378601","21.90000033378601","21.90000033378601"
"17984000","18.760000228881836","18.760000228881836","18.760000228881836"
"18048000","19.15000009536743","19.15000009536743","19.15000009536743"
"18112000","19.990000247955322","19.990000247955322","19.990000247955322"
"18176000","18.550000190734863","18.550000190734863","18.550000190734863"
"18240000","21.389999866485596","21.389999866485596","21.389999866485596"
"18304000","21.520000219345093","21.520000219345093","21.520000219345093"
"18368000","21.390000104904175","21.390000104904175","21.390000104904175"
"18432000","20.169999837875366","20.169999837875366","20.169999837875366"
"18496000","21.25000023841858","21.25000023841858","21.25000023841858"
"18560000","20.62999987602234","20.62999987602234","20.62999987602234"
"18624000","21.27999997138977","21.27999997138977","21.27999997138977"
"18688000","21.140000104904175","21.140000104904175","21.140000104904175"
"18752000","20.240000247955322","20.240000247955322","20.240000247955322"
"18816000","19.209999799728394","19.209999799728394","19.209999799728394"
"18880000","20.679999589920044","20.679999589920044","20.679999589920044"
"18944000","21.660000324249268","21.660000324249268","21.660000324249268"
"19008000","22.56000018119812","22.56000018119812","22.56000018119812"
"19072000","21.03999972343445","21.03999972343445","21.03999972343445"
"19136000","23.239999532699585","23.239999532699585","23.239999532699585"
"19200000","23.80999994277954","23.80999994277954","23.80999994277954"
"19264000","21.350000619888306","21.350000619888306","21.350000619888306"
"19328000","19.71000027656555","19.71000027656555","19.71000027656555"
"19392000","20.800000071525574","20.800000071525574","20.800000071525574"
"19456000","20.99000072479248","20.99000072479248","20.99000072479248"
"19520000","20.350000023841858","20.350000023841858","20.350000023841858"
"19584000","20.269999980926514","20.269999980926514","20.269999980926514"
"19648000","20.40000033378601","20.40000033378601","20.40000033378601"
"19712000","18.020000219345093","18.020000219345093","18.020000219345093"
"19776000","17.519999980926514","17.519999980926514","17.519999980926514"
"19840000","19.030000686645508","19.030000686645508","19.030000686645508"
"19904000","17.420000314712524","17.420000314712524","17.420000314712524"
"19968000","19.27999997138977","19.27999997138977","19.27999997138977"
"20032000","17.529999613761902","17.529999613761902","17.529999613761902"
"20096000","17.139999628067017","17.139999628067017","17.139999628067017"
"20160000","18.320000171661377","18.320000171661377","18.320000171661377"
"20224000","17.53000009059906","17.53000009059906","17.53000009059906"
"20288000","16.87999987602234","16.87999987602234","16.87999987602234"
"20352000","17.6599999666214","17.6599999666214","17.6599999666214"
"20416000","17.670000314712524","17.670000314712524","17.670000314712524"
"20480000","18.010000228881836","18.010000228881836","18.010000228881836"
"20544000","16.56000006198883","16.56000006198883","16.56000006198883"
"20608000","17.28000044822693","17.28000044822693","17.28000044822693"
"20672000","16.719999611377716","16.719999611377716","16.719999611377716"
"20736000","14.870000004768372","14.870000004768372","14.870000004768372"
"20800000","16.640000224113464","16.640000224113464","16.640000224113464"
"20864000","18.049999594688416","18.049999594688416","18.049999594688416"
"20928000","16.94000017642975","16.94000017642975","16.94000017642975"
"20992000","18.479999482631683","18.479999482631683","18.479999482631683"
"21056000","15.429999887943268","15.429999887943268","15.429999887943268"
"21120000","13.639999985694885","13.639999985694885","13.639999985694885"
"21184000","13.919999986886978","13.919999986886978","13.919999986886978"
"21248000","16.87000024318695","16.87000024318695","16.87000024318695"
"21312000","17.890000104904175","17.890000104904175","17.890000104904175"
"21376000","15.930000305175781","15.930000305175781","15.930000305175781"
"21440000","14.89000004529953","14.89000004529953","14.89000004529953"
"21504000","19.039999961853027","19.039999961853027","19.039999961853027"
"21568000","20.080000400543213","20.080000400543213","20.080000400543213"
"21632000","21.100000381469727","21.100000381469727","21.100000381469727"
"21696000","21.96999979019165","21.96999979019165","21.96999979019165"
"21760000","21.239999532699585","21.239999532699585","21.239999532699585"
"21824000","18.40000009536743","18.40000009536743","18.40000009536743"
"21888000","19.33999991416931","19.33999991416931","19.33999991416931"
"21952000","20.75000023841858","20.75000023841858","20.75000023841858"
"22016000","21.149999856948853","21.149999856948853","21.149999856948853"
"22080000","23.040000200271606","23.040000200271606","23.040000200271606"
"22144000","20.609999895095825","20.609999895095825","20.609999895095825"
"22208000","19.53000020980835","19.53000020980835","19.53000020980835"
"22272000","18.709999799728394","18.709999799728394","18.709999799728394"
"22336000","19.68999981880188","19.68999981880188","19.68999981880188"
"22400000","18.300000190734863","18.300000190734863","18.300000190734863"
"22464000","21.739999771118164","21.739999771118164","21.739999771118164"
"22528000","23.390000104904175","23.390000104904175","23.390000104904175"
"22592000","23.050000190734863","23.050000190734863","23.050000190734863"
"22656000","22.050000190734863","22.050000190734863","22.050000190734863"
"22720000","19.889999628067017","19.889999628067017","19.889999628067017"
"22784000","19.489999771118164","19.489999771118164","19.489999771118164"
"22848000","18.87999987602234","18.87999987602234","18.87999987602234"
"22912000","19.28999972343445","19.28999972343445","19.28999972343445"
"22976000","20.52999973297119","20.52999973297119","20.52999973297119"
"23040000","21.830000400543213","21.830000400543213","21.830000400543213"
"23104000","21.19000005722046","21.19000005722046","21.19000005722046"
"23168000","20.549999952316284","20.549999952316284","20.549999952316284"
"23232000","20.929999351501465","20.929999351501465","20.929999351501465"
"23296000","20.789999961853027","20.789999961853027","20.789999961853027"
"23360000","16.87000012397766","16.87000012397766","16.87000012397766"
"23424000","19.009999990463257","19.009999990463257","19.009999990463257"
"23488000","21.09999966621399","21.09999966621399","21.09999966621399"
"23552000","20.18999981880188","20.18999981880188","20.18999981880188"
"23616000","18.16000008583069","18.16000008583069","18.16000008583069"
"23680000","18.28000032901764","18.28000032901764","18.28000032901764"
"23744000","18.819999933242798","18.819999933242798","18.819999933242798"
"23808000","17.65000009536743","17.65000009536743","17.65000009536743"
"23872000","19.679999828338623","19.679999828338623","19.679999828338623"
"23936000","17.87000012397766","17.87000012397766","17.87000012397766"
"24000000","17.210000038146973","17.210000038146973","17.210000038146973"
"24064000","19.65999972820282","19.65999972820282","19.65999972820282"
"24128000","17.71999979019165","17.71999979019165","17.71999979019165"
"24192000","17.509999752044678","17.509999752044678","17.509999752044678"
"24256000","18.759999871253967","18.759999871253967","18.759999871253967"
"24320000","20.16000008583069","20.16000008583069","20.16000008583069"
"24384000","18.899999618530273","18.899999618530273","18.899999618530273"
"24448000","18.179999828338623","18.179999828338623","18.179999828338623"
"24512000","19.330000162124634","19.330000162124634","19.330000162124634"
"24576000","20.71999979019165","20.71999979019165","20.71999979019165"
"24640000","19.28000044822693","19.28000044822693","19.28000044822693"
"24704000","18.450000286102295","18.450000286102295","18.450000286102295"
"24768000","17.199999809265137","17.199999809265137","17.199999809265137"
"24832000","15.220000267028809","15.220000267028809","15.220000267028809"
"24896000","15.660000085830688","15.660000085830688","15.660000085830688"
"24960000","17.65000009536743","17.65000009536743","17.65000009536743"
"25024000","17.549999952316284","17.549999952316284","17.549999952316284"
"25088000","16.830000042915344","16.830000042915344","16.830000042915344"
"25152000","17.130000114440918","17.130000114440918","17.130000114440918"
"25216000","15.000000238418579","15.000000238418579","15.000000238418579"
"25280000","14.850000143051147","14.850000143051147","14.850000143051147"
"25344000","12.139999985694885","12.139999985694885","12.139999985694885"
