"Step","cleanup_cbamcausal - SW_ep_rew_total","cleanup_cbamcausal - SW_ep_rew_total__MIN","cleanup_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4782.1875","-4782.1875","-4782.1875"
"128000","-4792.159973144531","-4792.159973144531","-4792.159973144531"
"192000","-4067.1099853515625","-4067.1099853515625","-4067.1099853515625"
"256000","-3248.4599609375","-3248.4599609375","-3248.4599609375"
"320000","-3068.9700317382812","-3068.9700317382812","-3068.9700317382812"
"384000","-2618.3400268554688","-2618.3400268554688","-2618.3400268554688"
"448000","-2185.519989013672","-2185.519989013672","-2185.519989013672"
"512000","-1858.8200073242188","-1858.8200073242188","-1858.8200073242188"
"576000","-1595.1799926757812","-1595.1799926757812","-1595.1799926757812"
"640000","-1290.6999816894531","-1290.6999816894531","-1290.6999816894531"
"704000","-1039.229995727539","-1039.229995727539","-1039.229995727539"
"768000","-821.6099853515625","-821.6099853515625","-821.6099853515625"
"832000","-673.6999816894531","-673.6999816894531","-673.6999816894531"
"896000","-587.8300094604492","-587.8300094604492","-587.8300094604492"
"960000","-511.49999237060547","-511.49999237060547","-511.49999237060547"
"1024000","-504.3300018310547","-504.3300018310547","-504.3300018310547"
"1088000","-475.7300033569336","-475.7300033569336","-475.7300033569336"
"1152000","-389.02000427246094","-389.02000427246094","-389.02000427246094"
"1216000","-325.7099952697754","-325.7099952697754","-325.7099952697754"
"1280000","-283.9099998474121","-283.9099998474121","-283.9099998474121"
"1344000","-245.68000030517578","-245.68000030517578","-245.68000030517578"
"1408000","-208.27000045776367","-208.27000045776367","-208.27000045776367"
"1472000","-192.86999893188477","-192.86999893188477","-192.86999893188477"
"1536000","-166.98000144958496","-166.98000144958496","-166.98000144958496"
"1600000","-179.2100009918213","-179.2100009918213","-179.2100009918213"
"1664000","-153.24000358581543","-153.24000358581543","-153.24000358581543"
"1728000","-132.67000198364258","-132.67000198364258","-132.67000198364258"
"1792000","-130.42000007629395","-130.42000007629395","-130.42000007629395"
"1856000","-104.19999885559082","-104.19999885559082","-104.19999885559082"
"1920000","-88.25","-88.25","-88.25"
"1984000","-79.21000003814697","-79.21000003814697","-79.21000003814697"
"2048000","-61.37000036239624","-61.37000036239624","-61.37000036239624"
"2112000","-59.19000053405762","-59.19000053405762","-59.19000053405762"
"2176000","-36.35000014305115","-36.35000014305115","-36.35000014305115"
"2240000","-30.27000020444393","-30.27000020444393","-30.27000020444393"
"2304000","-20.300000078976154","-20.300000078976154","-20.300000078976154"
"2368000","-12.54999989271164","-12.54999989271164","-12.54999989271164"
"2432000","-14.999999940395355","-14.999999940395355","-14.999999940395355"
"2496000","-5.930000185966492","-5.930000185966492","-5.930000185966492"
"2560000","-6.4700000286102295","-6.4700000286102295","-6.4700000286102295"
"2624000","-1.429999828338623","-1.429999828338623","-1.429999828338623"
"2688000","5.009999692440033","5.009999692440033","5.009999692440033"
"2752000","8.61000007390976","8.61000007390976","8.61000007390976"
"2816000","10.789999961853027","10.789999961853027","10.789999961853027"
"2880000","12.410000205039978","12.410000205039978","12.410000205039978"
"2944000","14.980000108480453","14.980000108480453","14.980000108480453"
"3008000","17.629999920725822","17.629999920725822","17.629999920725822"
"3072000","22.27000057697296","22.27000057697296","22.27000057697296"
"3136000","16.910000205039978","16.910000205039978","16.910000205039978"
"3200000","17.46999990940094","17.46999990940094","17.46999990940094"
"3264000","17.360000014305115","17.360000014305115","17.360000014305115"
"3328000","14.5700002014637","14.5700002014637","14.5700002014637"
"3392000","16.07000023126602","16.07000023126602","16.07000023126602"
"3456000","21.389999866485596","21.389999866485596","21.389999866485596"
"3520000","28.240000247955322","28.240000247955322","28.240000247955322"
"3584000","28.049999713897705","28.049999713897705","28.049999713897705"
"3648000","26.519999980926514","26.519999980926514","26.519999980926514"
"3712000","25.65000009536743","25.65000009536743","25.65000009536743"
"3776000","33.11999988555908","33.11999988555908","33.11999988555908"
"3840000","33.46999979019165","33.46999979019165","33.46999979019165"
"3904000","34.5","34.5","34.5"
"3968000","30.15000057220459","30.15000057220459","30.15000057220459"
"4032000","35.010000228881836","35.010000228881836","35.010000228881836"
"4096000","33.69999980926514","33.69999980926514","33.69999980926514"
"4160000","31.730000495910645","31.730000495910645","31.730000495910645"
"4224000","30.5600004196167","30.5600004196167","30.5600004196167"
"4288000","35.019999980926514","35.019999980926514","35.019999980926514"
"4352000","35.15999984741211","35.15999984741211","35.15999984741211"
"4416000","31.449999809265137","31.449999809265137","31.449999809265137"
"4480000","28.769999504089355","28.769999504089355","28.769999504089355"
"4544000","28.489999771118164","28.489999771118164","28.489999771118164"
"4608000","26.769999980926514","26.769999980926514","26.769999980926514"
"4672000","25.140000343322754","25.140000343322754","25.140000343322754"
"4736000","28.830000400543213","28.830000400543213","28.830000400543213"
"4800000","29.009999752044678","29.009999752044678","29.009999752044678"
"4864000","25.8100004196167","25.8100004196167","25.8100004196167"
"4928000","28.190000295639038","28.190000295639038","28.190000295639038"
"4992000","27.329999923706055","27.329999923706055","27.329999923706055"
"5056000","25.21999979019165","25.21999979019165","25.21999979019165"
"5120000","31.09000015258789","31.09000015258789","31.09000015258789"
"5184000","32.69000005722046","32.69000005722046","32.69000005722046"
"5248000","33.15000009536743","33.15000009536743","33.15000009536743"
"5312000","34.02999973297119","34.02999973297119","34.02999973297119"
"5376000","37.71000051498413","37.71000051498413","37.71000051498413"
"5440000","37.88999938964844","37.88999938964844","37.88999938964844"
"5504000","35.30000019073486","35.30000019073486","35.30000019073486"
"5568000","36.09000062942505","36.09000062942505","36.09000062942505"
"5632000","34.34999990463257","34.34999990463257","34.34999990463257"
"5696000","28.510000228881836","28.510000228881836","28.510000228881836"
"5760000","29.230000495910645","29.230000495910645","29.230000495910645"
"5824000","29.010000228881836","29.010000228881836","29.010000228881836"
"5888000","24.800000190734863","24.800000190734863","24.800000190734863"
"5952000","25.850000381469727","25.850000381469727","25.850000381469727"
"6016000","28.079999923706055","28.079999923706055","28.079999923706055"
"6080000","27.070000171661377","27.070000171661377","27.070000171661377"
"6144000","30.94000005722046","30.94000005722046","30.94000005722046"
"6208000","31.800000190734863","31.800000190734863","31.800000190734863"
"6272000","31.77999973297119","31.77999973297119","31.77999973297119"
"6336000","32.630000591278076","32.630000591278076","32.630000591278076"
"6400000","31.62999963760376","31.62999963760376","31.62999963760376"
"6464000","34.170000076293945","34.170000076293945","34.170000076293945"
"6528000","35.200000286102295","35.200000286102295","35.200000286102295"
"6592000","36.6899995803833","36.6899995803833","36.6899995803833"
"6656000","36.96000003814697","36.96000003814697","36.96000003814697"
"6720000","43.000000953674316","43.000000953674316","43.000000953674316"
"6784000","39.40999984741211","39.40999984741211","39.40999984741211"
"6848000","38.86000108718872","38.86000108718872","38.86000108718872"
"6912000","45.63000011444092","45.63000011444092","45.63000011444092"
"6976000","44.84000015258789","44.84000015258789","44.84000015258789"
"7040000","44.339999198913574","44.339999198913574","44.339999198913574"
"7104000","47.85000038146973","47.85000038146973","47.85000038146973"
"7168000","47.38000011444092","47.38000011444092","47.38000011444092"
"7232000","47.939998626708984","47.939998626708984","47.939998626708984"
"7296000","46.68000030517578","46.68000030517578","46.68000030517578"
"7360000","53.71999931335449","53.71999931335449","53.71999931335449"
"7424000","55.71999931335449","55.71999931335449","55.71999931335449"
"7488000","61.640000343322754","61.640000343322754","61.640000343322754"
"7552000","67.48999977111816","67.48999977111816","67.48999977111816"
"7616000","74.17000007629395","74.17000007629395","74.17000007629395"
"7680000","66.60999965667725","66.60999965667725","66.60999965667725"
"7744000","54.9399995803833","54.9399995803833","54.9399995803833"
"7808000","54.829999923706055","54.829999923706055","54.829999923706055"
"7872000","55.329999923706055","55.329999923706055","55.329999923706055"
"7936000","50","50","50"
"8000000","48.80000019073486","48.80000019073486","48.80000019073486"
"8064000","52.61000061035156","52.61000061035156","52.61000061035156"
"8128000","56.63000011444092","56.63000011444092","56.63000011444092"
"8192000","55.5","55.5","55.5"
"8256000","58.43000030517578","58.43000030517578","58.43000030517578"
"8320000","67.24999904632568","67.24999904632568","67.24999904632568"
"8384000","70.06999969482422","70.06999969482422","70.06999969482422"
"8448000","58.23999881744385","58.23999881744385","58.23999881744385"
"8512000","61.739999771118164","61.739999771118164","61.739999771118164"
"8576000","64.36999988555908","64.36999988555908","64.36999988555908"
"8640000","64.64000034332275","64.64000034332275","64.64000034332275"
"8704000","62.24000072479248","62.24000072479248","62.24000072479248"
"8768000","67.13999938964844","67.13999938964844","67.13999938964844"
"8832000","69.00000095367432","69.00000095367432","69.00000095367432"
"8896000","70.54999923706055","70.54999923706055","70.54999923706055"
"8960000","77.02000141143799","77.02000141143799","77.02000141143799"
"9024000","72.88000106811523","72.88000106811523","72.88000106811523"
"9088000","68.10999965667725","68.10999965667725","68.10999965667725"
"9152000","74.46000099182129","74.46000099182129","74.46000099182129"
"9216000","76.44999980926514","76.44999980926514","76.44999980926514"
"9280000","74.80000019073486","74.80000019073486","74.80000019073486"
"9344000","71.64000034332275","71.64000034332275","71.64000034332275"
"9408000","65.56999969482422","65.56999969482422","65.56999969482422"
"9472000","67.45000076293945","67.45000076293945","67.45000076293945"
"9536000","61.38999938964844","61.38999938964844","61.38999938964844"
"9600000","59.230000495910645","59.230000495910645","59.230000495910645"
"9664000","61.239999771118164","61.239999771118164","61.239999771118164"
"9728000","56.86000061035156","56.86000061035156","56.86000061035156"
"9792000","62.28999900817871","62.28999900817871","62.28999900817871"
"9856000","63.77999973297119","63.77999973297119","63.77999973297119"
"9920000","63.75","63.75","63.75"
"9984000","60.959999084472656","60.959999084472656","60.959999084472656"
"10048000","64.40999984741211","64.40999984741211","64.40999984741211"
