"Step","cleanup_cbamcausal - SW_ep_rew_total","cleanup_cbamcausal - SW_ep_rew_total__MIN","cleanup_cbamcausal - SW_ep_rew_total__MAX"
"5248000","29.15000057220459","29.15000057220459","29.15000057220459"
"5312000","30.110000133514404","30.110000133514404","30.110000133514404"
"5376000","27.69000005722046","27.69000005722046","27.69000005722046"
"5440000","29.410000324249268","29.410000324249268","29.410000324249268"
"5504000","29.389999866485596","29.389999866485596","29.389999866485596"
"5568000","27.700000286102295","27.700000286102295","27.700000286102295"
"5632000","29.110000133514404","29.110000133514404","29.110000133514404"
"5696000","28.739999771118164","28.739999771118164","28.739999771118164"
"5760000","25.19000005722046","25.19000005722046","25.19000005722046"
"5824000","25.22000002861023","25.22000002861023","25.22000002861023"
"5888000","26.410000324249268","26.410000324249268","26.410000324249268"
"5952000","24.829999923706055","24.829999923706055","24.829999923706055"
"6016000","26.769999980926514","26.769999980926514","26.769999980926514"
"6080000","27.020000457763672","27.020000457763672","27.020000457763672"
"6144000","24.890000343322754","24.890000343322754","24.890000343322754"
"6208000","24.25","24.25","24.25"
"6272000","23.97000002861023","23.97000002861023","23.97000002861023"
"6336000","25.789999961853027","25.789999961853027","25.789999961853027"
"6400000","29.080000400543213","29.080000400543213","29.080000400543213"
"6464000","29.31999921798706","29.31999921798706","29.31999921798706"
"6528000","28.09999990463257","28.09999990463257","28.09999990463257"
"6592000","31.600000381469727","31.600000381469727","31.600000381469727"
"6656000","30.80999994277954","30.80999994277954","30.80999994277954"
"6720000","33.78000020980835","33.78000020980835","33.78000020980835"
"6784000","38.46999931335449","38.46999931335449","38.46999931335449"
"6848000","34.88000011444092","34.88000011444092","34.88000011444092"
"6912000","34.390000343322754","34.390000343322754","34.390000343322754"
"6976000","32.93000030517578","32.93000030517578","32.93000030517578"
"7040000","35.68000030517578","35.68000030517578","35.68000030517578"
"7104000","41.15999984741211","41.15999984741211","41.15999984741211"
"7168000","37.3299994468689","37.3299994468689","37.3299994468689"
"7232000","34.69000005722046","34.69000005722046","34.69000005722046"
"7296000","33.889999866485596","33.889999866485596","33.889999866485596"
"7360000","36.53999996185303","36.53999996185303","36.53999996185303"
"7424000","36.34999990463257","36.34999990463257","36.34999990463257"
"7488000","33.94999980926514","33.94999980926514","33.94999980926514"
"7552000","31.34000015258789","31.34000015258789","31.34000015258789"
"7616000","29.999999523162842","29.999999523162842","29.999999523162842"
"7680000","32.110000133514404","32.110000133514404","32.110000133514404"
"7744000","34.25","34.25","34.25"
"7808000","34.329999923706055","34.329999923706055","34.329999923706055"
"7872000","33.05000019073486","33.05000019073486","33.05000019073486"
"7936000","31.68000030517578","31.68000030517578","31.68000030517578"
"8000000","27.28999948501587","27.28999948501587","27.28999948501587"
"8064000","31.72000026702881","31.72000026702881","31.72000026702881"
"8128000","32.62999963760376","32.62999963760376","32.62999963760376"
"8192000","35.10000038146973","35.10000038146973","35.10000038146973"
"8256000","34.03999996185303","34.03999996185303","34.03999996185303"
"8320000","33.609999656677246","33.609999656677246","33.609999656677246"
"8384000","33.17999982833862","33.17999982833862","33.17999982833862"
"8448000","32.4399995803833","32.4399995803833","32.4399995803833"
"8512000","34.91000032424927","34.91000032424927","34.91000032424927"
"8576000","35.17999982833862","35.17999982833862","35.17999982833862"
"8640000","34.84999990463257","34.84999990463257","34.84999990463257"
"8704000","34.130000591278076","34.130000591278076","34.130000591278076"
"8768000","34.820000648498535","34.820000648498535","34.820000648498535"
"8832000","38.03999996185303","38.03999996185303","38.03999996185303"
"8896000","39.19000005722046","39.19000005722046","39.19000005722046"
"8960000","37.78999996185303","37.78999996185303","37.78999996185303"
"9024000","34.4200005531311","34.4200005531311","34.4200005531311"
"9088000","34.91999959945679","34.91999959945679","34.91999959945679"
"9152000","37.670000076293945","37.670000076293945","37.670000076293945"
"9216000","37.24000024795532","37.24000024795532","37.24000024795532"
"9280000","33.65000009536743","33.65000009536743","33.65000009536743"
"9344000","41.83000040054321","41.83000040054321","41.83000040054321"
"9408000","43.720001220703125","43.720001220703125","43.720001220703125"
"9472000","40.28000020980835","40.28000020980835","40.28000020980835"
