"Step","coin3_cbambaseline - SW_ep_rew_total","coin3_cbambaseline - SW_ep_rew_total__MIN","coin3_cbambaseline - SW_ep_rew_total__MAX"
"64000","-3.299999952316284","-3.299999952316284","-3.299999952316284"
"128000","-2.0800000429153442","-2.0800000429153442","-2.0800000429153442"
"192000","-1.6599999070167542","-1.6599999070167542","-1.6599999070167542"
"256000","-1.8100003004074097","-1.8100003004074097","-1.8100003004074097"
"320000","-1.709999918937683","-1.709999918937683","-1.709999918937683"
"384000","-2.839999794960022","-2.839999794960022","-2.839999794960022"
"448000","-0.8399999141693115","-0.8399999141693115","-0.8399999141693115"
"512000","-2.3000001907348633","-2.3000001907348633","-2.3000001907348633"
"576000","-0.019999980926513672","-0.019999980926513672","-0.019999980926513672"
"640000","-1.4399998188018799","-1.4399998188018799","-1.4399998188018799"
"704000","-0.10000014305114746","-0.10000014305114746","-0.10000014305114746"
"768000","0.8900002241134644","0.8900002241134644","0.8900002241134644"
"832000","0.16000008583068848","0.16000008583068848","0.16000008583068848"
"896000","0.20000004768371582","0.20000004768371582","0.20000004768371582"
"960000","1.4200000762939453","1.4200000762939453","1.4200000762939453"
"1024000","1.7000000476837158","1.7000000476837158","1.7000000476837158"
"1088000","3.260000228881836","3.260000228881836","3.260000228881836"
"1152000","2","2","2"
"1216000","5.059999942779541","5.059999942779541","5.059999942779541"
"1280000","4.819999694824219","4.819999694824219","4.819999694824219"
"1344000","3.9000000953674316","3.9000000953674316","3.9000000953674316"
"1408000","4.78000020980835","4.78000020980835","4.78000020980835"
"1472000","4.900000095367432","4.900000095367432","4.900000095367432"
"1536000","5.859999656677246","5.859999656677246","5.859999656677246"
"1600000","5.659999847412109","5.659999847412109","5.659999847412109"
"1664000","5.1000001430511475","5.1000001430511475","5.1000001430511475"
"1728000","5.039999961853027","5.039999961853027","5.039999961853027"
"1792000","4.740000247955322","4.740000247955322","4.740000247955322"
"1856000","5.020000457763672","5.020000457763672","5.020000457763672"
"1920000","5.619999885559082","5.619999885559082","5.619999885559082"
"1984000","5.480000019073486","5.480000019073486","5.480000019073486"
"2048000","5.160000324249268","5.160000324249268","5.160000324249268"
"2112000","6.779999732971191","6.779999732971191","6.779999732971191"
"2176000","6.320000171661377","6.320000171661377","6.320000171661377"
"2240000","5.919999599456787","5.919999599456787","5.919999599456787"
"2304000","5.900000095367432","5.900000095367432","5.900000095367432"
"2368000","6.299999713897705","6.299999713897705","6.299999713897705"
"2432000","5.460000038146973","5.460000038146973","5.460000038146973"
"2496000","6.5400002002716064","6.5400002002716064","6.5400002002716064"
"2560000","6.640000104904175","6.640000104904175","6.640000104904175"
"2624000","5.339999675750732","5.339999675750732","5.339999675750732"
"2688000","6.759999990463257","6.759999990463257","6.759999990463257"
"2752000","5.880000114440918","5.880000114440918","5.880000114440918"
"2816000","6.1600000858306885","6.1600000858306885","6.1600000858306885"
"2880000","5.860000133514404","5.860000133514404","5.860000133514404"
"2944000","6.059999942779541","6.059999942779541","6.059999942779541"
"3008000","6.140000343322754","6.140000343322754","6.140000343322754"
"3072000","6.37999963760376","6.37999963760376","6.37999963760376"
"3136000","7.079999923706055","7.079999923706055","7.079999923706055"
"3200000","6.299999952316284","6.299999952316284","6.299999952316284"
"3264000","6.320000410079956","6.320000410079956","6.320000410079956"
"3328000","7.440000295639038","7.440000295639038","7.440000295639038"
"3392000","7.139999866485596","7.139999866485596","7.139999866485596"
"3456000","7.320000171661377","7.320000171661377","7.320000171661377"
"3520000","7.279999732971191","7.279999732971191","7.279999732971191"
"3584000","7.379999876022339","7.379999876022339","7.379999876022339"
"3648000","6.640000104904175","6.640000104904175","6.640000104904175"
"3712000","7.979999780654907","7.979999780654907","7.979999780654907"
"3776000","7.579999923706055","7.579999923706055","7.579999923706055"
"3840000","7.260000228881836","7.260000228881836","7.260000228881836"
"3904000","7.9599997997283936","7.9599997997283936","7.9599997997283936"
"3968000","7.299999713897705","7.299999713897705","7.299999713897705"
"4032000","7.78000009059906","7.78000009059906","7.78000009059906"
"4096000","8.710000038146973","8.710000038146973","8.710000038146973"
"4160000","7.539999961853027","7.539999961853027","7.539999961853027"
"4224000","7.4999998807907104","7.4999998807907104","7.4999998807907104"
"4288000","8.34000027179718","8.34000027179718","8.34000027179718"
"4352000","9.099999904632568","9.099999904632568","9.099999904632568"
"4416000","7.879999756813049","7.879999756813049","7.879999756813049"
"4480000","8.680000066757202","8.680000066757202","8.680000066757202"
"4544000","7.700000166893005","7.700000166893005","7.700000166893005"
"4608000","8.340000033378601","8.340000033378601","8.340000033378601"
"4672000","8.799999952316284","8.799999952316284","8.799999952316284"
"4736000","6.940000295639038","6.940000295639038","6.940000295639038"
"4800000","8.100000023841858","8.100000023841858","8.100000023841858"
"4864000","7.320000171661377","7.320000171661377","7.320000171661377"
"4928000","9.720000267028809","9.720000267028809","9.720000267028809"
"4992000","7.900000333786011","7.900000333786011","7.900000333786011"
"5056000","8.239999890327454","8.239999890327454","8.239999890327454"
"5120000","9.079999923706055","9.079999923706055","9.079999923706055"
"5184000","7.380000114440918","7.380000114440918","7.380000114440918"
"5248000","8.299999713897705","8.299999713897705","8.299999713897705"
"5312000","8.07999986410141","8.07999986410141","8.07999986410141"
