"Step","coin3_cbambaseline - SW_ep_rew_total","coin3_cbambaseline - SW_ep_rew_total__MIN","coin3_cbambaseline - SW_ep_rew_total__MAX"
"64000","-2.080000162124634","-2.080000162124634","-2.080000162124634"
"128000","-2.2999998331069946","-2.2999998331069946","-2.2999998331069946"
"192000","-1.8400001525878906","-1.8400001525878906","-1.8400001525878906"
"256000","-1.500000238418579","-1.500000238418579","-1.500000238418579"
"320000","-2.7799997329711914","-2.7799997329711914","-2.7799997329711914"
"384000","-2.259999990463257","-2.259999990463257","-2.259999990463257"
"448000","-0.5799996852874756","-0.5799996852874756","-0.5799996852874756"
"512000","-1.1800000667572021","-1.1800000667572021","-1.1800000667572021"
"576000","-2.5299997329711914","-2.5299997329711914","-2.5299997329711914"
"640000","-1.6599998474121094","-1.6599998474121094","-1.6599998474121094"
"704000","-0.9199998378753662","-0.9199998378753662","-0.9199998378753662"
"768000","-1.320000171661377","-1.320000171661377","-1.320000171661377"
"832000","-0.4200000762939453","-0.4200000762939453","-0.4200000762939453"
"896000","0.06000018119812012","0.06000018119812012","0.06000018119812012"
"960000","2.3600001335144043","2.3600001335144043","2.3600001335144043"
"1024000","0.9200000762939453","0.9200000762939453","0.9200000762939453"
"1088000","1.8199996948242188","1.8199996948242188","1.8199996948242188"
"1152000","1.0799999237060547","1.0799999237060547","1.0799999237060547"
"1216000","2.2200002670288086","2.2200002670288086","2.2200002670288086"
"1280000","2.6600003242492676","2.6600003242492676","2.6600003242492676"
"1344000","3.119999885559082","3.119999885559082","3.119999885559082"
"1408000","2.2599997520446777","2.2599997520446777","2.2599997520446777"
"1472000","4.159999370574951","4.159999370574951","4.159999370574951"
"1536000","2.6599998474121094","2.6599998474121094","2.6599998474121094"
"1600000","2.000000476837158","2.000000476837158","2.000000476837158"
"1664000","3.080000400543213","3.080000400543213","3.080000400543213"
"1728000","3.3000001907348633","3.3000001907348633","3.3000001907348633"
"1792000","4.139999866485596","4.139999866485596","4.139999866485596"
"1856000","4.720000267028809","4.720000267028809","4.720000267028809"
"1920000","4.320000171661377","4.320000171661377","4.320000171661377"
"1984000","4.279999732971191","4.279999732971191","4.279999732971191"
"2048000","3.5199999809265137","3.5199999809265137","3.5199999809265137"
"2112000","4.230000019073486","4.230000019073486","4.230000019073486"
"2176000","3.939999580383301","3.939999580383301","3.939999580383301"
"2240000","4.360000133514404","4.360000133514404","4.360000133514404"
"2304000","4.640000343322754","4.640000343322754","4.640000343322754"
"2368000","4.5","4.5","4.5"
"2432000","4.940000057220459","4.940000057220459","4.940000057220459"
"2496000","6.140000343322754","6.140000343322754","6.140000343322754"
"2560000","5.139999866485596","5.139999866485596","5.139999866485596"
"2624000","5.259999752044678","5.259999752044678","5.259999752044678"
"2688000","7.160000324249268","7.160000324249268","7.160000324249268"
"2752000","5.020000457763672","5.020000457763672","5.020000457763672"
"2816000","6.339999675750732","6.339999675750732","6.339999675750732"
"2880000","4.839999675750732","4.839999675750732","4.839999675750732"
"2944000","5.960000038146973","5.960000038146973","5.960000038146973"
"3008000","6.460000038146973","6.460000038146973","6.460000038146973"
"3072000","6.0400002002716064","6.0400002002716064","6.0400002002716064"
"3136000","7.1600000858306885","7.1600000858306885","7.1600000858306885"
"3200000","6.78000020980835","6.78000020980835","6.78000020980835"
"3264000","7.71999979019165","7.71999979019165","7.71999979019165"
"3328000","7.080000162124634","7.080000162124634","7.080000162124634"
"3392000","6.8999998569488525","6.8999998569488525","6.8999998569488525"
"3456000","7.919999837875366","7.919999837875366","7.919999837875366"
"3520000","5.980000257492065","5.980000257492065","5.980000257492065"
"3584000","7.579999923706055","7.579999923706055","7.579999923706055"
"3648000","7.340000152587891","7.340000152587891","7.340000152587891"
"3712000","6.599999904632568","6.599999904632568","6.599999904632568"
"3776000","8.539999961853027","8.539999961853027","8.539999961853027"
"3840000","8.619999647140503","8.619999647140503","8.619999647140503"
"3904000","9.320000231266022","9.320000231266022","9.320000231266022"
"3968000","7.240000009536743","7.240000009536743","7.240000009536743"
"4032000","8.180000066757202","8.180000066757202","8.180000066757202"
"4096000","9.06000006198883","9.06000006198883","9.06000006198883"
"4160000","9.520000040531158","9.520000040531158","9.520000040531158"
"4224000","8.06000018119812","8.06000018119812","8.06000018119812"
"4288000","8.500000476837158","8.500000476837158","8.500000476837158"
"4352000","8.5","8.5","8.5"
"4416000","8.56000018119812","8.56000018119812","8.56000018119812"
"4480000","8.459999918937683","8.459999918937683","8.459999918937683"
"4544000","9.059999942779541","9.059999942779541","9.059999942779541"
"4608000","9.520000100135803","9.520000100135803","9.520000100135803"
"4672000","8.239999830722809","8.239999830722809","8.239999830722809"
"4736000","9.419999957084656","9.419999957084656","9.419999957084656"
"4800000","8.84000015258789","8.84000015258789","8.84000015258789"
"4864000","9.500000059604645","9.500000059604645","9.500000059604645"
"4928000","8.199999928474426","8.199999928474426","8.199999928474426"
"4992000","7.399999618530273","7.399999618530273","7.399999618530273"
"5056000","10.039999842643738","10.039999842643738","10.039999842643738"
"5120000","9.600000094622374","9.600000094622374","9.600000094622374"
"5184000","7.859999895095825","7.859999895095825","7.859999895095825"
"5248000","8.839999824762344","8.839999824762344","8.839999824762344"
"5312000","8.779999732971191","8.779999732971191","8.779999732971191"
"5376000","10.019999742507935","10.019999742507935","10.019999742507935"
"5440000","9.760000169277191","9.760000169277191","9.760000169277191"
"5504000","7.440000295639038","7.440000295639038","7.440000295639038"
"5568000","8.180000066757202","8.180000066757202","8.180000066757202"
"5632000","7.919999837875366","7.919999837875366","7.919999837875366"
"5696000","8.37999975681305","8.37999975681305","8.37999975681305"
"5760000","8.679999947547913","8.679999947547913","8.679999947547913"
"5824000","10.100000083446503","10.100000083446503","10.100000083446503"
"5888000","7.819999933242798","7.819999933242798","7.819999933242798"
"5952000","9.28000020980835","9.28000020980835","9.28000020980835"
"6016000","8.360000133514404","8.360000133514404","8.360000133514404"
"6080000","9.239999771118164","9.239999771118164","9.239999771118164"
"6144000","9.0799999833107","9.0799999833107","9.0799999833107"
"6208000","9.89999994635582","9.89999994635582","9.89999994635582"
"6272000","9.379999876022339","9.379999876022339","9.379999876022339"
"6336000","10.160000324249268","10.160000324249268","10.160000324249268"
"6400000","7.519999980926514","7.519999980926514","7.519999980926514"
"6464000","10.419999718666077","10.419999718666077","10.419999718666077"
"6528000","7.940000295639038","7.940000295639038","7.940000295639038"
"6592000","9.080000281333923","9.080000281333923","9.080000281333923"
"6656000","8.520000338554382","8.520000338554382","8.520000338554382"
"6720000","10.06000006198883","10.06000006198883","10.06000006198883"
"6784000","10","10","10"
"6848000","10.099999949336052","10.099999949336052","10.099999949336052"
"6912000","9.099999904632568","9.099999904632568","9.099999904632568"
"6976000","8.06000018119812","8.06000018119812","8.06000018119812"
"7040000","9.139999747276306","9.139999747276306","9.139999747276306"
"7104000","8.580000281333923","8.580000281333923","8.580000281333923"
"7168000","8.239999532699585","8.239999532699585","8.239999532699585"
"7232000","10.039999943226576","10.039999943226576","10.039999943226576"
"7296000","9.399999998509884","9.399999998509884","9.399999998509884"
