Step,lbf10_cbamcausal - SW_ep_rew_total,lbf10_cbamcausal - SW_ep_rew_total__MIN,lbf10_cbamcausal - SW_ep_rew_total__MAX
64002,5.94000005722046,5.94000005722046,5.94000005722046
128002,5.8199999332428,5.8199999332428,5.8199999332428
192002,5.52999985218048,5.52999985218048,5.52999985218048
256002,5.6100001335144,5.6100001335144,5.6100001335144
320002,6.97000014781952,6.97000014781952,6.97000014781952
384002,4.969999969005579,4.969999969005579,4.969999969005579
448002,5.299999952316281,5.299999952316281,5.299999952316281
512002,9.380000233650211,9.380000233650211,9.380000233650211
576002,6.91999983787537,6.91999983787537,6.91999983787537
640002,9.019999742507931,9.019999742507931,9.019999742507931
704002,8.95999991893768,8.95999991893768,8.95999991893768
768002,8.95999991893768,8.95999991893768,8.95999991893768
832002,10.33000004291534,10.33000004291534,10.33000004291534
896002,10.26999998092651,10.26999998092651,10.26999998092651
960002,10.78999984264374,10.78999984264374,10.78999984264374
1024002,11.54999971389771,11.54999971389771,11.54999971389771
1088002,11.06000006198883,11.06000006198883,11.06000006198883
1152002,11.42000031471252,11.42000031471252,11.42000031471252
1216002,11.38000011444092,11.38000011444092,11.38000011444092
1280002,11.43999975919724,11.43999975919724,11.43999975919724
1344002,13.2200002670288,13.2200002670288,13.2200002670288
1408002,14.5200001001358,14.5200001001358,14.5200001001358
1472002,12.0900002717972,12.0900002717972,12.0900002717972
1536002,13.7400000095367,13.7400000095367,13.7400000095367
1600002,12.8499999046326,12.8499999046326,12.8499999046326
1664002,13.139999628067,13.139999628067,13.139999628067
1728002,11.04999995231628,11.04999995231628,11.04999995231628
1792002,13.0400000810623,13.0400000810623,13.0400000810623
1856002,13.6099998950958,13.6099998950958,13.6099998950958
1920002,11.25,11.25,11.25
1984002,13.6700001955032,13.6700001955032,13.6700001955032
2048002,13.6499998569489,13.6499998569489,13.6499998569489
2112002,14.4499998092651,14.4499998092651,14.4499998092651
2176002,12.0600000619888,12.0600000619888,12.0600000619888
2240002,14.0300000905991,14.0300000905991,14.0300000905991
2304002,12.3700001239777,12.3700001239777,12.3700001239777
2368002,12.2400002479553,12.2400002479553,12.2400002479553
2432002,14.700000166893,14.700000166893,14.700000166893
2496002,15.1799998283386,15.1799998283386,15.1799998283386
2560002,14.6900001764297,14.6900001764297,14.6900001764297
2624002,13.0500001907349,13.0500001907349,13.0500001907349
2688002,16.5099997520447,16.5099997520447,16.5099997520447
2752002,16.599999666214,16.599999666214,16.599999666214
2816002,15.4700001478195,15.4700001478195,15.4700001478195
2880002,15.6999998092651,15.6999998092651,15.6999998092651
2944002,13.5400002002716,13.5400002002716,13.5400002002716
3008002,13.4800000190735,13.4800000190735,13.4800000190735
3072002,13.259999871254,13.259999871254,13.259999871254
3136002,16.2399995326996,16.2399995326996,16.2399995326996
3200002,14.7600004673004,14.7600004673004,14.7600004673004
3264002,15.859999537468,15.859999537468,15.859999537468
3328002,15.4699999094009,15.4699999094009,15.4699999094009
3392002,16.029999852180502,16.029999852180502,16.029999852180502
3456002,15.0700006484985,15.0700006484985,15.0700006484985
3520002,14.4900000095367,14.4900000095367,14.4900000095367
3584002,14.6199998855591,14.6199998855591,14.6199998855591
3648002,14.8600000143051,14.8600000143051,14.8600000143051
3712002,15.9000005722046,15.9000005722046,15.9000005722046
3776002,15.2499998807907,15.2499998807907,15.2499998807907
3840002,14.4200000762939,14.4200000762939,14.4200000762939
3904002,14.4599997997284,14.4599997997284,14.4599997997284
3968002,16.560000061988802,16.560000061988802,16.560000061988802
4032002,15.7400000095367,15.7400000095367,15.7400000095367
4096002,14.2299998998642,14.2299998998642,14.2299998998642
4160002,16.3800004720688,16.3800004720688,16.3800004720688
4224002,14.539999961853,14.539999961853,14.539999961853
4288002,15.91000020504,15.91000020504,15.91000020504
4352002,15.3400007486343,15.3400007486343,15.3400007486343
4416002,16.66000020504,16.66000020504,16.66000020504
4480002,16.3200000524521,16.3200000524521,16.3200000524521
4544002,13.5700002908707,13.5700002908707,13.5700002908707
4608002,14.3000000715256,14.3000000715256,14.3000000715256
4672002,15.2300002574921,15.2300002574921,15.2300002574921
4736002,16.119999408721903,16.119999408721903,16.119999408721903
4800002,15.6199997663498,15.6199997663498,15.6199997663498
4864002,16.3099998235703,16.3099998235703,16.3099998235703
4928002,16.279999256133998,16.279999256133998,16.279999256133998
4992002,15.5199998617172,15.5199998617172,15.5199998617172
5056002,16.2199994325638,16.2199994325638,16.2199994325638
5120002,15.5400002002716,15.5400002002716,15.5400002002716
5184002,17.2800002098083,17.2800002098083,17.2800002098083
5248002,17.5500005483627,17.5500005483627,17.5500005483627
5312002,15.2399998903275,15.2399998903275,15.2399998903275
5376002,14.9899997711182,14.9899997711182,14.9899997711182
5440002,15.1400003433228,15.1400003433228,15.1400003433228
5504002,15.6200006008148,15.6200006008148,15.6200006008148
5568002,14.6300001144409,14.6300001144409,14.6300001144409
5632002,15.9899998903275,15.9899998903275,15.9899998903275
5696002,18.110000371933,18.110000371933,18.110000371933
5760002,16.1299998760223,16.1299998760223,16.1299998760223
5824002,16.5000001192093,16.5000001192093,16.5000001192093
5888002,16.6300002336502,16.6300002336502,16.6300002336502
5952002,17.1000002622604,17.1000002622604,17.1000002622604
6016002,15.2999999523163,15.2999999523163,15.2999999523163
6080002,16.5500004291534,16.5500004291534,16.5500004291534
6144002,14.6000003814697,14.6000003814697,14.6000003814697
6208002,16.609999537468,16.609999537468,16.609999537468
6272002,16.6900004148483,16.6900004148483,16.6900004148483
6336002,15.5200004577637,15.5200004577637,15.5200004577637
