"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"2688000","-14.979999899864197","-14.979999899864197","-14.979999899864197"
"2752000","-9.429999928921461","-9.429999928921461","-9.429999928921461"
"2816000","-8.190000168979168","-8.190000168979168","-8.190000168979168"
"2880000","-3.879999965429306","-3.879999965429306","-3.879999965429306"
"2944000","0.009999945759773254","0.009999945759773254","0.009999945759773254"
"3008000","1.1700000166893005","1.1700000166893005","1.1700000166893005"
"3072000","2.0000000037252903","2.0000000037252903","2.0000000037252903"
"3136000","5.2700000405311584","5.2700000405311584","5.2700000405311584"
"3200000","4.719999998807907","4.719999998807907","4.719999998807907"
"3264000","5.379999926313758","5.379999926313758","5.379999926313758"
"3328000","4.7300001084804535","4.7300001084804535","4.7300001084804535"
"3392000","4.979999914765358","4.979999914765358","4.979999914765358"
"3456000","5.959999978542328","5.959999978542328","5.959999978542328"
"3520000","5.009999930858612","5.009999930858612","5.009999930858612"
"3584000","5.260000050067902","5.260000050067902","5.260000050067902"
"3648000","5.130000084638596","5.130000084638596","5.130000084638596"
"3712000","4.580000042915344","4.580000042915344","4.580000042915344"
"3776000","5.300000011920929","5.300000011920929","5.300000011920929"
"3840000","4.769999984651804","4.769999984651804","4.769999984651804"
"3904000","5.830000042915344","5.830000042915344","5.830000042915344"
"3968000","7.350000023841858","7.350000023841858","7.350000023841858"
"4032000","7.739999890327454","7.739999890327454","7.739999890327454"
"4096000","8.199999928474426","8.199999928474426","8.199999928474426"
"4160000","8.139999866485596","8.139999866485596","8.139999866485596"
"4224000","7.2200000286102295","7.2200000286102295","7.2200000286102295"
"4288000","7.0800001714378595","7.0800001714378595","7.0800001714378595"
"4352000","6.269999988377094","6.269999988377094","6.269999988377094"
"4416000","9.209999799728394","9.209999799728394","9.209999799728394"
"4480000","9.319999933242798","9.319999933242798","9.319999933242798"
"4544000","9.420000076293945","9.420000076293945","9.420000076293945"
"4608000","9.740000009536743","9.740000009536743","9.740000009536743"
"4672000","10.470000147819519","10.470000147819519","10.470000147819519"
"4736000","9.669999957084656","9.669999957084656","9.669999957084656"
"4800000","8.369999885559082","8.369999885559082","8.369999885559082"
"4864000","7.6600000858306885","7.6600000858306885","7.6600000858306885"
"4928000","7.659999966621399","7.659999966621399","7.659999966621399"
"4992000","7.46999990940094","7.46999990940094","7.46999990940094"
"5056000","6.870000004768372","6.870000004768372","6.870000004768372"
"5120000","6.269999980926514","6.269999980926514","6.269999980926514"
"5184000","6.4700000286102295","6.4700000286102295","6.4700000286102295"
"5248000","6.379999995231628","6.379999995231628","6.379999995231628"
"5312000","6.280000030994415","6.280000030994415","6.280000030994415"
"5376000","6.949999988079071","6.949999988079071","6.949999988079071"
"5440000","7.630000114440918","7.630000114440918","7.630000114440918"
"5504000","7.019999921321869","7.019999921321869","7.019999921321869"
"5568000","8.269999980926514","8.269999980926514","8.269999980926514"
"5632000","8.28000009059906","8.28000009059906","8.28000009059906"
"5696000","8.029999852180481","8.029999852180481","8.029999852180481"
