"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"7168000","649.9900054931641","649.9900054931641","649.9900054931641"
"7232000","646.4500045776367","646.4500045776367","646.4500045776367"
"7296000","650.3600006103516","650.3600006103516","650.3600006103516"
"7360000","647.2799987792969","647.2799987792969","647.2799987792969"
"7424000","643.2200012207031","643.2200012207031","643.2200012207031"
"7488000","658.9000015258789","658.9000015258789","658.9000015258789"
"7552000","639.4299926757812","639.4299926757812","639.4299926757812"
"7616000","632.5199813842773","632.5199813842773","632.5199813842773"
"7680000","640.370002746582","640.370002746582","640.370002746582"
"7744000","643.9500045776367","643.9500045776367","643.9500045776367"
"7808000","643.5999908447266","643.5999908447266","643.5999908447266"
"7872000","642.5899810791016","642.5899810791016","642.5899810791016"
"7936000","639.6600036621094","639.6600036621094","639.6600036621094"
"8000000","625.8600006103516","625.8600006103516","625.8600006103516"
"8064000","637.6700134277344","637.6700134277344","637.6700134277344"
"8128000","645.0900039672852","645.0900039672852","645.0900039672852"
"8192000","629.6100082397461","629.6100082397461","629.6100082397461"
"8256000","650.0800170898438","650.0800170898438","650.0800170898438"
"8320000","642.8000183105469","642.8000183105469","642.8000183105469"
"8384000","640.4200057983398","640.4200057983398","640.4200057983398"
"8448000","648.3199844360352","648.3199844360352","648.3199844360352"
"8512000","644.7000045776367","644.7000045776367","644.7000045776367"
"8576000","636.4199905395508","636.4199905395508","636.4199905395508"
"8640000","634.3699951171875","634.3699951171875","634.3699951171875"
"8704000","647.3600082397461","647.3600082397461","647.3600082397461"
"8768000","650.2499923706055","650.2499923706055","650.2499923706055"
"8832000","668.0599899291992","668.0599899291992","668.0599899291992"
"8896000","647.2500076293945","647.2500076293945","647.2500076293945"
"8960000","634.2900009155273","634.2900009155273","634.2900009155273"
"9024000","630.2000122070312","630.2000122070312","630.2000122070312"
"9088000","632.9299850463867","632.9299850463867","632.9299850463867"
"9152000","636.1600036621094","636.1600036621094","636.1600036621094"
"9216000","625.5","625.5","625.5"
"9280000","632.0099945068359","632.0099945068359","632.0099945068359"
"9344000","638.7999801635742","638.7999801635742","638.7999801635742"
"9408000","637.0700073242188","637.0700073242188","637.0700073242188"
"9472000","641.5","641.5","641.5"
"9536000","656.9099960327148","656.9099960327148","656.9099960327148"
"9600000","655.0500030517578","655.0500030517578","655.0500030517578"
