"Step","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_baseline_1 - SW_ep_rew_mean","Group: coin3_baseline_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_1 - SW_ep_rew_mean__MAX","Group: coin3_baseline_independent_1 - SW_ep_rew_mean","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MAX"
"792000","","","","","","","","","","","","","-2.2200000286102295","-2.2200000286102295","-2.2200000286102295","","",""
"816000","","","","","","","","","","","","","","","","-2.086666656037172","-2.086666656037172","-2.086666656037172"
"832000","0.4199998776117961","0.4199998776117961","0.4199998776117961","-2.033333341280619","-2.033333341280619","-2.033333341280619","-2.6600000460942588","-2.7733333905537925","-2.546666701634725","-2.890000025431315","-2.890000025431315","-2.890000025431315","","","","","",""
"864000","","","","","","","","","","","","","-3.930000066757202","-3.930000066757202","-3.930000066757202","-1.4200000365575154","-1.4200000365575154","-1.4200000365575154"
"896000","0.5000000794728597","0.5000000794728597","0.5000000794728597","-2.230000058809916","-2.230000058809916","-2.230000058809916","-3.0766666332880654","-3.400000015894572","-2.753333250681559","-2.6100000143051147","-2.6100000143051147","-2.6100000143051147","","","","","",""
"912000","","","","","","","","","","","","","","","","-2.3866666220128536","-2.3866666220128536","-2.3866666220128536"
"936000","","","","","","","","","","","","","-3.2699999809265137","-3.2699999809265137","-3.2699999809265137","","",""
"960000","0.646666685740153","0.646666685740153","0.646666685740153","-2.2199999888738","-2.2199999888738","-2.2199999888738","-3.1649999618530273","-3.5466666221618652","-2.7833333015441895","-2.506666660308838","-2.506666660308838","-2.506666660308838","","","","-2.486666679382324","-2.486666679382324","-2.486666679382324"
"1008000","","","","","","","","","","","","","-3.5199999809265137","-3.5199999809265137","-3.5199999809265137","-2.0666666676600776","-2.0666666676600776","-2.0666666676600776"
"1024000","0.606666644414266","0.606666644414266","0.606666644414266","-1.746666669845581","-1.746666669845581","-1.746666669845581","-2.9883334040641785","-3.193333387374878","-2.783333420753479","-2.986666679382324","-2.986666679382324","-2.986666679382324","","","","","",""
"1056000","","","","","","","","","","","","","","","","-1.7800000111262004","-1.7800000111262004","-1.7800000111262004"
"1080000","","","","","","","","","","","","","-3.0799999237060547","-3.0799999237060547","-3.0799999237060547","","",""
"1088000","0.8900001049041748","0.8900001049041748","0.8900001049041748","-1.680000017086665","-1.680000017086665","-1.680000017086665","-2.848333279291789","-3.073333263397217","-2.623333295186361","-2.709999958674113","-2.709999958674113","-2.709999958674113","","","","","",""
"1104000","","","","","","","","","","","","","","","","-1.033333306511243","-1.033333306511243","-1.033333306511243"
