"Step","coin3_cbam_causal - SW_ep_rew_mean","coin3_cbam_causal - SW_ep_rew_mean__MIN","coin3_cbam_causal - SW_ep_rew_mean__MAX"
"64000","-0.2600000699361165","-0.2600000699361165","-0.2600000699361165"
"128000","-0.54666668176651","-0.54666668176651","-0.54666668176651"
"192000","-0.3399999936421712","-0.3399999936421712","-0.3399999936421712"
"256000","-0.5066667000452677","-0.5066667000452677","-0.5066667000452677"
"320000","-0.7133334080378214","-0.7133334080378214","-0.7133334080378214"
"384000","-0.6733333269755045","-0.6733333269755045","-0.6733333269755045"
"448000","-0.40666667620340985","-0.40666667620340985","-0.40666667620340985"
"512000","-0.8133332629998525","-0.8133332629998525","-0.8133332629998525"
"576000","-0.8400000135103861","-0.8400000135103861","-0.8400000135103861"
"640000","-0.29333333174387616","-0.29333333174387616","-0.29333333174387616"
"704000","0.4266666571299235","0.4266666571299235","0.4266666571299235"
"768000","0.2566667397816976","0.2566667397816976","0.2566667397816976"
"832000","0.4199998776117961","0.4199998776117961","0.4199998776117961"
"896000","0.5000000794728597","0.5000000794728597","0.5000000794728597"
"960000","0.646666685740153","0.646666685740153","0.646666685740153"
"1024000","0.606666644414266","0.606666644414266","0.606666644414266"
"1088000","0.8900001049041748","0.8900001049041748","0.8900001049041748"
"1152000","1.1233332951863606","1.1233332951863606","1.1233332951863606"
"1216000","0.6600000858306885","0.6600000858306885","0.6600000858306885"
"1280000","1.3133333524068196","1.3133333524068196","1.3133333524068196"
"1344000","1.2400000890096028","1.2400000890096028","1.2400000890096028"
"1408000","1.81333327293396","1.81333327293396","1.81333327293396"
"1472000","1.7633333206176758","1.7633333206176758","1.7633333206176758"
"1536000","1.690000057220459","1.690000057220459","1.690000057220459"
"1600000","1.9133334159851074","1.9133334159851074","1.9133334159851074"
"1664000","1.6866666475931804","1.6866666475931804","1.6866666475931804"
"1728000","2.319999853769938","2.319999853769938","2.319999853769938"
"1792000","1.933333396911621","1.933333396911621","1.933333396911621"
"1856000","2.086666742960612","2.086666742960612","2.086666742960612"
"1920000","2.1533335049947104","2.1533335049947104","2.1533335049947104"
"1984000","2.6666666666666665","2.6666666666666665","2.6666666666666665"
"2048000","2.43666664759318","2.43666664759318","2.43666664759318"
"2112000","2.953333298365275","2.953333298365275","2.953333298365275"
"2176000","3.0399998823801675","3.0399998823801675","3.0399998823801675"
"2240000","2.1200000445048013","2.1200000445048013","2.1200000445048013"
