"Step","lbf10_cbambaseline - SW_ep_rew_total","lbf10_cbambaseline - SW_ep_rew_total__MIN","lbf10_cbambaseline - SW_ep_rew_total__MAX"
"64000","32.624999046325684","32.624999046325684","32.624999046325684"
"128000","31.460001468658447","31.460001468658447","31.460001468658447"
"192000","30.71999979019165","30.71999979019165","30.71999979019165"
"256000","30.750000476837158","30.750000476837158","30.750000476837158"
"320000","29.53000044822693","29.53000044822693","29.53000044822693"
"384000","27.68000030517578","27.68000030517578","27.68000030517578"
"448000","31.310000896453857","31.310000896453857","31.310000896453857"
"512000","31.869999885559082","31.869999885559082","31.869999885559082"
"576000","30.620001792907715","30.620001792907715","30.620001792907715"
"640000","30.890002489089966","30.890002489089966","30.890002489089966"
"704000","29.869999647140503","29.869999647140503","29.869999647140503"
"768000","29.24999976158142","29.24999976158142","29.24999976158142"
"832000","29.709999084472656","29.709999084472656","29.709999084472656"
"896000","32.00000190734863","32.00000190734863","32.00000190734863"
"960000","31.05999994277954","31.05999994277954","31.05999994277954"
"1024000","31.599997997283936","31.599997997283936","31.599997997283936"
"1088000","31.169999599456787","31.169999599456787","31.169999599456787"
"1152000","31.990001916885376","31.990001916885376","31.990001916885376"
"1216000","31.239999771118164","31.239999771118164","31.239999771118164"
"1280000","32.50000190734863","32.50000190734863","32.50000190734863"
"1344000","32.80999994277954","32.80999994277954","32.80999994277954"
"1408000","32.000000953674316","32.000000953674316","32.000000953674316"
"1472000","32.910001277923584","32.910001277923584","32.910001277923584"
"1536000","31.870001316070557","31.870001316070557","31.870001316070557"
"1600000","31.6999990940094","31.6999990940094","31.6999990940094"
"1664000","31.239999294281006","31.239999294281006","31.239999294281006"
"1728000","32.16999912261963","32.16999912261963","32.16999912261963"
"1792000","30.919999361038208","30.919999361038208","30.919999361038208"
"1856000","31.22999906539917","31.22999906539917","31.22999906539917"
"1920000","32.59000062942505","32.59000062942505","32.59000062942505"
"1984000","32.95000219345093","32.95000219345093","32.95000219345093"
"2048000","31.980000019073486","31.980000019073486","31.980000019073486"
"2112000","31.63000249862671","31.63000249862671","31.63000249862671"
"2176000","32.05000114440918","32.05000114440918","32.05000114440918"
"2240000","32.44000005722046","32.44000005722046","32.44000005722046"
"2304000","32.880000591278076","32.880000591278076","32.880000591278076"
"2368000","32.350003242492676","32.350003242492676","32.350003242492676"
"2432000","32.26999759674072","32.26999759674072","32.26999759674072"
"2496000","32.56000256538391","32.56000256538391","32.56000256538391"
"2560000","33.400001525878906","33.400001525878906","33.400001525878906"
"2624000","33.78999948501587","33.78999948501587","33.78999948501587"
"2688000","34.80999994277954","34.80999994277954","34.80999994277954"
"2752000","31.52000141143799","31.52000141143799","31.52000141143799"
"2816000","33.489999771118164","33.489999771118164","33.489999771118164"
"2880000","32.72000312805176","32.72000312805176","32.72000312805176"
"2944000","33.370001792907715","33.370001792907715","33.370001792907715"
"3008000","33.34000015258789","33.34000015258789","33.34000015258789"
"3072000","33.5400013923645","33.5400013923645","33.5400013923645"
"3136000","34.48000192642212","34.48000192642212","34.48000192642212"
"3200000","34.11000061035156","34.11000061035156","34.11000061035156"
"3264000","33.440001487731934","33.440001487731934","33.440001487731934"
"3328000","32.16000294685364","32.16000294685364","32.16000294685364"
"3392000","34.43000078201294","34.43000078201294","34.43000078201294"
"3456000","34.76000165939331","34.76000165939331","34.76000165939331"
"3520000","34.17999982833862","34.17999982833862","34.17999982833862"
"3584000","34.640000343322754","34.640000343322754","34.640000343322754"
"3648000","34.140000343322754","34.140000343322754","34.140000343322754"
"3712000","33.839998960494995","33.839998960494995","33.839998960494995"
"3776000","34.8199987411499","34.8199987411499","34.8199987411499"
"3840000","33.219998598098755","33.219998598098755","33.219998598098755"
"3904000","34.62000036239624","34.62000036239624","34.62000036239624"
"3968000","36.920002460479736","36.920002460479736","36.920002460479736"
"4032000","35.45000219345093","35.45000219345093","35.45000219345093"
"4096000","35.459999561309814","35.459999561309814","35.459999561309814"
"4160000","34.690001487731934","34.690001487731934","34.690001487731934"
"4224000","35.889999866485596","35.889999866485596","35.889999866485596"
"4288000","35.09999990463257","35.09999990463257","35.09999990463257"
"4352000","35.67000150680542","35.67000150680542","35.67000150680542"
"4416000","38.4900016784668","38.4900016784668","38.4900016784668"
"4480000","37.33000135421753","37.33000135421753","37.33000135421753"
"4544000","35.20000076293945","35.20000076293945","35.20000076293945"
"4608000","35.41000032424927","35.41000032424927","35.41000032424927"
"4672000","35.97000074386597","35.97000074386597","35.97000074386597"
"4736000","35.13999938964844","35.13999938964844","35.13999938964844"
"4800000","34.30000138282776","34.30000138282776","34.30000138282776"
"4864000","34.23999834060669","34.23999834060669","34.23999834060669"
