"Step","lbf10_cbamsvo - SW_ep_rew_total","lbf10_cbamsvo - SW_ep_rew_total__MIN","lbf10_cbamsvo - SW_ep_rew_total__MAX"
"64000","3.930000066757202","3.930000066757202","3.930000066757202"
"128000","3.8600000143051147","3.8600000143051147","3.8600000143051147"
"192000","3.6100000143051147","3.6100000143051147","3.6100000143051147"
"256000","4.009999990463257","4.009999990463257","4.009999990463257"
"320000","5.429999947547913","5.429999947547913","5.429999947547913"
"384000","4.740000367164612","4.740000367164612","4.740000367164612"
"448000","5.610000014305115","5.610000014305115","5.610000014305115"
"512000","9.059999823570251","9.059999823570251","9.059999823570251"
"576000","6.7200000286102295","6.7200000286102295","6.7200000286102295"
"640000","8.540000081062317","8.540000081062317","8.540000081062317"
"704000","10.220000267028809","10.220000267028809","10.220000267028809"
"768000","10.580000162124634","10.580000162124634","10.580000162124634"
"832000","8.75","8.75","8.75"
"896000","9.380000114440918","9.380000114440918","9.380000114440918"
"960000","10.790000319480896","10.790000319480896","10.790000319480896"
"1024000","10.880000352859497","10.880000352859497","10.880000352859497"
"1088000","9.559999704360962","9.559999704360962","9.559999704360962"
"1152000","10.949999928474426","10.949999928474426","10.949999928474426"
"1216000","10.429999947547913","10.429999947547913","10.429999947547913"
"1280000","10.410000324249268","10.410000324249268","10.410000324249268"
"1344000","12.22000002861023","12.22000002861023","12.22000002861023"
"1408000","10.169999957084656","10.169999957084656","10.169999957084656"
"1472000","8.699999928474426","8.699999928474426","8.699999928474426"
"1536000","11.130000114440918","11.130000114440918","11.130000114440918"
"1600000","11.690000176429749","11.690000176429749","11.690000176429749"
"1664000","10.990000009536743","10.990000009536743","10.990000009536743"
"1728000","11.039999842643738","11.039999842643738","11.039999842643738"
"1792000","11.459999799728394","11.459999799728394","11.459999799728394"
"1856000","12.170000195503235","12.170000195503235","12.170000195503235"
"1920000","10.12000048160553","10.12000048160553","10.12000048160553"
"1984000","10.379999876022339","10.379999876022339","10.379999876022339"
"2048000","12.129999876022339","12.129999876022339","12.129999876022339"
"2112000","11.460000157356262","11.460000157356262","11.460000157356262"
"2176000","10.520000219345093","10.520000219345093","10.520000219345093"
"2240000","10.320000052452087","10.320000052452087","10.320000052452087"
"2304000","12.070000052452087","12.070000052452087","12.070000052452087"
"2368000","10.070000052452087","10.070000052452087","10.070000052452087"
"2432000","11.68999981880188","11.68999981880188","11.68999981880188"
"2496000","11.919999599456787","11.919999599456787","11.919999599456787"
"2560000","12.169999837875366","12.169999837875366","12.169999837875366"
"2624000","11.24999988079071","11.24999988079071","11.24999988079071"
"2688000","12.150000095367432","12.150000095367432","12.150000095367432"
"2752000","12.040000081062317","12.040000081062317","12.040000081062317"
"2816000","10.750000238418579","10.750000238418579","10.750000238418579"
"2880000","12.360000252723694","12.360000252723694","12.360000252723694"
"2944000","12.270000100135803","12.270000100135803","12.270000100135803"
"3008000","10.980000019073486","10.980000019073486","10.980000019073486"
"3072000","12.159999370574951","12.159999370574951","12.159999370574951"
"3136000","11.679999470710754","11.679999470710754","11.679999470710754"
"3200000","12.420000314712524","12.420000314712524","12.420000314712524"
"3264000","12.470000624656677","12.470000624656677","12.470000624656677"
"3328000","13.529999732971191","13.529999732971191","13.529999732971191"
"3392000","10.649999976158142","10.649999976158142","10.649999976158142"
"3456000","13.070000052452087","13.070000052452087","13.070000052452087"
"3520000","11.97000002861023","11.97000002861023","11.97000002861023"
"3584000","12.419999837875366","12.419999837875366","12.419999837875366"
"3648000","10.540000081062317","10.540000081062317","10.540000081062317"
"3712000","11.259999632835388","11.259999632835388","11.259999632835388"
"3776000","12.650000095367432","12.650000095367432","12.650000095367432"
"3840000","12.249999523162842","12.249999523162842","12.249999523162842"
"3904000","11.300000429153442","11.300000429153442","11.300000429153442"
"3968000","12.839999675750732","12.839999675750732","12.839999675750732"
"4032000","11.43000042438507","11.43000042438507","11.43000042438507"
"4096000","13.37000024318695","13.37000024318695","13.37000024318695"
"4160000","12.890000104904175","12.890000104904175","12.890000104904175"
"4224000","10.520000219345093","10.520000219345093","10.520000219345093"
"4288000","9.43999981880188","9.43999981880188","9.43999981880188"
"4352000","11.349999904632568","11.349999904632568","11.349999904632568"
"4416000","11.960000038146973","11.960000038146973","11.960000038146973"
"4480000","12.28000009059906","12.28000009059906","12.28000009059906"
"4544000","12.299999833106995","12.299999833106995","12.299999833106995"
"4608000","11.580000042915344","11.580000042915344","11.580000042915344"
"4672000","11.77999997138977","11.77999997138977","11.77999997138977"
"4736000","13.50000011920929","13.50000011920929","13.50000011920929"
"4800000","11.449999332427979","11.449999332427979","11.449999332427979"
"4864000","11.410000085830688","11.410000085830688","11.410000085830688"
"4928000","12.229999423027039","12.229999423027039","12.229999423027039"
"4992000","12","12","12"
"5056000","12.599999904632568","12.599999904632568","12.599999904632568"
"5120000","12.079999804496765","12.079999804496765","12.079999804496765"
"5184000","11.919999837875366","11.919999837875366","11.919999837875366"
"5248000","12.96000051498413","12.96000051498413","12.96000051498413"
"5312000","12.12000036239624","12.12000036239624","12.12000036239624"
"5376000","10.770000219345093","10.770000219345093","10.770000219345093"
"5440000","12.639999747276306","12.639999747276306","12.639999747276306"
"5504000","13.669999599456787","13.669999599456787","13.669999599456787"
"5568000","10.760000228881836","10.760000228881836","10.760000228881836"
"5632000","12.119999885559082","12.119999885559082","12.119999885559082"
"5696000","12.320000052452087","12.320000052452087","12.320000052452087"
"5760000","12.669999599456787","12.669999599456787","12.669999599456787"
"5824000","10.919999837875366","10.919999837875366","10.919999837875366"
