"Step","lbf10_cbamsvo - SW_ep_rew_total","lbf10_cbamsvo - SW_ep_rew_total__MIN","lbf10_cbamsvo - SW_ep_rew_total__MAX"
"64000","32.984376430511475","32.984376430511475","32.984376430511475"
"128000","31.04000210762024","31.04000210762024","31.04000210762024"
"192000","27.7100031375885","27.7100031375885","27.7100031375885"
"256000","28.41000199317932","28.41000199317932","28.41000199317932"
"320000","29.130000591278076","29.130000591278076","29.130000591278076"
"384000","29.44999885559082","29.44999885559082","29.44999885559082"
"448000","30.459998846054077","30.459998846054077","30.459998846054077"
"512000","32.5400013923645","32.5400013923645","32.5400013923645"
"576000","29.54999876022339","29.54999876022339","29.54999876022339"
"640000","28.400001764297485","28.400001764297485","28.400001764297485"
"704000","31.17999792098999","31.17999792098999","31.17999792098999"
"768000","31.460000038146973","31.460000038146973","31.460000038146973"
"832000","33.34999942779541","33.34999942779541","33.34999942779541"
"896000","32.679999589920044","32.679999589920044","32.679999589920044"
"960000","31.100000143051147","31.100000143051147","31.100000143051147"
"1024000","30.860000610351562","30.860000610351562","30.860000610351562"
"1088000","32.11000204086304","32.11000204086304","32.11000204086304"
"1152000","33.22000169754028","33.22000169754028","33.22000169754028"
"1216000","32.22999978065491","32.22999978065491","32.22999978065491"
"1280000","32.810001373291016","32.810001373291016","32.810001373291016"
"1344000","33.339998960494995","33.339998960494995","33.339998960494995"
"1408000","34.04000115394592","34.04000115394592","34.04000115394592"
"1472000","33.77000188827515","33.77000188827515","33.77000188827515"
"1536000","32.489999771118164","32.489999771118164","32.489999771118164"
"1600000","32.24000120162964","32.24000120162964","32.24000120162964"
"1664000","32.63999938964844","32.63999938964844","32.63999938964844"
"1728000","33.45000076293945","33.45000076293945","33.45000076293945"
"1792000","32.65999937057495","32.65999937057495","32.65999937057495"
"1856000","33.29999876022339","33.29999876022339","33.29999876022339"
"1920000","33.71999979019165","33.71999979019165","33.71999979019165"
"1984000","33.27999806404114","33.27999806404114","33.27999806404114"
"2048000","34.180001974105835","34.180001974105835","34.180001974105835"
"2112000","34.480000019073486","34.480000019073486","34.480000019073486"
"2176000","33.42000198364258","33.42000198364258","33.42000198364258"
"2240000","33.0400013923645","33.0400013923645","33.0400013923645"
"2304000","33.60000014305115","33.60000014305115","33.60000014305115"
"2368000","33.30000281333923","33.30000281333923","33.30000281333923"
"2432000","32.720001220703125","32.720001220703125","32.720001220703125"
"2496000","32.589999198913574","32.589999198913574","32.589999198913574"
"2560000","33.33000183105469","33.33000183105469","33.33000183105469"
"2624000","34.41999959945679","34.41999959945679","34.41999959945679"
"2688000","34.040000438690186","34.040000438690186","34.040000438690186"
"2752000","32.63000202178955","32.63000202178955","32.63000202178955"
"2816000","32.71999955177307","32.71999955177307","32.71999955177307"
"2880000","32.44999980926514","32.44999980926514","32.44999980926514"
"2944000","32.71999955177307","32.71999955177307","32.71999955177307"
"3008000","32.76000094413757","32.76000094413757","32.76000094413757"
"3072000","31.880000114440918","31.880000114440918","31.880000114440918"
"3136000","32.3699996471405","32.3699996471405","32.3699996471405"
"3200000","32.940000772476196","32.940000772476196","32.940000772476196"
"3264000","33.53999876976013","33.53999876976013","33.53999876976013"
"3328000","34.03999900817871","34.03999900817871","34.03999900817871"
"3392000","32.89000177383423","32.89000177383423","32.89000177383423"
"3456000","31.800001859664917","31.800001859664917","31.800001859664917"
"3520000","32.32000112533569","32.32000112533569","32.32000112533569"
"3584000","32.49000096321106","32.49000096321106","32.49000096321106"
"3648000","33.9500036239624","33.9500036239624","33.9500036239624"
"3712000","34.400001525878906","34.400001525878906","34.400001525878906"
"3776000","34.049999952316284","34.049999952316284","34.049999952316284"
"3840000","32.50000047683716","32.50000047683716","32.50000047683716"
"3904000","32.340001821517944","32.340001821517944","32.340001821517944"
"3968000","32.3299994468689","32.3299994468689","32.3299994468689"
"4032000","32.339998722076416","32.339998722076416","32.339998722076416"
"4096000","33.15000057220459","33.15000057220459","33.15000057220459"
"4160000","33.340001344680786","33.340001344680786","33.340001344680786"
"4224000","32.29999923706055","32.29999923706055","32.29999923706055"
"4288000","33.390000343322754","33.390000343322754","33.390000343322754"
"4352000","34.05000162124634","34.05000162124634","34.05000162124634"
"4416000","33.27999973297119","33.27999973297119","33.27999973297119"
"4480000","31.97999858856201","31.97999858856201","31.97999858856201"
"4544000","32.700000286102295","32.700000286102295","32.700000286102295"
"4608000","33.419999837875366","33.419999837875366","33.419999837875366"
"4672000","32.85000205039978","32.85000205039978","32.85000205039978"
"4736000","33.60000014305115","33.60000014305115","33.60000014305115"
"4800000","32.36000108718872","32.36000108718872","32.36000108718872"
"4864000","32.41000008583069","32.41000008583069","32.41000008583069"
"4928000","33.70000195503235","33.70000195503235","33.70000195503235"
"4992000","34.299999713897705","34.299999713897705","34.299999713897705"
"5056000","34.44000196456909","34.44000196456909","34.44000196456909"
"5120000","33.14000058174133","33.14000058174133","33.14000058174133"
"5184000","31.90000009536743","31.90000009536743","31.90000009536743"
"5248000","32.97000217437744","32.97000217437744","32.97000217437744"
"5312000","33.63999843597412","33.63999843597412","33.63999843597412"
"5376000","34.06000232696533","34.06000232696533","34.06000232696533"
"5440000","33.11000204086304","33.11000204086304","33.11000204086304"
"5504000","32.92999887466431","32.92999887466431","32.92999887466431"
"5568000","31.710001468658447","31.710001468658447","31.710001468658447"
"5632000","33.45000076293945","33.45000076293945","33.45000076293945"
"5696000","34.06999921798706","34.06999921798706","34.06999921798706"
"5760000","34.59000277519226","34.59000277519226","34.59000277519226"
"5824000","33.94000244140625","33.94000244140625","33.94000244140625"
