"Step","coin4_cbamsvo - SW_ep_rew_total","coin4_cbamsvo - SW_ep_rew_total__MIN","coin4_cbamsvo - SW_ep_rew_total__MAX"
"2816000","-15.079999923706055","-15.079999923706055","-15.079999923706055"
"2880000","-14.480000019073486","-14.480000019073486","-14.480000019073486"
"2944000","-15.159999370574951","-15.159999370574951","-15.159999370574951"
"3008000","-14.869999885559082","-14.869999885559082","-14.869999885559082"
"3072000","-15.460000038146973","-15.460000038146973","-15.460000038146973"
"3136000","-15.21999979019165","-15.21999979019165","-15.21999979019165"
"3200000","-15.160000324249268","-15.160000324249268","-15.160000324249268"
"3264000","-15.539999961853027","-15.539999961853027","-15.539999961853027"
"3328000","-16.679999828338623","-16.679999828338623","-16.679999828338623"
"3392000","-15.619999885559082","-15.619999885559082","-15.619999885559082"
"3456000","-15.420000076293945","-15.420000076293945","-15.420000076293945"
"3520000","-14.619999885559082","-14.619999885559082","-14.619999885559082"
"3584000","-15.600000858306885","-15.600000858306885","-15.600000858306885"
"3648000","-15.520000457763672","-15.520000457763672","-15.520000457763672"
"3712000","-15.199999332427979","-15.199999332427979","-15.199999332427979"
"3776000","-14.920000076293945","-14.920000076293945","-14.920000076293945"
"3840000","-15.400000095367432","-15.400000095367432","-15.400000095367432"
"3904000","-14.65999984741211","-14.65999984741211","-14.65999984741211"
"3968000","-15.000000953674316","-15.000000953674316","-15.000000953674316"
"4032000","-16.679999828338623","-16.679999828338623","-16.679999828338623"
"4096000","-15.460000038146973","-15.460000038146973","-15.460000038146973"
"4160000","-14.819999694824219","-14.819999694824219","-14.819999694824219"
"4224000","-13.400000095367432","-13.400000095367432","-13.400000095367432"
"4288000","-14.71999979019165","-14.71999979019165","-14.71999979019165"
"4352000","-14.320000171661377","-14.320000171661377","-14.320000171661377"
"4416000","-15.279999256134033","-15.279999256134033","-15.279999256134033"
"4480000","-14.540000438690186","-14.540000438690186","-14.540000438690186"
"4544000","-14.37999963760376","-14.37999963760376","-14.37999963760376"
"4608000","-14.479999542236328","-14.479999542236328","-14.479999542236328"
"4672000","-15.299999237060547","-15.299999237060547","-15.299999237060547"
"4736000","-13.739999771118164","-13.739999771118164","-13.739999771118164"
"4800000","-15.380000114440918","-15.380000114440918","-15.380000114440918"
"4864000","-14.919999599456787","-14.919999599456787","-14.919999599456787"
"4928000","-15.200000762939453","-15.200000762939453","-15.200000762939453"
"4992000","-14.920000076293945","-14.920000076293945","-14.920000076293945"
"5056000","-13.420000076293945","-13.420000076293945","-13.420000076293945"
"5120000","-14.419999122619629","-14.419999122619629","-14.419999122619629"
"5184000","-15.400000095367432","-15.400000095367432","-15.400000095367432"
"5248000","-13.899999618530273","-13.899999618530273","-13.899999618530273"
"5312000","-14.460000038146973","-14.460000038146973","-14.460000038146973"
"5376000","-14.680000305175781","-14.680000305175781","-14.680000305175781"
"5440000","-14.579999923706055","-14.579999923706055","-14.579999923706055"
"5504000","-14.419999122619629","-14.419999122619629","-14.419999122619629"
"5568000","-14.019999980926514","-14.019999980926514","-14.019999980926514"
"5632000","-14.100000858306885","-14.100000858306885","-14.100000858306885"
"5696000","-14.180000305175781","-14.180000305175781","-14.180000305175781"
"5760000","-13.899999141693115","-13.899999141693115","-13.899999141693115"
"5824000","-13.739999294281006","-13.739999294281006","-13.739999294281006"
"5888000","-14.639999389648438","-14.639999389648438","-14.639999389648438"
"5952000","-13.359999656677246","-13.359999656677246","-13.359999656677246"
"6016000","-14.120000839233398","-14.120000839233398","-14.120000839233398"
"6080000","-14.87999963760376","-14.87999963760376","-14.87999963760376"
"6144000","-13.980000019073486","-13.980000019073486","-13.980000019073486"
"6208000","-14.240000247955322","-14.240000247955322","-14.240000247955322"
"6272000","-14.119999408721924","-14.119999408721924","-14.119999408721924"
"6336000","-13.619999885559082","-13.619999885559082","-13.619999885559082"
"6400000","-15.040000438690186","-15.040000438690186","-15.040000438690186"
"6464000","-14.780000686645508","-14.780000686645508","-14.780000686645508"
"6528000","-13.71999979019165","-13.71999979019165","-13.71999979019165"
"6592000","-14.779999732971191","-14.779999732971191","-14.779999732971191"
"6656000","-13.700000524520874","-13.700000524520874","-13.700000524520874"
"6720000","-13.220000267028809","-13.220000267028809","-13.220000267028809"
"6784000","-13.380000114440918","-13.380000114440918","-13.380000114440918"
"6848000","-14.040000438690186","-14.040000438690186","-14.040000438690186"
"6912000","-14.540000915527344","-14.540000915527344","-14.540000915527344"
"6976000","-13.700000286102295","-13.700000286102295","-13.700000286102295"
"7040000","-14.519999504089355","-14.519999504089355","-14.519999504089355"
"7104000","-14.620000839233398","-14.620000839233398","-14.620000839233398"
"7168000","-14.800000190734863","-14.800000190734863","-14.800000190734863"
"7232000","-14.21999979019165","-14.21999979019165","-14.21999979019165"
"7296000","-14.360000133514404","-14.360000133514404","-14.360000133514404"
"7360000","-14.379999160766602","-14.379999160766602","-14.379999160766602"
"7424000","-13.579999923706055","-13.579999923706055","-13.579999923706055"
"7488000","-14.659999370574951","-14.659999370574951","-14.659999370574951"
"7552000","-14.21999979019165","-14.21999979019165","-14.21999979019165"
"7616000","-13.09999942779541","-13.09999942779541","-13.09999942779541"
"7680000","-15.74000072479248","-15.74000072479248","-15.74000072479248"
"7744000","-13.85999870300293","-13.85999870300293","-13.85999870300293"
"7808000","-13.739999294281006","-13.739999294281006","-13.739999294281006"
"7872000","-14.619999885559082","-14.619999885559082","-14.619999885559082"
"7936000","-14.959999084472656","-14.959999084472656","-14.959999084472656"
