"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"64000","24.712499856948853","24.712499856948853","24.712499856948853"
"128000","24.203999042510986","24.203999042510986","24.203999042510986"
"192000","23.98799991607666","23.98799991607666","23.98799991607666"
"256000","21.959999084472656","21.959999084472656","21.959999084472656"
"320000","21.323999404907227","21.323999404907227","21.323999404907227"
"384000","22.691998958587646","22.691998958587646","22.691998958587646"
"448000","21.179999589920044","21.179999589920044","21.179999589920044"
"512000","21.96000027656555","21.96000027656555","21.96000027656555"
"576000","22.52400040626526","22.52400040626526","22.52400040626526"
"640000","23.136001348495483","23.136001348495483","23.136001348495483"
"704000","23.052000522613525","23.052000522613525","23.052000522613525"
"768000","23.471999645233154","23.471999645233154","23.471999645233154"
"832000","23.91600012779236","23.91600012779236","23.91600012779236"
"896000","23.699999809265137","23.699999809265137","23.699999809265137"
"960000","24.431999444961548","24.431999444961548","24.431999444961548"
"1024000","23.640000343322754","23.640000343322754","23.640000343322754"
"1088000","24.179999351501465","24.179999351501465","24.179999351501465"
"1152000","24.48000144958496","24.48000144958496","24.48000144958496"
"1216000","25.404000282287598","25.404000282287598","25.404000282287598"
"1280000","25.187999725341797","25.187999725341797","25.187999725341797"
"1344000","25.008000373840332","25.008000373840332","25.008000373840332"
"1408000","25.703999996185303","25.703999996185303","25.703999996185303"
"1472000","25.260000705718994","25.260000705718994","25.260000705718994"
"1536000","25.980000972747803","25.980000972747803","25.980000972747803"
"1600000","26.616000175476074","26.616000175476074","26.616000175476074"
"1664000","25.76400089263916","25.76400089263916","25.76400089263916"
"1728000","24.67199993133545","24.67199993133545","24.67199993133545"
"1792000","25.84799861907959","25.84799861907959","25.84799861907959"
"1856000","26.01599884033203","26.01599884033203","26.01599884033203"
"1920000","25.008000373840332","25.008000373840332","25.008000373840332"
"1984000","25.07999897003174","25.07999897003174","25.07999897003174"
"2048000","25.404000282287598","25.404000282287598","25.404000282287598"
"2112000","26.652000427246094","26.652000427246094","26.652000427246094"
"2176000","26.615997791290283","26.615997791290283","26.615997791290283"
"2240000","25.896002769470215","25.896002769470215","25.896002769470215"
"2304000","26.279998779296875","26.279998779296875","26.279998779296875"
"2368000","27.047996997833252","27.047996997833252","27.047996997833252"
"2432000","26.46000051498413","26.46000051498413","26.46000051498413"
"2496000","26.531999588012695","26.531999588012695","26.531999588012695"
"2560000","26.67600154876709","26.67600154876709","26.67600154876709"
"2624000","26.459998607635498","26.459998607635498","26.459998607635498"
