"Step","cleanup_cbambaseline - SW_ep_rew_total","cleanup_cbambaseline - SW_ep_rew_total__MIN","cleanup_cbambaseline - SW_ep_rew_total__MAX"
"64000","-4324.03125","-4324.03125","-4324.03125"
"128000","-3942.5799560546875","-3942.5799560546875","-3942.5799560546875"
"192000","-3655.6400146484375","-3655.6400146484375","-3655.6400146484375"
"256000","-3264.4400634765625","-3264.4400634765625","-3264.4400634765625"
"320000","-2681.1499938964844","-2681.1499938964844","-2681.1499938964844"
"384000","-2116.0700073242188","-2116.0700073242188","-2116.0700073242188"
"448000","-1830.4599914550781","-1830.4599914550781","-1830.4599914550781"
"512000","-1514.6699829101562","-1514.6699829101562","-1514.6699829101562"
"576000","-1210.75","-1210.75","-1210.75"
"640000","-996.6699981689453","-996.6699981689453","-996.6699981689453"
"704000","-771.2299957275391","-771.2299957275391","-771.2299957275391"
"768000","-656.6399993896484","-656.6399993896484","-656.6399993896484"
"832000","-596.2999954223633","-596.2999954223633","-596.2999954223633"
"896000","-559.9300079345703","-559.9300079345703","-559.9300079345703"
"960000","-446.8800048828125","-446.8800048828125","-446.8800048828125"
"1024000","-391.1800003051758","-391.1800003051758","-391.1800003051758"
"1088000","-346.37999725341797","-346.37999725341797","-346.37999725341797"
"1152000","-299.439998626709","-299.439998626709","-299.439998626709"
"1216000","-274.86999893188477","-274.86999893188477","-274.86999893188477"
"1280000","-236.28000259399414","-236.28000259399414","-236.28000259399414"
"1344000","-199.6699981689453","-199.6699981689453","-199.6699981689453"
"1408000","-204.8499984741211","-204.8499984741211","-204.8499984741211"
"1472000","-173.93000030517578","-173.93000030517578","-173.93000030517578"
"1536000","-150.17000198364258","-150.17000198364258","-150.17000198364258"
"1600000","-133.44000053405762","-133.44000053405762","-133.44000053405762"
"1664000","-112.35999870300293","-112.35999870300293","-112.35999870300293"
"1728000","-87.05000019073486","-87.05000019073486","-87.05000019073486"
"1792000","-76.51000022888184","-76.51000022888184","-76.51000022888184"
"1856000","-67.46000099182129","-67.46000099182129","-67.46000099182129"
"1920000","-46.44999885559082","-46.44999885559082","-46.44999885559082"
"1984000","-48.269999504089355","-48.269999504089355","-48.269999504089355"
"2048000","-46.600000858306885","-46.600000858306885","-46.600000858306885"
"2112000","-28.5300002284348","-28.5300002284348","-28.5300002284348"
"2176000","-20.790000200271606","-20.790000200271606","-20.790000200271606"
"2240000","-21.809999465942383","-21.809999465942383","-21.809999465942383"
"2304000","-10.979999661445618","-10.979999661445618","-10.979999661445618"
"2368000","1.6999999284744263","1.6999999284744263","1.6999999284744263"
"2432000","2.9499997794628143","2.9499997794628143","2.9499997794628143"
"2496000","1.9299999177455902","1.9299999177455902","1.9299999177455902"
"2560000","5.190000098198652","5.190000098198652","5.190000098198652"
"2624000","8.329999938607216","8.329999938607216","8.329999938607216"
"2688000","14.309999823570251","14.309999823570251","14.309999823570251"
"2752000","20.680000066757202","20.680000066757202","20.680000066757202"
"2816000","22.55999982357025","22.55999982357025","22.55999982357025"
"2880000","29.259999990463257","29.259999990463257","29.259999990463257"
"2944000","33.360000133514404","33.360000133514404","33.360000133514404"
"3008000","31.059999704360962","31.059999704360962","31.059999704360962"
"3072000","26.489999771118164","26.489999771118164","26.489999771118164"
"3136000","23.550000190734863","23.550000190734863","23.550000190734863"
"3200000","24.020000457763672","24.020000457763672","24.020000457763672"
"3264000","26.080000400543213","26.080000400543213","26.080000400543213"
"3328000","27.12000036239624","27.12000036239624","27.12000036239624"
"3392000","25.480000495910645","25.480000495910645","25.480000495910645"
"3456000","23.610000371932983","23.610000371932983","23.610000371932983"
"3520000","22.459999561309814","22.459999561309814","22.459999561309814"
"3584000","23.80999994277954","23.80999994277954","23.80999994277954"
"3648000","25.389999866485596","25.389999866485596","25.389999866485596"
"3712000","24.520000457763672","24.520000457763672","24.520000457763672"
"3776000","20.7400004863739","20.7400004863739","20.7400004863739"
"3840000","23.170000076293945","23.170000076293945","23.170000076293945"
"3904000","22.600000143051147","22.600000143051147","22.600000143051147"
"3968000","23.709999561309814","23.709999561309814","23.709999561309814"
"4032000","24.110000133514404","24.110000133514404","24.110000133514404"
"4096000","24.549999713897705","24.549999713897705","24.549999713897705"
"4160000","24.070000171661377","24.070000171661377","24.070000171661377"
"4224000","23.47000026702881","23.47000026702881","23.47000026702881"
"4288000","22.21999979019165","22.21999979019165","22.21999979019165"
"4352000","24.0099995136261","24.0099995136261","24.0099995136261"
"4416000","26.53000044822693","26.53000044822693","26.53000044822693"
"4480000","28.730000495910645","28.730000495910645","28.730000495910645"
"4544000","27.21999979019165","27.21999979019165","27.21999979019165"
"4608000","25.579999923706055","25.579999923706055","25.579999923706055"
"4672000","28.889999866485596","28.889999866485596","28.889999866485596"
"4736000","31.549999713897705","31.549999713897705","31.549999713897705"
"4800000","28.869999885559082","28.869999885559082","28.869999885559082"
"4864000","26.979999542236328","26.979999542236328","26.979999542236328"
"4928000","24.239999771118164","24.239999771118164","24.239999771118164"
"4992000","25.519999980926514","25.519999980926514","25.519999980926514"
"5056000","28.079999446868896","28.079999446868896","28.079999446868896"
