"Step","Group: cleanup_cf_modified_baseline_independent_1_0.55_inequity_averse_False_collective_False - SW_ep_rew_total","Group: cleanup_cf_modified_baseline_independent_1_0.55_inequity_averse_False_collective_False - SW_ep_rew_total__MIN","Group: cleanup_cf_modified_baseline_independent_1_0.55_inequity_averse_False_collective_False - SW_ep_rew_total__MAX"
"64000","-4971.421875","-4971.421875","-4971.421875"
"128000","-4333.360046386719","-4333.360046386719","-4333.360046386719"
"192000","-3781.5299682617188","-3781.5299682617188","-3781.5299682617188"
"256000","-3162.0900268554688","-3162.0900268554688","-3162.0900268554688"
"320000","-2668.9100036621094","-2668.9100036621094","-2668.9100036621094"
"384000","-2137.7300415039062","-2137.7300415039062","-2137.7300415039062"
"448000","-1683.2999877929688","-1683.2999877929688","-1683.2999877929688"
"512000","-1505.0499877929688","-1505.0499877929688","-1505.0499877929688"
"576000","-1300.6900024414062","-1300.6900024414062","-1300.6900024414062"
"640000","-1069.0500030517578","-1069.0500030517578","-1069.0500030517578"
"704000","-865.7400054931641","-865.7400054931641","-865.7400054931641"
"768000","-689.4100112915039","-689.4100112915039","-689.4100112915039"
"832000","-576.3100051879883","-576.3100051879883","-576.3100051879883"
"896000","-473.8800048828125","-473.8800048828125","-473.8800048828125"
"960000","-473.8000030517578","-473.8000030517578","-473.8000030517578"
"1024000","-459.29000091552734","-459.29000091552734","-459.29000091552734"
"1088000","-425.95999908447266","-425.95999908447266","-425.95999908447266"
"1152000","-382.7899932861328","-382.7899932861328","-382.7899932861328"
"1216000","-297.5499954223633","-297.5499954223633","-297.5499954223633"
"1280000","-264.5900001525879","-264.5900001525879","-264.5900001525879"
"1344000","-225.6500015258789","-225.6500015258789","-225.6500015258789"
"1408000","-191.4900016784668","-191.4900016784668","-191.4900016784668"
"1472000","-186.47000312805176","-186.47000312805176","-186.47000312805176"
"1536000","-173.63999938964844","-173.63999938964844","-173.63999938964844"
"1600000","-146.43999862670898","-146.43999862670898","-146.43999862670898"
"1664000","-111.41999912261963","-111.41999912261963","-111.41999912261963"
"1728000","-80.72999954223633","-80.72999954223633","-80.72999954223633"
"1792000","-87.90000057220459","-87.90000057220459","-87.90000057220459"
"1856000","-66.61000061035156","-66.61000061035156","-66.61000061035156"
"1920000","-54.269999980926514","-54.269999980926514","-54.269999980926514"
"1984000","-45.640000343322754","-45.640000343322754","-45.640000343322754"
"2048000","-36.50000047683716","-36.50000047683716","-36.50000047683716"
"2112000","-30.439999848604202","-30.439999848604202","-30.439999848604202"
"2176000","-14.480000257492065","-14.480000257492065","-14.480000257492065"
"2240000","-15.909999549388885","-15.909999549388885","-15.909999549388885"
"2304000","-10.099999964237213","-10.099999964237213","-10.099999964237213"
"2368000","-6.080000042915344","-6.080000042915344","-6.080000042915344"
"2432000","-9.729999899864197","-9.729999899864197","-9.729999899864197"
"2496000","-4.460000010207295","-4.460000010207295","-4.460000010207295"
"2560000","5.9200000539422035","5.9200000539422035","5.9200000539422035"
"2624000","7.340000033378601","7.340000033378601","7.340000033378601"
"2688000","8.60999983176589","8.60999983176589","8.60999983176589"
"2752000","14.899999976158142","14.899999976158142","14.899999976158142"
"2816000","15.740000009536743","15.740000009536743","15.740000009536743"
"2880000","15.12000036239624","15.12000036239624","15.12000036239624"
"2944000","14.369999885559082","14.369999885559082","14.369999885559082"
"3008000","19.449999451637268","19.449999451637268","19.449999451637268"
"3072000","19.049999833106995","19.049999833106995","19.049999833106995"
"3136000","19.87999975681305","19.87999975681305","19.87999975681305"
"3200000","17.10999995470047","17.10999995470047","17.10999995470047"
"3264000","13.210000038146973","13.210000038146973","13.210000038146973"
"3328000","14.339999914169312","14.339999914169312","14.339999914169312"
