"Step","cleanup_cbambaseline - SW_ep_rew_total","cleanup_cbambaseline - SW_ep_rew_total__MIN","cleanup_cbambaseline - SW_ep_rew_total__MAX"
"8896000","46.28000020980835","46.28000020980835","46.28000020980835"
"8960000","46.170000076293945","46.170000076293945","46.170000076293945"
"9024000","46.96999979019165","46.96999979019165","46.96999979019165"
"9088000","46.65999984741211","46.65999984741211","46.65999984741211"
"9152000","45.30000019073486","45.30000019073486","45.30000019073486"
"9216000","45.40000104904175","45.40000104904175","45.40000104904175"
"9280000","43.96999979019165","43.96999979019165","43.96999979019165"
"9344000","49.93000078201294","49.93000078201294","49.93000078201294"
"9408000","48.00000047683716","48.00000047683716","48.00000047683716"
"9472000","51.139999866485596","51.139999866485596","51.139999866485596"
"9536000","48.92999982833862","48.92999982833862","48.92999982833862"
"9600000","50.84999942779541","50.84999942779541","50.84999942779541"
"9664000","49.35000038146973","49.35000038146973","49.35000038146973"
"9728000","50.50000047683716","50.50000047683716","50.50000047683716"
"9792000","52.74999952316284","52.74999952316284","52.74999952316284"
"9856000","52.64999961853027","52.64999961853027","52.64999961853027"
"9920000","53.5","53.5","53.5"
"9984000","63.750000953674316","63.750000953674316","63.750000953674316"
"10048000","52.28000068664551","52.28000068664551","52.28000068664551"
