"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"9792000","579.4204559326172","579.4204559326172","579.4204559326172"
"9856000","594.0979690551758","594.0979690551758","594.0979690551758"
"9920000","612.8380432128906","612.8380432128906","612.8380432128906"
"9984000","616.878044128418","616.878044128418","616.878044128418"
"10048000","639.8856201171875","639.8856201171875","639.8856201171875"
"10112000","652.0131912231445","652.0131912231445","652.0131912231445"
"10176000","589.5130004882812","589.5130004882812","589.5130004882812"
"10240000","610.2380065917969","610.2380065917969","610.2380065917969"
"10304000","638.1156387329102","638.1156387329102","638.1156387329102"
"10368000","626.5555725097656","626.5555725097656","626.5555725097656"
"10432000","646.3506164550781","646.3506164550781","646.3506164550781"
"10496000","637.4781341552734","637.4781341552734","637.4781341552734"
"10560000","655.0581741333008","655.0581741333008","655.0581741333008"
"10624000","649.1456527709961","649.1456527709961","649.1456527709961"
"10688000","661.4506530761719","661.4506530761719","661.4506530761719"
"10752000","693.5057067871094","693.5057067871094","693.5057067871094"
"10816000","708.2707977294922","708.2707977294922","708.2707977294922"
"10880000","682.0207214355469","682.0207214355469","682.0207214355469"
"10944000","688.8357238769531","688.8357238769531","688.8357238769531"
"11008000","691.9308013916016","691.9308013916016","691.9308013916016"
"11072000","681.7482147216797","681.7482147216797","681.7482147216797"
"11136000","665.6982269287109","665.6982269287109","665.6982269287109"
"11200000","684.9307250976562","684.9307250976562","684.9307250976562"
"11264000","715.9132843017578","715.9132843017578","715.9132843017578"
"11328000","758.0784301757812","758.0784301757812","758.0784301757812"
"11392000","694.1358032226562","694.1358032226562","694.1358032226562"
"11456000","680.7307434082031","680.7307434082031","680.7307434082031"
"11520000","711.8007659912109","711.8007659912109","711.8007659912109"
"11584000","713.7183074951172","713.7183074951172","713.7183074951172"
"11648000","738.2259063720703","738.2259063720703","738.2259063720703"
"11712000","745.8133239746094","745.8133239746094","745.8133239746094"
"11776000","718.6683349609375","718.6683349609375","718.6683349609375"
"11840000","732.9308166503906","732.9308166503906","732.9308166503906"
"11904000","729.2883758544922","729.2883758544922","729.2883758544922"
