"Step","coin3_cbam_team - SW_ep_rew_mean","coin3_cbam_team - SW_ep_rew_mean__MIN","coin3_cbam_team - SW_ep_rew_mean__MAX"
"64000","-2.6800000270207724","-2.6800000270207724","-2.6800000270207724"
"128000","-3.136666754881541","-3.136666754881541","-3.136666754881541"
"192000","-3.130000034968058","-3.130000034968058","-3.130000034968058"
"256000","-2.2200000286102295","-2.2200000286102295","-2.2200000286102295"
"320000","-2.753333330154419","-2.753333330154419","-2.753333330154419"
"384000","-2.9266666571299234","-2.9266666571299234","-2.9266666571299234"
"448000","-2.1533333460489907","-2.1533333460489907","-2.1533333460489907"
"512000","-2.153333326180776","-2.153333326180776","-2.153333326180776"
"576000","-2.1666666666666665","-2.1666666666666665","-2.1666666666666665"
"640000","-2.2533333698908486","-2.2533333698908486","-2.2533333698908486"
"704000","-1.7799999713897705","-1.7799999713897705","-1.7799999713897705"
"768000","-2.306666612625122","-2.306666612625122","-2.306666612625122"
"832000","-2.033333341280619","-2.033333341280619","-2.033333341280619"
"896000","-2.230000058809916","-2.230000058809916","-2.230000058809916"
"960000","-2.2199999888738","-2.2199999888738","-2.2199999888738"
"1024000","-1.746666669845581","-1.746666669845581","-1.746666669845581"
"1088000","-1.680000017086665","-1.680000017086665","-1.680000017086665"
"1152000","-2.1766666173934937","-2.1766666173934937","-2.1766666173934937"
"1216000","-1.4133333365122478","-1.4133333365122478","-1.4133333365122478"
"1280000","-1.40666667620341","-1.40666667620341","-1.40666667620341"
"1344000","-1.6933333178361256","-1.6933333178361256","-1.6933333178361256"
"1408000","-1.3633333543936412","-1.3633333543936412","-1.3633333543936412"
"1472000","-1.9066666563351948","-1.9066666563351948","-1.9066666563351948"
"1536000","-1.2266666491826375","-1.2266666491826375","-1.2266666491826375"
"1600000","-1.1333332856496174","-1.1333332856496174","-1.1333332856496174"
"1664000","-1.2133333086967468","-1.2133333086967468","-1.2133333086967468"
"1728000","-1.8800000349680583","-1.8800000349680583","-1.8800000349680583"
"1792000","-1.0333333015441895","-1.0333333015441895","-1.0333333015441895"
"1856000","-0.8300000429153442","-0.8300000429153442","-0.8300000429153442"
"1920000","-1.6533334056536357","-1.6533334056536357","-1.6533334056536357"
"1984000","-1.1766666769981384","-1.1766666769981384","-1.1766666769981384"
"2048000","-0.8866667002439499","-0.8866667002439499","-0.8866667002439499"
"2112000","-0.753333330154419","-0.753333330154419","-0.753333330154419"
"2176000","-0.8366666436195374","-0.8366666436195374","-0.8366666436195374"
"2240000","-0.5399999817212423","-0.5399999817212423","-0.5399999817212423"
"2304000","-1.173333336909612","-1.173333336909612","-1.173333336909612"
"2368000","-0.6933333178361257","-0.6933333178361257","-0.6933333178361257"
"2432000","-0.23333332935969034","-0.23333332935969034","-0.23333332935969034"
"2496000","-0.10999998077750206","-0.10999998077750206","-0.10999998077750206"
"2560000","-0.8166666825612386","-0.8166666825612386","-0.8166666825612386"
"2624000","-0.8966666658719381","-0.8966666658719381","-0.8966666658719381"
"2688000","-0.9800000190734863","-0.9800000190734863","-0.9800000190734863"
"2752000","-0.41999995708465576","-0.41999995708465576","-0.41999995708465576"
"2816000","-0.39333335558573407","-0.39333335558573407","-0.39333335558573407"
"2880000","-0.4466666579246521","-0.4466666579246521","-0.4466666579246521"
"2944000","-0.1733332872390747","-0.1733332872390747","-0.1733332872390747"
"3008000","-0.22000000874201456","-0.22000000874201456","-0.22000000874201456"
"3072000","-0.7933332920074463","-0.7933332920074463","-0.7933332920074463"
"3136000","-0.6266667445500692","-0.6266667445500692","-0.6266667445500692"
"3200000","0.3999999761581421","0.3999999761581421","0.3999999761581421"
