"Step","lbf10_cbamsvo - SW_ep_rew_total","lbf10_cbamsvo - SW_ep_rew_total__MIN","lbf10_cbamsvo - SW_ep_rew_total__MAX"
"64000","32.281251668930054","32.281251668930054","32.281251668930054"
"128000","32.19000005722046","32.19000005722046","32.19000005722046"
"192000","31.55999994277954","31.55999994277954","31.55999994277954"
"256000","29.000000715255737","29.000000715255737","29.000000715255737"
"320000","28.72000002861023","28.72000002861023","28.72000002861023"
"384000","28.140002250671387","28.140002250671387","28.140002250671387"
"448000","32.76000118255615","32.76000118255615","32.76000118255615"
"512000","32.660001277923584","32.660001277923584","32.660001277923584"
"576000","31.170000791549683","31.170000791549683","31.170000791549683"
"640000","29.620001792907715","29.620001792907715","29.620001792907715"
"704000","30.91000199317932","30.91000199317932","30.91000199317932"
"768000","32.83000087738037","32.83000087738037","32.83000087738037"
"832000","31.779999256134033","31.779999256134033","31.779999256134033"
"896000","31.990000009536743","31.990000009536743","31.990000009536743"
"960000","32.18000078201294","32.18000078201294","32.18000078201294"
"1024000","33.16000032424927","33.16000032424927","33.16000032424927"
"1088000","33.63999938964844","33.63999938964844","33.63999938964844"
"1152000","33.73999786376953","33.73999786376953","33.73999786376953"
"1216000","33.91999936103821","33.91999936103821","33.91999936103821"
"1280000","33.57000136375427","33.57000136375427","33.57000136375427"
"1344000","34.0099983215332","34.0099983215332","34.0099983215332"
"1408000","34.46000051498413","34.46000051498413","34.46000051498413"
"1472000","33.299999713897705","33.299999713897705","33.299999713897705"
"1536000","32.66000008583069","32.66000008583069","32.66000008583069"
"1600000","32.100000858306885","32.100000858306885","32.100000858306885"
"1664000","32.63999938964844","32.63999938964844","32.63999938964844"
"1728000","33.260000705718994","33.260000705718994","33.260000705718994"
"1792000","33.79999923706055","33.79999923706055","33.79999923706055"
"1856000","32.78000092506409","32.78000092506409","32.78000092506409"
"1920000","33.97999858856201","33.97999858856201","33.97999858856201"
"1984000","33.86000061035156","33.86000061035156","33.86000061035156"
"2048000","33.0600004196167","33.0600004196167","33.0600004196167"
"2112000","32.97000074386597","32.97000074386597","32.97000074386597"
"2176000","32.440001487731934","32.440001487731934","32.440001487731934"
"2240000","31.97999858856201","31.97999858856201","31.97999858856201"
"2304000","33.04000186920166","33.04000186920166","33.04000186920166"
"2368000","32.620001792907715","32.620001792907715","32.620001792907715"
"2432000","32.70000076293945","32.70000076293945","32.70000076293945"
"2496000","32.61999988555908","32.61999988555908","32.61999988555908"
"2560000","32.22000026702881","32.22000026702881","32.22000026702881"
"2624000","33.21000123023987","33.21000123023987","33.21000123023987"
"2688000","34.77000141143799","34.77000141143799","34.77000141143799"
"2752000","34.040000200271606","34.040000200271606","34.040000200271606"
"2816000","33.219998359680176","33.219998359680176","33.219998359680176"
"2880000","33.3400022983551","33.3400022983551","33.3400022983551"
"2944000","32.77999973297119","32.77999973297119","32.77999973297119"
"3008000","32.80000329017639","32.80000329017639","32.80000329017639"
"3072000","34.1800012588501","34.1800012588501","34.1800012588501"
"3136000","33.67999982833862","33.67999982833862","33.67999982833862"
"3200000","33.64000225067139","33.64000225067139","33.64000225067139"
"3264000","33.860000133514404","33.860000133514404","33.860000133514404"
"3328000","33.68000078201294","33.68000078201294","33.68000078201294"
"3392000","32.8100004196167","32.8100004196167","32.8100004196167"
"3456000","33.450000286102295","33.450000286102295","33.450000286102295"
"3520000","33.329999685287476","33.329999685287476","33.329999685287476"
"3584000","32.66000032424927","32.66000032424927","32.66000032424927"
"3648000","32.90000343322754","32.90000343322754","32.90000343322754"
"3712000","32.80000114440918","32.80000114440918","32.80000114440918"
"3776000","32.700000286102295","32.700000286102295","32.700000286102295"
"3840000","31.72000288963318","31.72000288963318","31.72000288963318"
"3904000","32.68000030517578","32.68000030517578","32.68000030517578"
"3968000","32.62000131607056","32.62000131607056","32.62000131607056"
"4032000","34.11000204086304","34.11000204086304","34.11000204086304"
"4096000","32.72000288963318","32.72000288963318","32.72000288963318"
"4160000","32.83000111579895","32.83000111579895","32.83000111579895"
"4224000","32.869999170303345","32.869999170303345","32.869999170303345"
"4288000","32.760003328323364","32.760003328323364","32.760003328323364"
"4352000","32.06999850273132","32.06999850273132","32.06999850273132"
"4416000","32.05000066757202","32.05000066757202","32.05000066757202"
"4480000","32.529998540878296","32.529998540878296","32.529998540878296"
"4544000","33.7700035572052","33.7700035572052","33.7700035572052"
"4608000","33.6800000667572","33.6800000667572","33.6800000667572"
"4672000","33.209999799728394","33.209999799728394","33.209999799728394"
"4736000","32.31999921798706","32.31999921798706","32.31999921798706"
"4800000","33.559998512268066","33.559998512268066","33.559998512268066"
"4864000","33.539998054504395","33.539998054504395","33.539998054504395"
"4928000","33.679999589920044","33.679999589920044","33.679999589920044"
"4992000","32.43999886512756","32.43999886512756","32.43999886512756"
"5056000","32.37999963760376","32.37999963760376","32.37999963760376"
"5120000","33.43999981880188","33.43999981880188","33.43999981880188"
"5184000","32.82000136375427","32.82000136375427","32.82000136375427"
"5248000","33.14000058174133","33.14000058174133","33.14000058174133"
"5312000","32.840001344680786","32.840001344680786","32.840001344680786"
"5376000","34.119999170303345","34.119999170303345","34.119999170303345"
"5440000","34.50000047683716","34.50000047683716","34.50000047683716"
"5504000","33.980000495910645","33.980000495910645","33.980000495910645"
"5568000","32.60000157356262","32.60000157356262","32.60000157356262"
"5632000","32.06000304222107","32.06000304222107","32.06000304222107"
"5696000","33.77999973297119","33.77999973297119","33.77999973297119"
"5760000","34.06000065803528","34.06000065803528","34.06000065803528"
"5824000","33.96000146865845","33.96000146865845","33.96000146865845"
