"Step","lbf10_cbaminequity_aversion - SW_ep_rew_total","lbf10_cbaminequity_aversion - SW_ep_rew_total__MIN","lbf10_cbaminequity_aversion - SW_ep_rew_total__MAX"
"64000","32.624999046325684","32.624999046325684","32.624999046325684"
"128000","32.07000017166138","32.07000017166138","32.07000017166138"
"192000","25.170001983642578","25.170001983642578","25.170001983642578"
"256000","25.260000228881836","25.260000228881836","25.260000228881836"
"320000","30.02000069618225","30.02000069618225","30.02000069618225"
"384000","28.420000553131104","28.420000553131104","28.420000553131104"
"448000","27.059999704360962","27.059999704360962","27.059999704360962"
"512000","29.839999437332153","29.839999437332153","29.839999437332153"
"576000","23.670000553131104","23.670000553131104","23.670000553131104"
"640000","22.360000610351562","22.360000610351562","22.360000610351562"
"704000","23.619999885559082","23.619999885559082","23.619999885559082"
"768000","23.410000562667847","23.410000562667847","23.410000562667847"
"832000","22.819998502731323","22.819998502731323","22.819998502731323"
"896000","25.080000162124634","25.080000162124634","25.080000162124634"
"960000","26.440001487731934","26.440001487731934","26.440001487731934"
"1024000","25.199999809265137","25.199999809265137","25.199999809265137"
"1088000","21.850000858306885","21.850000858306885","21.850000858306885"
"1152000","18.780000686645508","18.780000686645508","18.780000686645508"
"1216000","16.43000102043152","16.43000102043152","16.43000102043152"
"1280000","13.669999837875366","13.669999837875366","13.669999837875366"
"1344000","12.750000238418579","12.750000238418579","12.750000238418579"
"1408000","12.960000276565552","12.960000276565552","12.960000276565552"
"1472000","13.760000228881836","13.760000228881836","13.760000228881836"
"1536000","13.34000039100647","13.34000039100647","13.34000039100647"
"1600000","12.880000352859497","12.880000352859497","12.880000352859497"
"1664000","13.079999923706055","13.079999923706055","13.079999923706055"
"1728000","14.90999984741211","14.90999984741211","14.90999984741211"
"1792000","15.080000162124634","15.080000162124634","15.080000162124634"
"1856000","15.250000476837158","15.250000476837158","15.250000476837158"
"1920000","15.34999942779541","15.34999942779541","15.34999942779541"
"1984000","15.75999903678894","15.75999903678894","15.75999903678894"
"2048000","13.809999942779541","13.809999942779541","13.809999942779541"
"2112000","14.15999984741211","14.15999984741211","14.15999984741211"
"2176000","15.380001306533813","15.380001306533813","15.380001306533813"
"2240000","14.37000024318695","14.37000024318695","14.37000024318695"
"2304000","14.839999675750732","14.839999675750732","14.839999675750732"
"2368000","12.850000143051147","12.850000143051147","12.850000143051147"
"2432000","12.380000233650208","12.380000233650208","12.380000233650208"
"2496000","13.709999799728394","13.709999799728394","13.709999799728394"
"2560000","12.410000205039978","12.410000205039978","12.410000205039978"
"2624000","11.699999809265137","11.699999809265137","11.699999809265137"
"2688000","13.520000100135803","13.520000100135803","13.520000100135803"
"2752000","13.84000039100647","13.84000039100647","13.84000039100647"
"2816000","12.289999008178711","12.289999008178711","12.289999008178711"
"2880000","11.490000009536743","11.490000009536743","11.490000009536743"
"2944000","11.31000018119812","11.31000018119812","11.31000018119812"
"3008000","11.239999890327454","11.239999890327454","11.239999890327454"
"3072000","11.989999890327454","11.989999890327454","11.989999890327454"
"3136000","13.37000060081482","13.37000060081482","13.37000060081482"
"3200000","13.180000066757202","13.180000066757202","13.180000066757202"
"3264000","15.910000205039978","15.910000205039978","15.910000205039978"
"3328000","16.429999709129333","16.429999709129333","16.429999709129333"
"3392000","16.56000065803528","16.56000065803528","16.56000065803528"
"3456000","18.919999480247498","18.919999480247498","18.919999480247498"
"3520000","18.270000457763672","18.270000457763672","18.270000457763672"
"3584000","18.28999972343445","18.28999972343445","18.28999972343445"
"3648000","20.470001220703125","20.470001220703125","20.470001220703125"
"3712000","20.34999978542328","20.34999978542328","20.34999978542328"
"3776000","20.86000108718872","20.86000108718872","20.86000108718872"
"3840000","22.850000381469727","22.850000381469727","22.850000381469727"
"3904000","23.950000405311584","23.950000405311584","23.950000405311584"
"3968000","24.12000024318695","24.12000024318695","24.12000024318695"
"4032000","25.330001831054688","25.330001831054688","25.330001831054688"
"4096000","26.720001578330994","26.720001578330994","26.720001578330994"
"4160000","26.679999589920044","26.679999589920044","26.679999589920044"
"4224000","25.279999613761902","25.279999613761902","25.279999613761902"
"4288000","23.670000195503235","23.670000195503235","23.670000195503235"
"4352000","25.489998936653137","25.489998936653137","25.489998936653137"
"4416000","27.37000000476837","27.37000000476837","27.37000000476837"
"4480000","29.430002212524414","29.430002212524414","29.430002212524414"
"4544000","26.529999494552612","26.529999494552612","26.529999494552612"
"4608000","24.000001311302185","24.000001311302185","24.000001311302185"
"4672000","21.40000069141388","21.40000069141388","21.40000069141388"
"4736000","21.00000011920929","21.00000011920929","21.00000011920929"
"4800000","18.65999948978424","18.65999948978424","18.65999948978424"
"4864000","15.380000352859497","15.380000352859497","15.380000352859497"
"4928000","18.389999747276306","18.389999747276306","18.389999747276306"
"4992000","21.210000872612","21.210000872612","21.210000872612"
"5056000","19.330000519752502","19.330000519752502","19.330000519752502"
"5120000","14.71000075340271","14.71000075340271","14.71000075340271"
"5184000","17.65999925136566","17.65999925136566","17.65999925136566"
"5248000","19.830000162124634","19.830000162124634","19.830000162124634"
"5312000","18.160000801086426","18.160000801086426","18.160000801086426"
"5376000","19.260000228881836","19.260000228881836","19.260000228881836"
"5440000","16.880000948905945","16.880000948905945","16.880000948905945"
"5504000","14.969999432563782","14.969999432563782","14.969999432563782"
"5568000","14.31000006198883","14.31000006198883","14.31000006198883"
"5632000","11.860000252723694","11.860000252723694","11.860000252723694"
"5696000","12.019999861717224","12.019999861717224","12.019999861717224"
"5760000","11.390000224113464","11.390000224113464","11.390000224113464"
