"Step","lbf15_cbamcausal - rollout/ep_rew_mean","lbf15_cbamcausal - rollout/ep_rew_mean__MIN","lbf15_cbamcausal - rollout/ep_rew_mean__MAX"
"256000","1.059999942779541","1.059999942779541","1.059999942779541"
"512000","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"768000","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"1024000","1.2699999809265137","1.2699999809265137","1.2699999809265137"
"1280000","1.3300000429153442","1.3300000429153442","1.3300000429153442"
"1536000","2.25","2.25","2.25"
"1792000","2.2899999618530273","2.2899999618530273","2.2899999618530273"
"2048000","2.549999952316284","2.549999952316284","2.549999952316284"
"2304000","2.880000114440918","2.880000114440918","2.880000114440918"
"2560000","4.710000038146973","4.710000038146973","4.710000038146973"
"2816000","4.539999961853027","4.539999961853027","4.539999961853027"
"3072000","4.46999979019165","4.46999979019165","4.46999979019165"
"3328000","5.849999904632568","5.849999904632568","5.849999904632568"
"3584000","6.130000114440918","6.130000114440918","6.130000114440918"
"3840000","5.929999828338623","5.929999828338623","5.929999828338623"
"4096000","5.840000152587891","5.840000152587891","5.840000152587891"
"4352000","6.619999885559082","6.619999885559082","6.619999885559082"
"4608000","6.480000019073486","6.480000019073486","6.480000019073486"
"4864000","6.210000038146973","6.210000038146973","6.210000038146973"
"5120000","6.25","6.25","6.25"
"5376000","6.429999828338623","6.429999828338623","6.429999828338623"
"5632000","6.53000020980835","6.53000020980835","6.53000020980835"
"5888000","6.599999904632568","6.599999904632568","6.599999904632568"
"6144000","6.369999885559082","6.369999885559082","6.369999885559082"
"6400000","6.380000114440918","6.380000114440918","6.380000114440918"
"6656000","6.590000152587891","6.590000152587891","6.590000152587891"
"6912000","6.739999771118164","6.739999771118164","6.739999771118164"
"7168000","6.650000095367432","6.650000095367432","6.650000095367432"
"7424000","6.75","6.75","6.75"
"7680000","6.730000019073486","6.730000019073486","6.730000019073486"
"7936000","6.730000019073486","6.730000019073486","6.730000019073486"
"8192000","6.739999771118164","6.739999771118164","6.739999771118164"
"8448000","6.769999980926514","6.769999980926514","6.769999980926514"
"8704000","6.769999980926514","6.769999980926514","6.769999980926514"
"8960000","6.75","6.75","6.75"
"9216000","6.739999771118164","6.739999771118164","6.739999771118164"
"9472000","6.75","6.75","6.75"
"9728000","6.75","6.75","6.75"
"9984000","6.75","6.75","6.75"
"10240000","6.789999961853027","6.789999961853027","6.789999961853027"
"10496000","6.789999961853027","6.789999961853027","6.789999961853027"
"10752000","6.789999961853027","6.789999961853027","6.789999961853027"
"11008000","6.869999885559082","6.869999885559082","6.869999885559082"
"11264000","7.139999866485596","7.139999866485596","7.139999866485596"
"11520000","7.269999980926514","7.269999980926514","7.269999980926514"
"11776000","7.130000114440918","7.130000114440918","7.130000114440918"
"12032000","7.309999942779541","7.309999942779541","7.309999942779541"
"12288000","7.409999847412109","7.409999847412109","7.409999847412109"
"12544000","7.610000133514404","7.610000133514404","7.610000133514404"
"12800000","8.149999618530273","8.149999618530273","8.149999618530273"
"13056000","7.789999961853027","7.789999961853027","7.789999961853027"
"13312000","8.59000015258789","8.59000015258789","8.59000015258789"
"13568000","9.1899995803833","9.1899995803833","9.1899995803833"
"13824000","10.09000015258789","10.09000015258789","10.09000015258789"
"14080000","10.369999885559082","10.369999885559082","10.369999885559082"
"14336000","10.569999694824219","10.569999694824219","10.569999694824219"
"14592000","11.029999732971191","11.029999732971191","11.029999732971191"
"14848000","11.369999885559082","11.369999885559082","11.369999885559082"
"15104000","11.470000267028809","11.470000267028809","11.470000267028809"
"15360000","12.069999694824219","12.069999694824219","12.069999694824219"
"15616000","11.75","11.75","11.75"
"15872000","11.970000267028809","11.970000267028809","11.970000267028809"
"16128000","11.930000305175781","11.930000305175781","11.930000305175781"
"16384000","11.90999984741211","11.90999984741211","11.90999984741211"
"16640000","11.970000267028809","11.970000267028809","11.970000267028809"
"16896000","12.210000038146973","12.210000038146973","12.210000038146973"
"17152000","12.170000076293945","12.170000076293945","12.170000076293945"
"17408000","12.029999732971191","12.029999732971191","12.029999732971191"
"17664000","12.1899995803833","12.1899995803833","12.1899995803833"
"17920000","12.010000228881836","12.010000228881836","12.010000228881836"
"18176000","12.130000114440918","12.130000114440918","12.130000114440918"
"18432000","12.1899995803833","12.1899995803833","12.1899995803833"
"18688000","12.109999656677246","12.109999656677246","12.109999656677246"
"18944000","12.350001335144043","12.350001335144043","12.350001335144043"
"19200000","12.3100004196167","12.3100004196167","12.3100004196167"
"19456000","12.449999809265137","12.449999809265137","12.449999809265137"
"19712000","12.430000305175781","12.430000305175781","12.430000305175781"
"19968000","12.550000190734863","12.550000190734863","12.550000190734863"
"20224000","12.470000267028809","12.470000267028809","12.470000267028809"
