"Step","harvest_cbambaseline - SW_ep_rew_total","harvest_cbambaseline - SW_ep_rew_total__MIN","harvest_cbambaseline - SW_ep_rew_total__MAX"
"4736000","150.82999992370605","150.82999992370605","150.82999992370605"
"4800000","152.51000022888184","152.51000022888184","152.51000022888184"
"4864000","151.2800006866455","151.2800006866455","151.2800006866455"
"4928000","151.97000122070312","151.97000122070312","151.97000122070312"
"4992000","152.5","152.5","152.5"
"5056000","153.0399990081787","153.0399990081787","153.0399990081787"
"5120000","153.04000091552734","153.04000091552734","153.04000091552734"
"5184000","152.10999870300293","152.10999870300293","152.10999870300293"
"5248000","152.10000038146973","152.10000038146973","152.10000038146973"
"5312000","152.2700023651123","152.2700023651123","152.2700023651123"
"5376000","152.9699993133545","152.9699993133545","152.9699993133545"
"5440000","153.18999862670898","153.18999862670898","153.18999862670898"
"5504000","153.10999870300293","153.10999870300293","153.10999870300293"
"5568000","153.09999656677246","153.09999656677246","153.09999656677246"
"5632000","152.8199977874756","152.8199977874756","152.8199977874756"
"5696000","152.76000022888184","152.76000022888184","152.76000022888184"
"5760000","152.73999977111816","152.73999977111816","152.73999977111816"
"5824000","153.31000137329102","153.31000137329102","153.31000137329102"
"5888000","154.07999992370605","154.07999992370605","154.07999992370605"
"5952000","153.60999870300293","153.60999870300293","153.60999870300293"
"6016000","151.5300006866455","151.5300006866455","151.5300006866455"
"6080000","152.83999824523926","152.83999824523926","152.83999824523926"
"6144000","154.13000106811523","154.13000106811523","154.13000106811523"
"6208000","153.63999938964844","153.63999938964844","153.63999938964844"
"6272000","154.2700023651123","154.2700023651123","154.2700023651123"
"6336000","154.14999961853027","154.14999961853027","154.14999961853027"
"6400000","152.95000076293945","152.95000076293945","152.95000076293945"
"6464000","152.6599998474121","152.6599998474121","152.6599998474121"
"6528000","152.14000129699707","152.14000129699707","152.14000129699707"
"6592000","154.19999885559082","154.19999885559082","154.19999885559082"
"6656000","153.86999893188477","153.86999893188477","153.86999893188477"
"6720000","153.2100009918213","153.2100009918213","153.2100009918213"
"6784000","153.24999618530273","153.24999618530273","153.24999618530273"
"6848000","153.22999954223633","153.22999954223633","153.22999954223633"
"6912000","153.7199993133545","153.7199993133545","153.7199993133545"
"6976000","154.35999870300293","154.35999870300293","154.35999870300293"
"7040000","153.75","153.75","153.75"
