"Step","harvest_cbam_baseline - SW_ep_rew_total","harvest_cbam_baseline - SW_ep_rew_total__MIN","harvest_cbam_baseline - SW_ep_rew_total__MAX"
"9280000","672.6800079345703","672.6800079345703","672.6800079345703"
"9344000","658.7000045776367","658.7000045776367","658.7000045776367"
"9408000","666.2399978637695","666.2399978637695","666.2399978637695"
"9472000","657.0400085449219","657.0400085449219","657.0400085449219"
"9536000","662.5","662.5","662.5"
"9600000","660.8099975585938","660.8099975585938","660.8099975585938"
"9664000","667.7400054931641","667.7400054931641","667.7400054931641"
"9728000","676.5099868774414","676.5099868774414","676.5099868774414"
"9792000","659.7300033569336","659.7300033569336","659.7300033569336"
"9856000","657.9200057983398","657.9200057983398","657.9200057983398"
"9920000","665.3800048828125","665.3800048828125","665.3800048828125"
"9984000","660.9299850463867","660.9299850463867","660.9299850463867"
"10048000","652.9200210571289","652.9200210571289","652.9200210571289"
"10112000","657.2300033569336","657.2300033569336","657.2300033569336"
"10176000","668.0599975585938","668.0599975585938","668.0599975585938"
"10240000","665.3099975585938","665.3099975585938","665.3099975585938"
"10304000","670.3199920654297","670.3199920654297","670.3199920654297"
"10368000","662.5400085449219","662.5400085449219","662.5400085449219"
"10432000","658.9400100708008","658.9400100708008","658.9400100708008"
"10496000","668.599983215332","668.599983215332","668.599983215332"
"10560000","667.5699844360352","667.5699844360352","667.5699844360352"
"10624000","671.379997253418","671.379997253418","671.379997253418"
"10688000","679.5899963378906","679.5899963378906","679.5899963378906"
"10752000","665.359992980957","665.359992980957","665.359992980957"
"10816000","663.7299957275391","663.7299957275391","663.7299957275391"
"10880000","668.7400054931641","668.7400054931641","668.7400054931641"
"10944000","666.6999969482422","666.6999969482422","666.6999969482422"
"11008000","656.8099899291992","656.8099899291992","656.8099899291992"
"11072000","666.4199905395508","666.4199905395508","666.4199905395508"
"11136000","668.4900054931641","668.4900054931641","668.4900054931641"
"11200000","670.2099990844727","670.2099990844727","670.2099990844727"
"11264000","664.0899887084961","664.0899887084961","664.0899887084961"
"11328000","660.140007019043","660.140007019043","660.140007019043"
"11392000","663.6700134277344","663.6700134277344","663.6700134277344"
"11456000","666.3600082397461","666.3600082397461","666.3600082397461"
"11520000","658.8000030517578","658.8000030517578","658.8000030517578"
"11584000","664.3000030517578","664.3000030517578","664.3000030517578"
"11648000","666.369987487793","666.369987487793","666.369987487793"
"11712000","664.1599960327148","664.1599960327148","664.1599960327148"
"11776000","656.7000122070312","656.7000122070312","656.7000122070312"
"11840000","663.7899932861328","663.7899932861328","663.7899932861328"
"11904000","670.8099975585938","670.8099975585938","670.8099975585938"
"11968000","667.4299926757812","667.4299926757812","667.4299926757812"
"12032000","668.890007019043","668.890007019043","668.890007019043"
"12096000","668.7800064086914","668.7800064086914","668.7800064086914"
"12160000","667.2200012207031","667.2200012207031","667.2200012207031"
"12224000","665.5299987792969","665.5299987792969","665.5299987792969"
"12288000","678.6599960327148","678.6599960327148","678.6599960327148"
"12352000","667.4300003051758","667.4300003051758","667.4300003051758"
"12416000","666.8500137329102","666.8500137329102","666.8500137329102"
"12480000","676.7599945068359","676.7599945068359","676.7599945068359"
"12544000","669.1100006103516","669.1100006103516","669.1100006103516"
"12608000","664.7199859619141","664.7199859619141","664.7199859619141"
"12672000","655.6600036621094","655.6600036621094","655.6600036621094"
"12736000","664.2099914550781","664.2099914550781","664.2099914550781"
"12800000","662.7099990844727","662.7099990844727","662.7099990844727"
"12864000","675.2699966430664","675.2699966430664","675.2699966430664"
"12928000","664.3800048828125","664.3800048828125","664.3800048828125"
"12992000","651.8699951171875","651.8699951171875","651.8699951171875"
"13056000","668.8800048828125","668.8800048828125","668.8800048828125"
"13120000","665.5899887084961","665.5899887084961","665.5899887084961"
"13184000","658.5900192260742","658.5900192260742","658.5900192260742"
"13248000","665.5200042724609","665.5200042724609","665.5200042724609"
"13312000","655.0900039672852","655.0900039672852","655.0900039672852"
"13376000","668.2600173950195","668.2600173950195","668.2600173950195"
"13440000","670.5799942016602","670.5799942016602","670.5799942016602"
"13504000","666.4200210571289","666.4200210571289","666.4200210571289"
"13568000","669.7799758911133","669.7799758911133","669.7799758911133"
"13632000","671.5299835205078","671.5299835205078","671.5299835205078"
"13696000","672.9500122070312","672.9500122070312","672.9500122070312"
"13760000","671.2799987792969","671.2799987792969","671.2799987792969"
"13824000","660.0699920654297","660.0699920654297","660.0699920654297"
"13888000","657.5999908447266","657.5999908447266","657.5999908447266"
"13952000","664.9000015258789","664.9000015258789","664.9000015258789"
"14016000","662.3200073242188","662.3200073242188","662.3200073242188"
"14080000","656.6000061035156","656.6000061035156","656.6000061035156"
"14144000","654.5099945068359","654.5099945068359","654.5099945068359"
"14208000","655.9100036621094","655.9100036621094","655.9100036621094"
"14272000","664.4000015258789","664.4000015258789","664.4000015258789"
"14336000","665.3400115966797","665.3400115966797","665.3400115966797"
"14400000","661.7799987792969","661.7799987792969","661.7799987792969"
"14464000","661.8400115966797","661.8400115966797","661.8400115966797"
"14528000","667.2299957275391","667.2299957275391","667.2299957275391"
"14592000","665.0400009155273","665.0400009155273","665.0400009155273"
"14656000","664.2099990844727","664.2099990844727","664.2099990844727"
"14720000","659.869987487793","659.869987487793","659.869987487793"
"14784000","664.489990234375","664.489990234375","664.489990234375"
"14848000","660.0999908447266","660.0999908447266","660.0999908447266"
"14912000","665.4099884033203","665.4099884033203","665.4099884033203"
"14976000","670.9600067138672","670.9600067138672","670.9600067138672"
"15040000","658.8899993896484","658.8899993896484","658.8899993896484"
"15104000","663.25","663.25","663.25"
"15168000","663.7000122070312","663.7000122070312","663.7000122070312"
"15232000","658.9300079345703","658.9300079345703","658.9300079345703"
"15296000","663.4199981689453","663.4199981689453","663.4199981689453"
"15360000","659.0300064086914","659.0300064086914","659.0300064086914"
"15424000","656.2800064086914","656.2800064086914","656.2800064086914"
"15488000","663.890007019043","663.890007019043","663.890007019043"
"15552000","655.2799987792969","655.2799987792969","655.2799987792969"
"15616000","661.5099945068359","661.5099945068359","661.5099945068359"
"15680000","656.6500015258789","656.6500015258789","656.6500015258789"
"15744000","658.4500045776367","658.4500045776367","658.4500045776367"
"15808000","659.2899932861328","659.2899932861328","659.2899932861328"
"15872000","657.7599945068359","657.7599945068359","657.7599945068359"
"15936000","661.5900039672852","661.5900039672852","661.5900039672852"
"16000000","671.7399978637695","671.7399978637695","671.7399978637695"
"16064000","657.1500015258789","657.1500015258789","657.1500015258789"
"16128000","652.1500015258789","652.1500015258789","652.1500015258789"
"16192000","665.1900100708008","665.1900100708008","665.1900100708008"
"16256000","665.0600128173828","665.0600128173828","665.0600128173828"
"16320000","660.9400024414062","660.9400024414062","660.9400024414062"
"16384000","654.620002746582","654.620002746582","654.620002746582"
"16448000","651.3799896240234","651.3799896240234","651.3799896240234"
"16512000","653.5499954223633","653.5499954223633","653.5499954223633"
"16576000","659.7599945068359","659.7599945068359","659.7599945068359"
"16640000","665.9199905395508","665.9199905395508","665.9199905395508"
"16704000","649.7799911499023","649.7799911499023","649.7799911499023"
"16768000","648.6899948120117","648.6899948120117","648.6899948120117"
"16832000","658.5399932861328","658.5399932861328","658.5399932861328"
"16896000","655.510009765625","655.510009765625","655.510009765625"
"16960000","649.880012512207","649.880012512207","649.880012512207"
"17024000","660.8500137329102","660.8500137329102","660.8500137329102"
"17088000","658.3099822998047","658.3099822998047","658.3099822998047"
"17152000","662.52001953125","662.52001953125","662.52001953125"
"17216000","666.3899841308594","666.3899841308594","666.3899841308594"
"17280000","668.1699981689453","668.1699981689453","668.1699981689453"
"17344000","661.5599975585938","661.5599975585938","661.5599975585938"
"17408000","650.3899917602539","650.3899917602539","650.3899917602539"
"17472000","648.4000015258789","648.4000015258789","648.4000015258789"
"17536000","655.2299880981445","655.2299880981445","655.2299880981445"
"17600000","668.6100006103516","668.6100006103516","668.6100006103516"
"17664000","652.510009765625","652.510009765625","652.510009765625"
"17728000","649.7300033569336","649.7300033569336","649.7300033569336"
"17792000","655.3099899291992","655.3099899291992","655.3099899291992"
"17856000","667.8600006103516","667.8600006103516","667.8600006103516"
"17920000","668.620002746582","668.620002746582","668.620002746582"
"17984000","660.5600128173828","660.5600128173828","660.5600128173828"
"18048000","648.9700012207031","648.9700012207031","648.9700012207031"
"18112000","650.1900024414062","650.1900024414062","650.1900024414062"
"18176000","669.0799942016602","669.0799942016602","669.0799942016602"
"18240000","663.9600067138672","663.9600067138672","663.9600067138672"
"18304000","671.1399993896484","671.1399993896484","671.1399993896484"
"18368000","668.2800140380859","668.2800140380859","668.2800140380859"
"18432000","648.6800003051758","648.6800003051758","648.6800003051758"
"18496000","651.890007019043","651.890007019043","651.890007019043"
"18560000","646.4799880981445","646.4799880981445","646.4799880981445"
"18624000","649.9700164794922","649.9700164794922","649.9700164794922"
"18688000","647.2900161743164","647.2900161743164","647.2900161743164"
"18752000","655.4700012207031","655.4700012207031","655.4700012207031"
"18816000","649.9099884033203","649.9099884033203","649.9099884033203"
"18880000","650.5699844360352","650.5699844360352","650.5699844360352"
"18944000","645.359992980957","645.359992980957","645.359992980957"
"19008000","653.1399993896484","653.1399993896484","653.1399993896484"
"19072000","650.5499877929688","650.5499877929688","650.5499877929688"
"19136000","642.5600128173828","642.5600128173828","642.5600128173828"
"19200000","653.0100021362305","653.0100021362305","653.0100021362305"
"19264000","664.2299957275391","664.2299957275391","664.2299957275391"
"19328000","655.4099960327148","655.4099960327148","655.4099960327148"
"19392000","656.3000106811523","656.3000106811523","656.3000106811523"
"19456000","652.5700149536133","652.5700149536133","652.5700149536133"
"19520000","637.8000030517578","637.8000030517578","637.8000030517578"
"19584000","643","643","643"
"19648000","639.3199920654297","639.3199920654297","639.3199920654297"
"19712000","638.9199905395508","638.9199905395508","638.9199905395508"
"19776000","655.8499984741211","655.8499984741211","655.8499984741211"
"19840000","656.0300216674805","656.0300216674805","656.0300216674805"
"19904000","660.5900115966797","660.5900115966797","660.5900115966797"
"19968000","652.4199981689453","652.4199981689453","652.4199981689453"
"20032000","655.9599990844727","655.9599990844727","655.9599990844727"
"20096000","655.8499908447266","655.8499908447266","655.8499908447266"
"20160000","645.9899978637695","645.9899978637695","645.9899978637695"
"20224000","655.6999969482422","655.6999969482422","655.6999969482422"
"20288000","645.5200042724609","645.5200042724609","645.5200042724609"
"20352000","643.8399963378906","643.8399963378906","643.8399963378906"
"20416000","654.4099884033203","654.4099884033203","654.4099884033203"
"20480000","670.7200164794922","670.7200164794922","670.7200164794922"
"20544000","661.3299942016602","661.3299942016602","661.3299942016602"
"20608000","654.380012512207","654.380012512207","654.380012512207"
"20672000","651.2600021362305","651.2600021362305","651.2600021362305"
"20736000","667.6399993896484","667.6399993896484","667.6399993896484"
"20800000","652.4899978637695","652.4899978637695","652.4899978637695"
"20864000","661.6199951171875","661.6199951171875","661.6199951171875"
"20928000","653.4999923706055","653.4999923706055","653.4999923706055"
"20992000","655.0500183105469","655.0500183105469","655.0500183105469"
"21056000","664.1300048828125","664.1300048828125","664.1300048828125"
"21120000","659.5400161743164","659.5400161743164","659.5400161743164"
"21184000","653.8500061035156","653.8500061035156","653.8500061035156"
"21248000","663.2999877929688","663.2999877929688","663.2999877929688"
"21312000","653.7900009155273","653.7900009155273","653.7900009155273"
"21376000","644.8500137329102","644.8500137329102","644.8500137329102"
"21440000","642.9699935913086","642.9699935913086","642.9699935913086"
"21504000","645.6800079345703","645.6800079345703","645.6800079345703"
"21568000","661.9999923706055","661.9999923706055","661.9999923706055"
"21632000","654.760009765625","654.760009765625","654.760009765625"
"21696000","656.1399993896484","656.1399993896484","656.1399993896484"
"21760000","655.1900024414062","655.1900024414062","655.1900024414062"
"21824000","650.2200012207031","650.2200012207031","650.2200012207031"
"21888000","654.849983215332","654.849983215332","654.849983215332"
"21952000","648.5299911499023","648.5299911499023","648.5299911499023"
"22016000","643.2299957275391","643.2299957275391","643.2299957275391"
"22080000","646.0100021362305","646.0100021362305","646.0100021362305"
"22144000","668.5300140380859","668.5300140380859","668.5300140380859"
"22208000","665.7600021362305","665.7600021362305","665.7600021362305"
"22272000","653.5199966430664","653.5199966430664","653.5199966430664"
"22336000","657.3200073242188","657.3200073242188","657.3200073242188"
"22400000","648.3600082397461","648.3600082397461","648.3600082397461"
"22464000","647.2699813842773","647.2699813842773","647.2699813842773"
"22528000","650.0600051879883","650.0600051879883","650.0600051879883"
"22592000","652.6299819946289","652.6299819946289","652.6299819946289"
"22656000","657.7400054931641","657.7400054931641","657.7400054931641"
"22720000","660.1900024414062","660.1900024414062","660.1900024414062"
"22784000","654.8000030517578","654.8000030517578","654.8000030517578"
"22848000","656.630012512207","656.630012512207","656.630012512207"
"22912000","666.0800018310547","666.0800018310547","666.0800018310547"
"22976000","661.5899963378906","661.5899963378906","661.5899963378906"
"23040000","665.5900115966797","665.5900115966797","665.5900115966797"
"23104000","660.9600067138672","660.9600067138672","660.9600067138672"
"23168000","657.0999908447266","657.0999908447266","657.0999908447266"
"23232000","647.5699996948242","647.5699996948242","647.5699996948242"
"23296000","645.1199951171875","645.1199951171875","645.1199951171875"
"23360000","648.2099838256836","648.2099838256836","648.2099838256836"
"23424000","664.3600082397461","664.3600082397461","664.3600082397461"
"23488000","671.6899871826172","671.6899871826172","671.6899871826172"
"23552000","665.9699859619141","665.9699859619141","665.9699859619141"
"23616000","667.7700119018555","667.7700119018555","667.7700119018555"
"23680000","648.0400085449219","648.0400085449219","648.0400085449219"
"23744000","642.8000030517578","642.8000030517578","642.8000030517578"
"23808000","651.4999923706055","651.4999923706055","651.4999923706055"
"23872000","647.2099914550781","647.2099914550781","647.2099914550781"
"23936000","652.1699981689453","652.1699981689453","652.1699981689453"
"24000000","654.9800033569336","654.9800033569336","654.9800033569336"
"24064000","652.6700057983398","652.6700057983398","652.6700057983398"
"24128000","657.0800018310547","657.0800018310547","657.0800018310547"
"24192000","650.5299987792969","650.5299987792969","650.5299987792969"
"24256000","649.7699966430664","649.7699966430664","649.7699966430664"
"24320000","657.5400085449219","657.5400085449219","657.5400085449219"
"24384000","654.2100067138672","654.2100067138672","654.2100067138672"
"24448000","646.2200088500977","646.2200088500977","646.2200088500977"
"24512000","639.1100082397461","639.1100082397461","639.1100082397461"
"24576000","644.9000015258789","644.9000015258789","644.9000015258789"
"24640000","647.1900024414062","647.1900024414062","647.1900024414062"
"24704000","662.1100006103516","662.1100006103516","662.1100006103516"
"24768000","650.5899963378906","650.5899963378906","650.5899963378906"
"24832000","649.0099945068359","649.0099945068359","649.0099945068359"
"24896000","647","647","647"
"24960000","646.0700149536133","646.0700149536133","646.0700149536133"
"25024000","658.2600021362305","658.2600021362305","658.2600021362305"
"25088000","660.7500076293945","660.7500076293945","660.7500076293945"
"25152000","651.9400024414062","651.9400024414062","651.9400024414062"
"25216000","652.0900115966797","652.0900115966797","652.0900115966797"
"25280000","639.7199935913086","639.7199935913086","639.7199935913086"
"25344000","650.5999984741211","650.5999984741211","650.5999984741211"
"25408000","644.9800109863281","644.9800109863281","644.9800109863281"
"25472000","646.6500015258789","646.6500015258789","646.6500015258789"
"25536000","650.4800109863281","650.4800109863281","650.4800109863281"
"25600000","652.5099868774414","652.5099868774414","652.5099868774414"
"25664000","649.6199798583984","649.6199798583984","649.6199798583984"
"25728000","643.5099945068359","643.5099945068359","643.5099945068359"
"25792000","649.1100006103516","649.1100006103516","649.1100006103516"
"25856000","653.5499954223633","653.5499954223633","653.5499954223633"
"25920000","646.1499938964844","646.1499938964844","646.1499938964844"
"25984000","643.3300018310547","643.3300018310547","643.3300018310547"
"26048000","654.6900177001953","654.6900177001953","654.6900177001953"
"26112000","643.5200042724609","643.5200042724609","643.5200042724609"
"26176000","647.5499877929688","647.5499877929688","647.5499877929688"
"26240000","649.0999984741211","649.0999984741211","649.0999984741211"
"26304000","651.3899993896484","651.3899993896484","651.3899993896484"
"26368000","657.9199829101562","657.9199829101562","657.9199829101562"
"26432000","662.0599975585938","662.0599975585938","662.0599975585938"
"26496000","652.5899963378906","652.5899963378906","652.5899963378906"
"26560000","646.2599868774414","646.2599868774414","646.2599868774414"
"26624000","656.6799926757812","656.6799926757812","656.6799926757812"
"26688000","663.0899963378906","663.0899963378906","663.0899963378906"
"26752000","661.5700073242188","661.5700073242188","661.5700073242188"
"26816000","663.7300033569336","663.7300033569336","663.7300033569336"
"26880000","657.0599975585938","657.0599975585938","657.0599975585938"
"26944000","659.1399917602539","659.1399917602539","659.1399917602539"
"27008000","653.5200119018555","653.5200119018555","653.5200119018555"
"27072000","664.9100036621094","664.9100036621094","664.9100036621094"
"27136000","667.1399841308594","667.1399841308594","667.1399841308594"
"27200000","644.4200057983398","644.4200057983398","644.4200057983398"
"27264000","652.9499893188477","652.9499893188477","652.9499893188477"
"27328000","662.8100051879883","662.8100051879883","662.8100051879883"
"27392000","674.260009765625","674.260009765625","674.260009765625"
"27456000","671.3899917602539","671.3899917602539","671.3899917602539"
"27520000","645.3600006103516","645.3600006103516","645.3600006103516"
"27584000","640.9499816894531","640.9499816894531","640.9499816894531"
"27648000","640.8899993896484","640.8899993896484","640.8899993896484"
"27712000","652.7200088500977","652.7200088500977","652.7200088500977"
"27776000","651.8299942016602","651.8299942016602","651.8299942016602"
"27840000","659.8399963378906","659.8399963378906","659.8399963378906"
"27904000","659.5500106811523","659.5500106811523","659.5500106811523"
"27968000","661.7699890136719","661.7699890136719","661.7699890136719"
"28032000","658.359992980957","658.359992980957","658.359992980957"
"28096000","660.8999938964844","660.8999938964844","660.8999938964844"
"28160000","641.7700042724609","641.7700042724609","641.7700042724609"
"28224000","663.280029296875","663.280029296875","663.280029296875"
"28288000","667.4000091552734","667.4000091552734","667.4000091552734"
"28352000","656.109992980957","656.109992980957","656.109992980957"
"28416000","655.2399978637695","655.2399978637695","655.2399978637695"
"28480000","657.2000122070312","657.2000122070312","657.2000122070312"
"28544000","662.5099868774414","662.5099868774414","662.5099868774414"
"28608000","656.6500091552734","656.6500091552734","656.6500091552734"
"28672000","656.5000076293945","656.5000076293945","656.5000076293945"
"28736000","657.7400054931641","657.7400054931641","657.7400054931641"
"28800000","670.2700042724609","670.2700042724609","670.2700042724609"
"28864000","658.5200119018555","658.5200119018555","658.5200119018555"
"28928000","643.2699966430664","643.2699966430664","643.2699966430664"
"28992000","654.5300064086914","654.5300064086914","654.5300064086914"
"29056000","678.7400054931641","678.7400054931641","678.7400054931641"
"29120000","673.1599884033203","673.1599884033203","673.1599884033203"
"29184000","672.0800018310547","672.0800018310547","672.0800018310547"
"29248000","669.3399963378906","669.3399963378906","669.3399963378906"
"29312000","670.1200103759766","670.1200103759766","670.1200103759766"
"29376000","663.4499969482422","663.4499969482422","663.4499969482422"
"29440000","674.489990234375","674.489990234375","674.489990234375"
"29504000","676.0299987792969","676.0299987792969","676.0299987792969"
