"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4882.171875","-4882.171875","-4882.171875"
"128000","-4921.760009765625","-4921.760009765625","-4921.760009765625"
"192000","-4211.06005859375","-4211.06005859375","-4211.06005859375"
"256000","-3383.219970703125","-3383.219970703125","-3383.219970703125"
"320000","-2845.9500122070312","-2845.9500122070312","-2845.9500122070312"
"384000","-2470.6199951171875","-2470.6199951171875","-2470.6199951171875"
"448000","-2086.959991455078","-2086.959991455078","-2086.959991455078"
"512000","-1697.75","-1697.75","-1697.75"
"576000","-1559.5799865722656","-1559.5799865722656","-1559.5799865722656"
"640000","-1366.1600036621094","-1366.1600036621094","-1366.1600036621094"
"704000","-1136.5899963378906","-1136.5899963378906","-1136.5899963378906"
"768000","-939.3999938964844","-939.3999938964844","-939.3999938964844"
"832000","-752.3600006103516","-752.3600006103516","-752.3600006103516"
"896000","-634.0199890136719","-634.0199890136719","-634.0199890136719"
"960000","-554.3699951171875","-554.3699951171875","-554.3699951171875"
"1024000","-500.4199981689453","-500.4199981689453","-500.4199981689453"
"1088000","-484.15999603271484","-484.15999603271484","-484.15999603271484"
"1152000","-405.5699920654297","-405.5699920654297","-405.5699920654297"
"1216000","-370.0899963378906","-370.0899963378906","-370.0899963378906"
"1280000","-312.4799995422363","-312.4799995422363","-312.4799995422363"
"1344000","-263.1699981689453","-263.1699981689453","-263.1699981689453"
"1408000","-239.54000091552734","-239.54000091552734","-239.54000091552734"
"1472000","-221.0199966430664","-221.0199966430664","-221.0199966430664"
"1536000","-197.38999938964844","-197.38999938964844","-197.38999938964844"
"1600000","-186.37000274658203","-186.37000274658203","-186.37000274658203"
"1664000","-167.4699993133545","-167.4699993133545","-167.4699993133545"
"1728000","-145.14999961853027","-145.14999961853027","-145.14999961853027"
"1792000","-107.96999931335449","-107.96999931335449","-107.96999931335449"
"1856000","-105.38000106811523","-105.38000106811523","-105.38000106811523"
"1920000","-101.90999984741211","-101.90999984741211","-101.90999984741211"
"1984000","-69.10000133514404","-69.10000133514404","-69.10000133514404"
"2048000","-71.38999938964844","-71.38999938964844","-71.38999938964844"
