"Step","coin4_cbam_causal - SW_ep_rew_total","coin4_cbam_causal - SW_ep_rew_total__MIN","coin4_cbam_causal - SW_ep_rew_total__MAX"
"64000","-5.400000154972076","-5.400000154972076","-5.400000154972076"
"128000","-7.79999996162951","-7.79999996162951","-7.79999996162951"
"192000","-4.1600000858306885","-4.1600000858306885","-4.1600000858306885"
"256000","-6.160000324249268","-6.160000324249268","-6.160000324249268"
"320000","-4.300000265240669","-4.300000265240669","-4.300000265240669"
"384000","-3.8599999845027924","-3.8599999845027924","-3.8599999845027924"
"448000","-4.859999775886536","-4.859999775886536","-4.859999775886536"
"512000","-4.419999718666077","-4.419999718666077","-4.419999718666077"
"576000","-4.6199997663497925","-4.6199997663497925","-4.6199997663497925"
"640000","-3.1399996280670166","-3.1399996280670166","-3.1399996280670166"
"704000","-2.2900001108646393","-2.2900001108646393","-2.2900001108646393"
"768000","-1.980000376701355","-1.980000376701355","-1.980000376701355"
"832000","-1.8200000524520874","-1.8200000524520874","-1.8200000524520874"
"896000","-2.500000238418579","-2.500000238418579","-2.500000238418579"
"960000","-0.7799999117851257","-0.7799999117851257","-0.7799999117851257"
"1024000","0.060000061988830566","0.060000061988830566","0.060000061988830566"
"1088000","1.9199999570846558","1.9199999570846558","1.9199999570846558"
"1152000","-1.119999647140503","-1.119999647140503","-1.119999647140503"
"1216000","3.7200000286102295","3.7200000286102295","3.7200000286102295"
"1280000","0.9600000381469727","0.9600000381469727","0.9600000381469727"
"1344000","1.2200002670288086","1.2200002670288086","1.2200002670288086"
"1408000","0.9800001382827759","0.9800001382827759","0.9800001382827759"
"1472000","3.790000021457672","3.790000021457672","3.790000021457672"
"1536000","3.269999921321869","3.269999921321869","3.269999921321869"
"1600000","5.019999742507935","5.019999742507935","5.019999742507935"
"1664000","6.699999690055847","6.699999690055847","6.699999690055847"
"1728000","5.439999938011169","5.439999938011169","5.439999938011169"
"1792000","5.10999983549118","5.10999983549118","5.10999983549118"
"1856000","7.6199997663497925","7.6199997663497925","7.6199997663497925"
"1920000","4.530000030994415","4.530000030994415","4.530000030994415"
"1984000","6.449999928474426","6.449999928474426","6.449999928474426"
"2048000","5.1800000965595245","5.1800000965595245","5.1800000965595245"
"2112000","6.260000139474869","6.260000139474869","6.260000139474869"
"2176000","7.760000109672546","7.760000109672546","7.760000109672546"
"2240000","8.450000047683716","8.450000047683716","8.450000047683716"
"2304000","9.120000064373016","9.120000064373016","9.120000064373016"
"2368000","8.970000147819519","8.970000147819519","8.970000147819519"
"2432000","7.970000088214874","7.970000088214874","7.970000088214874"
"2496000","9.030000060796738","9.030000060796738","9.030000060796738"
"2560000","8.019999921321869","8.019999921321869","8.019999921321869"
"2624000","9.850000023841858","9.850000023841858","9.850000023841858"
"2688000","10.200000047683716","10.200000047683716","10.200000047683716"
"2752000","10.820000104606152","10.820000104606152","10.820000104606152"
"2816000","11.129999697208405","11.129999697208405","11.129999697208405"
"2880000","12.269999921321869","12.269999921321869","12.269999921321869"
"2944000","10.769999861717224","10.769999861717224","10.769999861717224"
"3008000","10.940000146627426","10.940000146627426","10.940000146627426"
"3072000","10.849999904632568","10.849999904632568","10.849999904632568"
"3136000","9.080000042915344","9.080000042915344","9.080000042915344"
"3200000","10.66000010445714","10.66000010445714","10.66000010445714"
"3264000","10.219999939203262","10.219999939203262","10.219999939203262"
"3328000","11.350000381469727","11.350000381469727","11.350000381469727"
"3392000","11.120000064373016","11.120000064373016","11.120000064373016"
"3456000","11.030000060796738","11.030000060796738","11.030000060796738"
"3520000","10.919999711215496","10.919999711215496","10.919999711215496"
"3584000","11.680000193417072","11.680000193417072","11.680000193417072"
"3648000","12.190000057220459","12.190000057220459","12.190000057220459"
"3712000","10.680000275373459","10.680000275373459","10.680000275373459"
"3776000","9.819999992847443","9.819999992847443","9.819999992847443"
"3840000","9.700000258162618","9.700000258162618","9.700000258162618"
"3904000","11.540000133216381","11.540000133216381","11.540000133216381"
"3968000","12.06000006198883","12.06000006198883","12.06000006198883"
"4032000","11.519999623298645","11.519999623298645","11.519999623298645"
"4096000","13.340000033378601","13.340000033378601","13.340000033378601"
"4160000","11.039999902248383","11.039999902248383","11.039999902248383"
"4224000","11.899999856948853","11.899999856948853","11.899999856948853"
"4288000","12.639999985694885","12.639999985694885","12.639999985694885"
"4352000","12.660000085830688","12.660000085830688","12.660000085830688"
"4416000","11.839999794960022","11.839999794960022","11.839999794960022"
"4480000","13.420000314712524","13.420000314712524","13.420000314712524"
"4544000","13.139999866485596","13.139999866485596","13.139999866485596"
"4608000","13.930000305175781","13.930000305175781","13.930000305175781"
"4672000","13.100000023841858","13.100000023841858","13.100000023841858"
"4736000","13.000000238418579","13.000000238418579","13.000000238418579"
"4800000","11.580000072717667","11.580000072717667","11.580000072717667"
"4864000","12.879999935626984","12.879999935626984","12.879999935626984"
"4928000","13.070000171661377","13.070000171661377","13.070000171661377"
"4992000","12.539999961853027","12.539999961853027","12.539999961853027"
"5056000","14.399999976158142","14.399999976158142","14.399999976158142"
"5120000","14.160000085830688","14.160000085830688","14.160000085830688"
"5184000","13.100000143051147","13.100000143051147","13.100000143051147"
"5248000","14.459999799728394","14.459999799728394","14.459999799728394"
"5312000","14.079999923706055","14.079999923706055","14.079999923706055"
"5376000","14.300000190734863","14.300000190734863","14.300000190734863"
"5440000","13.040000200271606","13.040000200271606","13.040000200271606"
"5504000","13.640000343322754","13.640000343322754","13.640000343322754"
"5568000","15.119999647140503","15.119999647140503","15.119999647140503"
"5632000","14.579999685287476","14.579999685287476","14.579999685287476"
"5696000","13.659999966621399","13.659999966621399","13.659999966621399"
"5760000","14.119999647140503","14.119999647140503","14.119999647140503"
"5824000","14.21999979019165","14.21999979019165","14.21999979019165"
"5888000","13.409999966621399","13.409999966621399","13.409999966621399"
"5952000","14.260000228881836","14.260000228881836","14.260000228881836"
"6016000","13.600000143051147","13.600000143051147","13.600000143051147"
"6080000","14.859999895095825","14.859999895095825","14.859999895095825"
"6144000","14.750000238418579","14.750000238418579","14.750000238418579"
"6208000","13.940000057220459","13.940000057220459","13.940000057220459"
"6272000","15.180000066757202","15.180000066757202","15.180000066757202"
"6336000","13.860000133514404","13.860000133514404","13.860000133514404"
"6400000","14.379999876022339","14.379999876022339","14.379999876022339"
"6464000","14.599999904632568","14.599999904632568","14.599999904632568"
"6528000","15.680000305175781","15.680000305175781","15.680000305175781"
"6592000","14.539999961853027","14.539999961853027","14.539999961853027"
"6656000","12.919999837875366","12.919999837875366","12.919999837875366"
"6720000","16.079999923706055","16.079999923706055","16.079999923706055"
"6784000","13.819999933242798","13.819999933242798","13.819999933242798"
"6848000","14.579999804496765","14.579999804496765","14.579999804496765"
"6912000","14.540000200271606","14.540000200271606","14.540000200271606"
"6976000","14.980000257492065","14.980000257492065","14.980000257492065"
"7040000","14.119999766349792","14.119999766349792","14.119999766349792"
"7104000","13.079999968409538","13.079999968409538","13.079999968409538"
"7168000","12.699999809265137","12.699999809265137","12.699999809265137"
"7232000","12.27999997138977","12.27999997138977","12.27999997138977"
"7296000","10.339999675750732","10.339999675750732","10.339999675750732"
"7360000","12.34000015258789","12.34000015258789","12.34000015258789"
"7424000","11.099999904632568","11.099999904632568","11.099999904632568"
"7488000","13.419999957084656","13.419999957084656","13.419999957084656"
"7552000","12.319999694824219","12.319999694824219","12.319999694824219"
"7616000","15.280000388622284","15.280000388622284","15.280000388622284"
"7680000","13.159999936819077","13.159999936819077","13.159999936819077"
"7744000","15.759999871253967","15.759999871253967","15.759999871253967"
"7808000","14.680000007152557","14.680000007152557","14.680000007152557"
"7872000","16.539999961853027","16.539999961853027","16.539999961853027"
"7936000","14.870000064373016","14.870000064373016","14.870000064373016"
"8000000","14.339999914169312","14.339999914169312","14.339999914169312"
"8064000","15.84000015258789","15.84000015258789","15.84000015258789"
"8128000","15.740000128746033","15.740000128746033","15.740000128746033"
"8192000","16.080000162124634","16.080000162124634","16.080000162124634"
"8256000","15.900000095367432","15.900000095367432","15.900000095367432"
"8320000","16.079999923706055","16.079999923706055","16.079999923706055"
"8384000","15.160000085830688","15.160000085830688","15.160000085830688"
"8448000","16.980000257492065","16.980000257492065","16.980000257492065"
"8512000","16.700000047683716","16.700000047683716","16.700000047683716"
"8576000","16.759999752044678","16.759999752044678","16.759999752044678"
"8640000","16.380000114440918","16.380000114440918","16.380000114440918"
"8704000","17.56000018119812","17.56000018119812","17.56000018119812"
"8768000","16.450000524520874","16.450000524520874","16.450000524520874"
"8832000","17.420000076293945","17.420000076293945","17.420000076293945"
"8896000","16.579999923706055","16.579999923706055","16.579999923706055"
"8960000","16.380000352859497","16.380000352859497","16.380000352859497"
"9024000","17.700000286102295","17.700000286102295","17.700000286102295"
"9088000","16.739999771118164","16.739999771118164","16.739999771118164"
"9152000","17.320000171661377","17.320000171661377","17.320000171661377"
"9216000","15.77999997138977","15.77999997138977","15.77999997138977"
"9280000","16.580000162124634","16.580000162124634","16.580000162124634"
"9344000","16.40000009536743","16.40000009536743","16.40000009536743"
"9408000","16.980000257492065","16.980000257492065","16.980000257492065"
"9472000","17.40000009536743","17.40000009536743","17.40000009536743"
"9536000","17.519999861717224","17.519999861717224","17.519999861717224"
"9600000","17.43999993801117","17.43999993801117","17.43999993801117"
"9664000","17.59999990463257","17.59999990463257","17.59999990463257"
"9728000","18.259999752044678","18.259999752044678","18.259999752044678"
"9792000","18.77999997138977","18.77999997138977","18.77999997138977"
"9856000","18.34000015258789","18.34000015258789","18.34000015258789"
"9920000","18.49999988079071","18.49999988079071","18.49999988079071"
"9984000","17.959999799728394","17.959999799728394","17.959999799728394"
"10048000","17.84000015258789","17.84000015258789","17.84000015258789"
"10112000","19.179999589920044","19.179999589920044","19.179999589920044"
"10176000","19.100000023841858","19.100000023841858","19.100000023841858"
"10240000","16.739999890327454","16.739999890327454","16.739999890327454"
"10304000","18.350000381469727","18.350000381469727","18.350000381469727"
"10368000","18.040000438690186","18.040000438690186","18.040000438690186"
"10432000","18.66000008583069","18.66000008583069","18.66000008583069"
"10496000","17.899999856948853","17.899999856948853","17.899999856948853"
"10560000","17.84000015258789","17.84000015258789","17.84000015258789"
"10624000","18.240000128746033","18.240000128746033","18.240000128746033"
"10688000","19.039999842643738","19.039999842643738","19.039999842643738"
"10752000","18.50000011920929","18.50000011920929","18.50000011920929"
"10816000","18.579999923706055","18.579999923706055","18.579999923706055"
"10880000","17.90999972820282","17.90999972820282","17.90999972820282"
"10944000","18.93999981880188","18.93999981880188","18.93999981880188"
"11008000","18.519999980926514","18.519999980926514","18.519999980926514"
"11072000","19.379999458789825","19.379999458789825","19.379999458789825"
"11136000","18.299999713897705","18.299999713897705","18.299999713897705"
"11200000","19.77999973297119","19.77999973297119","19.77999973297119"
"11264000","18.899999499320984","18.899999499320984","18.899999499320984"
"11328000","18.639999628067017","18.639999628067017","18.639999628067017"
"11392000","17.99999988079071","17.99999988079071","17.99999988079071"
"11456000","18.8400000333786","18.8400000333786","18.8400000333786"
"11520000","19.759999632835388","19.759999632835388","19.759999632835388"
"11584000","17.300000190734863","17.300000190734863","17.300000190734863"
"11648000","19.539999902248383","19.539999902248383","19.539999902248383"
"11712000","20.359999775886536","20.359999775886536","20.359999775886536"
"11776000","19.539999961853027","19.539999961853027","19.539999961853027"
"11840000","19.300000071525574","19.300000071525574","19.300000071525574"
"11904000","19.719999969005585","19.719999969005585","19.719999969005585"
"11968000","19.92000037431717","19.92000037431717","19.92000037431717"
"12032000","19.759999990463257","19.759999990463257","19.759999990463257"
"12096000","19.82000023126602","19.82000023126602","19.82000023126602"
"12160000","17.660000026226044","17.660000026226044","17.660000026226044"
"12224000","19.559999763965607","19.559999763965607","19.559999763965607"
"12288000","19.21999979019165","19.21999979019165","19.21999979019165"
"12352000","19.559999883174896","19.559999883174896","19.559999883174896"
"12416000","19.29999989271164","19.29999989271164","19.29999989271164"
"12480000","19.259999752044678","19.259999752044678","19.259999752044678"
"12544000","19.619999885559082","19.619999885559082","19.619999885559082"
"12608000","20.06000006198883","20.06000006198883","20.06000006198883"
"12672000","20.180000334978104","20.180000334978104","20.180000334978104"
"12736000","20.159999936819077","20.159999936819077","20.159999936819077"
"12800000","20.15999984741211","20.15999984741211","20.15999984741211"
"12864000","19.980000019073486","19.980000019073486","19.980000019073486"
"12928000","19.459999918937683","19.459999918937683","19.459999918937683"
"12992000","20.36000019311905","20.36000019311905","20.36000019311905"
"13056000","19.23999983072281","19.23999983072281","19.23999983072281"
"13120000","19.95999974012375","19.95999974012375","19.95999974012375"
"13184000","19.630000293254852","19.630000293254852","19.630000293254852"
"13248000","20.01999995112419","20.01999995112419","20.01999995112419"
"13312000","20.23999935388565","20.23999935388565","20.23999935388565"
"13376000","20.559999763965607","20.559999763965607","20.559999763965607"
"13440000","19.9000004529953","19.9000004529953","19.9000004529953"
"13504000","19.680000334978104","19.680000334978104","19.680000334978104"
"13568000","19.820000261068344","19.820000261068344","19.820000261068344"
"13632000","20.37999999523163","20.37999999523163","20.37999999523163"
"13696000","19.41999989748001","19.41999989748001","19.41999989748001"
"13760000","19.66000008583069","19.66000008583069","19.66000008583069"
"13824000","20.040000081062317","20.040000081062317","20.040000081062317"
"13888000","19.539999961853027","19.539999961853027","19.539999961853027"
"13952000","20.120000183582306","20.120000183582306","20.120000183582306"
"14016000","18.740000158548355","18.740000158548355","18.740000158548355"
"14080000","20.739999994635582","20.739999994635582","20.739999994635582"
"14144000","20.45999988913536","20.45999988913536","20.45999988913536"
"14208000","20.300000071525574","20.300000071525574","20.300000071525574"
"14272000","20.439999878406525","20.439999878406525","20.439999878406525"
"14336000","19.620000183582306","19.620000183582306","19.620000183582306"
"14400000","20.700000196695328","20.700000196695328","20.700000196695328"
"14464000","20.219999998807907","20.219999998807907","20.219999998807907"
"14528000","20.780000135302544","20.780000135302544","20.780000135302544"
"14592000","20.61999946832657","20.61999946832657","20.61999946832657"
"14656000","19.640000134706497","19.640000134706497","19.640000134706497"
"14720000","20.500000223517418","20.500000223517418","20.500000223517418"
"14784000","20.720000356435776","20.720000356435776","20.720000356435776"
"14848000","20.37999990582466","20.37999990582466","20.37999990582466"
"14912000","19.36000022292137","19.36000022292137","19.36000022292137"
"14976000","21.24000007659197","21.24000007659197","21.24000007659197"
"15040000","20.839999973773956","20.839999973773956","20.839999973773956"
"15104000","20.06999981403351","20.06999981403351","20.06999981403351"
"15168000","20.64000006020069","20.64000006020069","20.64000006020069"
"15232000","20.860000044107437","20.860000044107437","20.860000044107437"
"15296000","20.59999993443489","20.59999993443489","20.59999993443489"
"15360000","20.9800001680851","20.9800001680851","20.9800001680851"
