Step,coin3_cbamcausal - SW_ep_rew_total,coin3_cbamcausal - SW_ep_rew_total__MIN,coin3_cbamcausal - SW_ep_rew_total__MAX
64000,-2.4183121409847654,-2.2305152970137310,-3.5371572983020991
128000,-0.7160976693652936,-0.6900372423712228,-1.8750642127438082
192000,-5.3517428096961090,-4.0684514581903759,-5.2228568076994941
256000,-4.7973045494007573,-3.5594119847864292,-3.6728605008173658
320000,-4.1622685695443176,-4.3491650786679692,-4.3334355914662162
384000,-3.5545284500918464,-2.2854346602021050,-3.6405110163115317
448000,-3.1838359551177491,-4.3817817064720908,-3.0828574246086546
512000,-1.9113670961005049,-1.9317224804122524,-0.8926707642275469
576000,-4.5005727172721786,-4.4741304700479265,-3.1891685034901940
640000,-1.7247696530366139,-2.8553335515221008,-2.8243195395356189
704000,-2.7581292923061635,-2.7440198823393747,-3.9688970562472723
768000,-2.0837205540777015,-2.0955705191243568,-3.3097667829212538
832000,-3.3516271137323903,-3.2591111567569162,-3.2873159418111291
896000,-3.7416526356507318,-3.8971008162143055,-3.7856756810099235
960000,-1.6037062814264327,-1.4647833883381201,-2.7724862983707359
1024000,-2.0849895953489419,-2.1873241847248299,-2.2105564794626558
1088000,-4.3267045705455036,-4.2235370073181349,-2.9883831001608003
1152000,-3.5455788008370455,-3.4692484531605796,-4.6764909790249902
1216000,-3.3255344637709485,-3.2502765812137273,-4.5689858120127376
1280000,-2.8615939025256614,-2.7086409152477118,-2.7235546225356511
1344000,-2.3039679641155129,-3.4545920681002276,-2.3183390072772383
1408000,-3.7345992869954627,-3.7356041983378843,-3.6117066239412292
1472000,-2.5387108961722280,-1.3646484142858255,-1.4232795069424375
1536000,-3.2214963733493485,-3.2413729472798813,-3.1524463799832851
1600000,-0.9895364857305393,-1.1268111305798520,-1.1682427616868618
1664000,-2.4857767018442809,-3.7409938934184641,-3.5756353987458627
1728000,-1.7145115573326892,-3.0909379813204341,-1.8543881958486883
1792000,-0.7962913131995757,-2.1116651101563884,-0.9501871239645756
1856000,-0.4184788003690405,-1.6799044242055168,-1.5608504081883305
