Step,lbf15_cbamcausal - 0/regret,lbf15_cbamcausal - 0/regret__MIN,lbf15_cbamcausal - 0/regret__MAX
-58.0,4.4407872034929730,4.3656806939338031,4.9546741729611412
-122.0,6.1068609008570389,6.5764859004025213,6.5714285294421302
-186.0,6.6138385918168563,6.6140623852533231,6.3553035372986386
-250.0,6.8100022525267461,6.2651826699578095,6.7413999695187066
-314.0,6.1182533354896576,5.9655816893900875,6.6701618665808216
-378.0,5.7889532001249089,6.2214256748497982,6.3310219025990255
-442.0,6.7971983317918694,6.7623057590503404,6.3191814562176569
-506.0,6.2977748205694546,6.3034522928985126,6.2596172947421973
-570.0,6.7826574894742810,6.7824921476208413,6.1589189493499186
-634.0,5.3213096945953104,5.3197831644409135,5.3222289436356007
-698.0,5.5301509122795078,5.5336488286566956,6.1109219013798270
-762.0,5.5618341258727773,5.5619258318383267,5.5488517496940126
-826.0,6.0661177333319465,5.9132912669772173,5.1736650780902087
-890.0,4.8766712900357501,4.9981652846202591,5.3220665396851139
-954.0,5.8625636913904815,5.0197694945421345,5.8703863833619305
-1018.0,4.9270141759839374,4.8751576897973168,4.8557183774476114
-1082.0,4.5066439468012529,4.7997370054245492,4.7705033627201248
-1146.0,4.8118420400736230,5.1801427657453205,4.7928355690039570
-1210.0,4.3340297106924384,4.3358763468913031,4.3921149691640169
-1274.0,4.6915341117181200,5.2279527768066165,5.3404456380194327
-1338.0,4.1841485055257550,4.5124485480531176,4.1827016463517621
-1402.0,3.6723810247455133,4.3845677497035673,4.4033582363043413
-1466.0,3.7614367943218250,3.7801878802621180,3.7932385044646395
-1530.0,5.0627742156896334,5.3239463202143193,4.5926836829941395
-1594.0,4.2636654880075895,4.7465887621050653,4.6793565341030323
-1658.0,3.8052062826901363,3.7959297739948195,3.7803578825818924
-1722.0,4.3680544220895516,3.6704487846526455,3.7506850907490210
-1786.0,4.3876625469151902,4.8226235343244461,4.3643501103892710
-1850.0,3.8555794863535988,4.3619028764404399,4.3519189429539145
-1914.0,2.6346901787541941,3.4172877703640641,2.5841562738878361
-1978.0,4.1264738949754367,4.1451701221398434,4.5539322006791139
-2042.0,4.4026188890011788,4.5150088605077174,4.6454517383983402
-2106.0,3.2443923486963486,3.2433450054618929,2.5577733872097692
-2170.0,4.5530600635755283,4.0839621643304707,4.0795788826953103
-2234.0,4.2476402639814390,3.5948494019714650,3.5108148981049290
-2298.0,3.1479220923304703,3.1981332842023149,3.1540310653860462
-2362.0,3.2441206866443446,3.2234441126687101,3.8740415050538890
-2426.0,3.0024222690841897,3.7906419427758857,3.0904046971509840
-2490.0,3.0593976517768420,3.4845766036409227,3.4814740855300674
-2554.0,2.9431038943151666,2.6130837926064849,2.9960897230909205
-2618.0,3.1917466416444431,2.8132004180068253,2.8128314324399115
-2682.0,3.0379418568052992,3.4136660319892425,3.0437503118204408
-2746.0,2.3844896290702753,2.4893404865333673,3.1516752596362263
-2810.0,3.2469807120063159,3.3200525285452542,2.7609238386777073
-2874.0,2.8607344788317679,2.8675857406593388,2.8978851830663008
-2938.0,2.6623231023316531,3.2141088021429494,3.2333898621496298
-3002.0,3.1520002739840343,2.8437356848810289,2.8076963051560777
-3066.0,2.9791518121912421,3.0259531910378361,3.0467224727515942
-3130.0,2.8275002126263158,2.0292044839754806,2.7049161466653042
-3194.0,2.6735084104415003,3.3360479544468951,2.8283069901090081
-3258.0,2.4341809468935995,3.0037817397333795,2.4668892052805393
-3322.0,2.1713892427136785,2.0640527817944387,2.9242353757566026
-3386.0,2.8796637316009357,2.8765718662890998,3.2412085169691669
-3450.0,2.4939711323791904,2.5117722033087486,3.2983355300052430
-3514.0,2.0045669697398361,2.0024433625718436,2.5863513745541096
-3578.0,2.6679545882372722,2.5693682693886188,2.5767380100522170
-3642.0,2.8315903243218727,2.1239823510781770,2.0617145918888569
-3706.0,2.6693158512484030,2.6387310001487330,2.6791961757341713
-3770.0,1.7749072912062414,2.4653797777149289,1.9249162923345662
-3834.0,2.6990623747514930,2.7344554798116998,2.7631208370698008
-3898.0,2.6398600285673814,2.7469698077141289,1.8616363976855947
-3962.0,1.9252276662691876,1.9296044846883760,2.5609699220095541
-4026.0,2.1065884772080707,2.1424875978813214,2.1025075504692339
-4090.0,2.1516527626997379,1.4497121262605561,2.2357258546356826
-4154.0,2.4280063015322568,2.8038246081541431,2.8536124365595348
-4218.0,1.6410634830652282,2.4193978450158951,2.3717833915400739
-4282.0,2.4384276966993661,2.4681109986815031,2.4681645370302818
-4346.0,2.4520703911086654,1.8779232820903737,2.3610969959664656
-4410.0,2.2666576025436593,1.8791609737322097,2.2814413959536513
-4474.0,2.3318934882534279,1.7521624906777122,2.2425644961715969
-4538.0,1.8512013774439178,2.4110375019605943,1.8780284122382827
-4602.0,2.2301858665677665,2.2223877902292344,1.9681155103641461
-4666.0,1.8336029477740075,2.6256203880535480,2.5788194635373634
-4730.0,1.3549573519123808,1.3895381547543662,1.4164558045155142
-4794.0,1.5936290672355518,2.2834583311127274,2.3761456634614033
-4858.0,2.2739463998758409,2.2770133752027530,2.2756892061393268
-4922.0,2.9388177031522327,3.4584379470842976,3.4336934121172433
-4986.0,2.4129238517039457,1.9630115420114049,2.5042072925811438
-5050.0,2.5087382866132972,2.4658014723637871,3.1325358383900888
-5114.0,2.9590535282660495,2.8960596606557023,3.1844874699819710
-5178.0,2.9972232813415962,3.0522435016200191,2.6643796840640483
-5242.0,2.7682662000675777,2.5365944264973348,2.7680068884034443
