"Step","coin4_cbamcausal - SW_ep_rew_total","coin4_cbamcausal - SW_ep_rew_total__MIN","coin4_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4.459999918937683","-4.459999918937683","-4.459999918937683"
"128000","-3.840000092983246","-3.840000092983246","-3.840000092983246"
"192000","-3.28000009059906","-3.28000009059906","-3.28000009059906"
"256000","-1.9599998593330383","-1.9599998593330383","-1.9599998593330383"
"320000","-5.500000178813934","-5.500000178813934","-5.500000178813934"
"384000","-4.759999990463257","-4.759999990463257","-4.759999990463257"
"448000","-2.5000001192092896","-2.5000001192092896","-2.5000001192092896"
"512000","-3.819999575614929","-3.819999575614929","-3.819999575614929"
"576000","-3.3000000715255737","-3.3000000715255737","-3.3000000715255737"
"640000","-2.7799999713897705","-2.7799999713897705","-2.7799999713897705"
"704000","-3.1800003051757812","-3.1800003051757812","-3.1800003051757812"
"768000","-4.080000162124634","-4.080000162124634","-4.080000162124634"
"832000","-1.959999918937683","-1.959999918937683","-1.959999918937683"
"896000","-2.700000047683716","-2.700000047683716","-2.700000047683716"
"960000","-5.0400000512599945","-5.0400000512599945","-5.0400000512599945"
"1024000","-2.500000476837158","-2.500000476837158","-2.500000476837158"
"1088000","-3.1800001859664917","-3.1800001859664917","-3.1800001859664917"
"1152000","-3.140000104904175","-3.140000104904175","-3.140000104904175"
"1216000","-0.6200001239776611","-0.6200001239776611","-0.6200001239776611"
"1280000","-1.8199996948242188","-1.8199996948242188","-1.8199996948242188"
"1344000","0.8600001335144043","0.8600001335144043","0.8600001335144043"
"1408000","-0.09999990463256836","-0.09999990463256836","-0.09999990463256836"
"1472000","0.06000018119812012","0.06000018119812012","0.06000018119812012"
"1536000","1.7599997520446777","1.7599997520446777","1.7599997520446777"
"1600000","3.260000228881836","3.260000228881836","3.260000228881836"
"1664000","2.6799997091293335","2.6799997091293335","2.6799997091293335"
"1728000","4.279999643564224","4.279999643564224","4.279999643564224"
"1792000","3.9599998891353607","3.9599998891353607","3.9599998891353607"
"1856000","5.239999771118164","5.239999771118164","5.239999771118164"
"1920000","3.8199999518692493","3.8199999518692493","3.8199999518692493"
"1984000","6.520000100135803","6.520000100135803","6.520000100135803"
"2048000","4.8600000739097595","4.8600000739097595","4.8600000739097595"
