"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"64000","-4032.953125","-4032.953125","-4032.953125"
"128000","-3253.8500061035156","-3253.8500061035156","-3253.8500061035156"
"192000","-2539.179931640625","-2539.179931640625","-2539.179931640625"
"256000","-2093.730010986328","-2093.730010986328","-2093.730010986328"
"320000","-1606.5400085449219","-1606.5400085449219","-1606.5400085449219"
"384000","-1179.990005493164","-1179.990005493164","-1179.990005493164"
"448000","-915.5099945068359","-915.5099945068359","-915.5099945068359"
"512000","-670.8699951171875","-670.8699951171875","-670.8699951171875"
"576000","-416.3800048828125","-416.3800048828125","-416.3800048828125"
"640000","-245.02999877929688","-245.02999877929688","-245.02999877929688"
"704000","-104.1899995803833","-104.1899995803833","-104.1899995803833"
"768000","-0.7300000190734863","-0.7300000190734863","-0.7300000190734863"
"832000","83.3800014257431","83.3800014257431","83.3800014257431"
"896000","68.77999973297119","68.77999973297119","68.77999973297119"
"960000","9.660001158714294","9.660001158714294","9.660001158714294"
"1024000","40.14999896287918","40.14999896287918","40.14999896287918"
"1088000","85.2000002861023","85.2000002861023","85.2000002861023"
"1152000","179.27000045776367","179.27000045776367","179.27000045776367"
"1216000","216.36000061035156","216.36000061035156","216.36000061035156"
"1280000","255.9199981689453","255.9199981689453","255.9199981689453"
"1344000","322.3899955749512","322.3899955749512","322.3899955749512"
"1408000","354.9199981689453","354.9199981689453","354.9199981689453"
"1472000","390.98999786376953","390.98999786376953","390.98999786376953"
"1536000","408.7200012207031","408.7200012207031","408.7200012207031"
"1600000","423.42000579833984","423.42000579833984","423.42000579833984"
"1664000","427.0299987792969","427.0299987792969","427.0299987792969"
"1728000","421.25999450683594","421.25999450683594","421.25999450683594"
"1792000","438.76000213623047","438.76000213623047","438.76000213623047"
"1856000","459.30999755859375","459.30999755859375","459.30999755859375"
"1920000","487.12999725341797","487.12999725341797","487.12999725341797"
"1984000","490.42000579833984","490.42000579833984","490.42000579833984"
"2048000","499.36000061035156","499.36000061035156","499.36000061035156"
"2112000","498.8800048828125","498.8800048828125","498.8800048828125"
"2176000","504.22999572753906","504.22999572753906","504.22999572753906"
"2240000","501.7200012207031","501.7200012207031","501.7200012207031"
"2304000","518.8300018310547","518.8300018310547","518.8300018310547"
"2368000","517.75","517.75","517.75"
"2432000","523.7800064086914","523.7800064086914","523.7800064086914"
"2496000","551.3800048828125","551.3800048828125","551.3800048828125"
"2560000","564.0500030517578","564.0500030517578","564.0500030517578"
"2624000","570.9200057983398","570.9200057983398","570.9200057983398"
