"Step","coin5_cbamsvo - SW_ep_rew_total","coin5_cbamsvo - SW_ep_rew_total__MIN","coin5_cbamsvo - SW_ep_rew_total__MAX"
"3264000","-18.34000062942505","-18.34000062942505","-18.34000062942505"
"3328000","-17.440000534057617","-17.440000534057617","-17.440000534057617"
"3392000","-18","-18","-18"
"3456000","-17.31999945640564","-17.31999945640564","-17.31999945640564"
"3520000","-17","-17","-17"
"3584000","-17.77999973297119","-17.77999973297119","-17.77999973297119"
"3648000","-17.820000171661377","-17.820000171661377","-17.820000171661377"
"3712000","-18.27999973297119","-18.27999973297119","-18.27999973297119"
"3776000","-17.65999984741211","-17.65999984741211","-17.65999984741211"
"3840000","-17.75999927520752","-17.75999927520752","-17.75999927520752"
"3904000","-18.6200008392334","-18.6200008392334","-18.6200008392334"
"3968000","-17.5","-17.5","-17.5"
"4032000","-17.880000114440918","-17.880000114440918","-17.880000114440918"
"4096000","-17.999999523162842","-17.999999523162842","-17.999999523162842"
"4160000","-17.78000020980835","-17.78000020980835","-17.78000020980835"
"4224000","-17.59999990463257","-17.59999990463257","-17.59999990463257"
"4288000","-18.55999994277954","-18.55999994277954","-18.55999994277954"
"4352000","-18.28000020980835","-18.28000020980835","-18.28000020980835"
"4416000","-17.97999906539917","-17.97999906539917","-17.97999906539917"
"4480000","-18.199999809265137","-18.199999809265137","-18.199999809265137"
"4544000","-17.800000190734863","-17.800000190734863","-17.800000190734863"
"4608000","-17.360000133514404","-17.360000133514404","-17.360000133514404"
"4672000","-18.4399995803833","-18.4399995803833","-18.4399995803833"
"4736000","-18.440000534057617","-18.440000534057617","-18.440000534057617"
"4800000","-18.380000114440918","-18.380000114440918","-18.380000114440918"
"4864000","-17.71999979019165","-17.71999979019165","-17.71999979019165"
"4928000","-17.380000114440918","-17.380000114440918","-17.380000114440918"
"4992000","-18.55999994277954","-18.55999994277954","-18.55999994277954"
"5056000","-18.320000171661377","-18.320000171661377","-18.320000171661377"
"5120000","-17.239999294281006","-17.239999294281006","-17.239999294281006"
"5184000","-18.1200008392334","-18.1200008392334","-18.1200008392334"
"5248000","-16.90000009536743","-16.90000009536743","-16.90000009536743"
"5312000","-18.360000133514404","-18.360000133514404","-18.360000133514404"
"5376000","-17.480000019073486","-17.480000019073486","-17.480000019073486"
"5440000","-18.759999752044678","-18.759999752044678","-18.759999752044678"
"5504000","-18.27999973297119","-18.27999973297119","-18.27999973297119"
"5568000","-18.699999809265137","-18.699999809265137","-18.699999809265137"
"5632000","-18.37999963760376","-18.37999963760376","-18.37999963760376"
"5696000","-17.81999921798706","-17.81999921798706","-17.81999921798706"
"5760000","-17.859999179840088","-17.859999179840088","-17.859999179840088"
"5824000","-19.05999994277954","-19.05999994277954","-19.05999994277954"
"5888000","-17.420000553131104","-17.420000553131104","-17.420000553131104"
"5952000","-18.46000051498413","-18.46000051498413","-18.46000051498413"
"6016000","-17.760000228881836","-17.760000228881836","-17.760000228881836"
"6080000","-18.360000133514404","-18.360000133514404","-18.360000133514404"
"6144000","-18.480000019073486","-18.480000019073486","-18.480000019073486"
"6208000","-17.75999927520752","-17.75999927520752","-17.75999927520752"
"6272000","-18.55999994277954","-18.55999994277954","-18.55999994277954"
"6336000","-18.139999389648438","-18.139999389648438","-18.139999389648438"
"6400000","-17.74000072479248","-17.74000072479248","-17.74000072479248"
"6464000","-17.40000009536743","-17.40000009536743","-17.40000009536743"
"6528000","-18.200000286102295","-18.200000286102295","-18.200000286102295"
"6592000","-18.100000381469727","-18.100000381469727","-18.100000381469727"
"6656000","-18.240000247955322","-18.240000247955322","-18.240000247955322"
"6720000","-18.039999961853027","-18.039999961853027","-18.039999961853027"
"6784000","-17.27999997138977","-17.27999997138977","-17.27999997138977"
"6848000","-17.799999713897705","-17.799999713897705","-17.799999713897705"
"6912000","-17.78000044822693","-17.78000044822693","-17.78000044822693"
"6976000","-18.540000438690186","-18.540000438690186","-18.540000438690186"
"7040000","-17.359999656677246","-17.359999656677246","-17.359999656677246"
"7104000","-18.260000228881836","-18.260000228881836","-18.260000228881836"
"7168000","-18.660000324249268","-18.660000324249268","-18.660000324249268"
"7232000","-18.27999973297119","-18.27999973297119","-18.27999973297119"
"7296000","-18.199999809265137","-18.199999809265137","-18.199999809265137"
"7360000","-17.759999752044678","-17.759999752044678","-17.759999752044678"
"7424000","-18.09999942779541","-18.09999942779541","-18.09999942779541"
"7488000","-17.660000324249268","-17.660000324249268","-17.660000324249268"
"7552000","-17.96000051498413","-17.96000051498413","-17.96000051498413"
"7616000","-18.499999523162842","-18.499999523162842","-18.499999523162842"
"7680000","-18.019999980926514","-18.019999980926514","-18.019999980926514"
"7744000","-18.719999313354492","-18.719999313354492","-18.719999313354492"
"7808000","-18.219999313354492","-18.219999313354492","-18.219999313354492"
"7872000","-17.43999981880188","-17.43999981880188","-17.43999981880188"
"7936000","-17.640000343322754","-17.640000343322754","-17.640000343322754"
"8000000","-18.760000228881836","-18.760000228881836","-18.760000228881836"
"8064000","-18.259999752044678","-18.259999752044678","-18.259999752044678"
"8128000","-18.640000343322754","-18.640000343322754","-18.640000343322754"
"8192000","-17.360000133514404","-17.360000133514404","-17.360000133514404"
"8256000","-18.139999389648438","-18.139999389648438","-18.139999389648438"
"8320000","-18.31999921798706","-18.31999921798706","-18.31999921798706"
"8384000","-17.780000686645508","-17.780000686645508","-17.780000686645508"
"8448000","-18.15999937057495","-18.15999937057495","-18.15999937057495"
"8512000","-18.020000457763672","-18.020000457763672","-18.020000457763672"
"8576000","-17.900001049041748","-17.900001049041748","-17.900001049041748"
"8640000","-17.980000495910645","-17.980000495910645","-17.980000495910645"
"8704000","-17.59999942779541","-17.59999942779541","-17.59999942779541"
"8768000","-18.5","-18.5","-18.5"
"8832000","-17.78000020980835","-17.78000020980835","-17.78000020980835"
"8896000","-17.359999656677246","-17.359999656677246","-17.359999656677246"
"8960000","-17.899999618530273","-17.899999618530273","-17.899999618530273"
"9024000","-17.5","-17.5","-17.5"
"9088000","-18.079999923706055","-18.079999923706055","-18.079999923706055"
"9152000","-17.31999969482422","-17.31999969482422","-17.31999969482422"
"9216000","-16.94000005722046","-16.94000005722046","-16.94000005722046"
"9280000","-17.880000114440918","-17.880000114440918","-17.880000114440918"
"9344000","-17.820000171661377","-17.820000171661377","-17.820000171661377"
"9408000","-17.740000247955322","-17.740000247955322","-17.740000247955322"
"9472000","-17.299999713897705","-17.299999713897705","-17.299999713897705"
"9536000","-17.179999828338623","-17.179999828338623","-17.179999828338623"
"9600000","-17.87999963760376","-17.87999963760376","-17.87999963760376"
"9664000","-17.860000133514404","-17.860000133514404","-17.860000133514404"
"9728000","-18.519999504089355","-18.519999504089355","-18.519999504089355"
"9792000","-17.80000066757202","-17.80000066757202","-17.80000066757202"
"9856000","-17.239999771118164","-17.239999771118164","-17.239999771118164"
"9920000","-17.480000257492065","-17.480000257492065","-17.480000257492065"
"9984000","-18.68000030517578","-18.68000030517578","-18.68000030517578"
"10048000","-18.77999973297119","-18.77999973297119","-18.77999973297119"
