"Step","harvest_original_cbam_baseline - SW_ep_rew_total","harvest_original_cbam_baseline - SW_ep_rew_total__MIN","harvest_original_cbam_baseline - SW_ep_rew_total__MAX"
"64000","-3759.390625","-3759.390625","-3759.390625"
"128000","-3732.3699951171875","-3732.3699951171875","-3732.3699951171875"
"192000","-3337.7000122070312","-3337.7000122070312","-3337.7000122070312"
"256000","-3212.8300170898438","-3212.8300170898438","-3212.8300170898438"
"320000","-2924.1900024414062","-2924.1900024414062","-2924.1900024414062"
"384000","-2380.259979248047","-2380.259979248047","-2380.259979248047"
"448000","-2297.3199768066406","-2297.3199768066406","-2297.3199768066406"
"512000","-2601.8700256347656","-2601.8700256347656","-2601.8700256347656"
"576000","-2808.6599731445312","-2808.6599731445312","-2808.6599731445312"
"640000","-2893","-2893","-2893"
"704000","-2414.290008544922","-2414.290008544922","-2414.290008544922"
"768000","-1970.1799926757812","-1970.1799926757812","-1970.1799926757812"
"832000","-1916.6199951171875","-1916.6199951171875","-1916.6199951171875"
"896000","-2135.490020751953","-2135.490020751953","-2135.490020751953"
"960000","-2291.4400024414062","-2291.4400024414062","-2291.4400024414062"
"1024000","-2318.019989013672","-2318.019989013672","-2318.019989013672"
"1088000","-2376.260009765625","-2376.260009765625","-2376.260009765625"
"1152000","-2201.0899963378906","-2201.0899963378906","-2201.0899963378906"
"1216000","-1967.1799926757812","-1967.1799926757812","-1967.1799926757812"
"1280000","-2015.1499938964844","-2015.1499938964844","-2015.1499938964844"
"1344000","-1785.8899841308594","-1785.8899841308594","-1785.8899841308594"
"1408000","-1451.739990234375","-1451.739990234375","-1451.739990234375"
"1472000","-1321.0499877929688","-1321.0499877929688","-1321.0499877929688"
"1536000","-1409.1100158691406","-1409.1100158691406","-1409.1100158691406"
"1600000","-1380.4199829101562","-1380.4199829101562","-1380.4199829101562"
"1664000","-1292.3900146484375","-1292.3900146484375","-1292.3900146484375"
"1728000","-1347.739974975586","-1347.739974975586","-1347.739974975586"
"1792000","-1193.9700164794922","-1193.9700164794922","-1193.9700164794922"
"1856000","-1092.5399932861328","-1092.5399932861328","-1092.5399932861328"
"1920000","-1106.030014038086","-1106.030014038086","-1106.030014038086"
"1984000","-1101.25","-1101.25","-1101.25"
"2048000","-1099.8900146484375","-1099.8900146484375","-1099.8900146484375"
"2112000","-1113.4000091552734","-1113.4000091552734","-1113.4000091552734"
"2176000","-1038.0400085449219","-1038.0400085449219","-1038.0400085449219"
"2240000","-1061.6900024414062","-1061.6900024414062","-1061.6900024414062"
"2304000","-982.6499938964844","-982.6499938964844","-982.6499938964844"
"2368000","-873.6999969482422","-873.6999969482422","-873.6999969482422"
"2432000","-774.2799911499023","-774.2799911499023","-774.2799911499023"
"2496000","-776.0899963378906","-776.0899963378906","-776.0899963378906"
"2560000","-728.2100067138672","-728.2100067138672","-728.2100067138672"
"2624000","-615.3500061035156","-615.3500061035156","-615.3500061035156"
"2688000","-524.1699905395508","-524.1699905395508","-524.1699905395508"
"2752000","-439.5300064086914","-439.5300064086914","-439.5300064086914"
"2816000","-362.96999740600586","-362.96999740600586","-362.96999740600586"
"2880000","-318.00999450683594","-318.00999450683594","-318.00999450683594"
"2944000","-281.3000030517578","-281.3000030517578","-281.3000030517578"
"3008000","-252.02000427246094","-252.02000427246094","-252.02000427246094"
"3072000","-222.45999908447266","-222.45999908447266","-222.45999908447266"
"3136000","-236.54999923706055","-236.54999923706055","-236.54999923706055"
"3200000","-246.44000244140625","-246.44000244140625","-246.44000244140625"
"3264000","-226.59000396728516","-226.59000396728516","-226.59000396728516"
"3328000","-263.1500015258789","-263.1500015258789","-263.1500015258789"
"3392000","-254.18999862670898","-254.18999862670898","-254.18999862670898"
"3456000","-196.8700008392334","-196.8700008392334","-196.8700008392334"
"3520000","-160.06999683380127","-160.06999683380127","-160.06999683380127"
"3584000","-172.52999877929688","-172.52999877929688","-172.52999877929688"
"3648000","-148.44999980926514","-148.44999980926514","-148.44999980926514"
"3712000","-129.38000202178955","-129.38000202178955","-129.38000202178955"
"3776000","-133.44999980926514","-133.44999980926514","-133.44999980926514"
"3840000","-154.66000175476074","-154.66000175476074","-154.66000175476074"
"3904000","-192.77999687194824","-192.77999687194824","-192.77999687194824"
"3968000","-211.19999885559082","-211.19999885559082","-211.19999885559082"
"4032000","-194.07999897003174","-194.07999897003174","-194.07999897003174"
"4096000","-267.7799987792969","-267.7799987792969","-267.7799987792969"
"4160000","-177.28000259399414","-177.28000259399414","-177.28000259399414"
"4224000","-169.30000114440918","-169.30000114440918","-169.30000114440918"
"4288000","-226.89000129699707","-226.89000129699707","-226.89000129699707"
"4352000","-267.0699996948242","-267.0699996948242","-267.0699996948242"
"4416000","-310.67000579833984","-310.67000579833984","-310.67000579833984"
"4480000","-218.38999462127686","-218.38999462127686","-218.38999462127686"
"4544000","-246.35000038146973","-246.35000038146973","-246.35000038146973"
"4608000","-192.55000114440918","-192.55000114440918","-192.55000114440918"
"4672000","-205.13999938964844","-205.13999938964844","-205.13999938964844"
"4736000","-213.67000007629395","-213.67000007629395","-213.67000007629395"
"4800000","-251.52000617980957","-251.52000617980957","-251.52000617980957"
"4864000","-210.60000038146973","-210.60000038146973","-210.60000038146973"
"4928000","-178.5699977874756","-178.5699977874756","-178.5699977874756"
"4992000","-128.82999849319458","-128.82999849319458","-128.82999849319458"
"5056000","-165.98000144958496","-165.98000144958496","-165.98000144958496"
"5120000","-105.40999794006348","-105.40999794006348","-105.40999794006348"
"5184000","-111.80000257492065","-111.80000257492065","-111.80000257492065"
"5248000","-141.15999794006348","-141.15999794006348","-141.15999794006348"
"5312000","-115.55999970436096","-115.55999970436096","-115.55999970436096"
"5376000","-155.33999729156494","-155.33999729156494","-155.33999729156494"
"5440000","-178.3499994277954","-178.3499994277954","-178.3499994277954"
"5504000","-85.77999877929688","-85.77999877929688","-85.77999877929688"
"5568000","-113.94000148773193","-113.94000148773193","-113.94000148773193"
"5632000","-137.5700023174286","-137.5700023174286","-137.5700023174286"
"5696000","-53.7900013923645","-53.7900013923645","-53.7900013923645"
"5760000","-49.75","-49.75","-49.75"
"5824000","-15.850000739097595","-15.850000739097595","-15.850000739097595"
"5888000","-53.90999794006348","-53.90999794006348","-53.90999794006348"
"5952000","-53.39000129699707","-53.39000129699707","-53.39000129699707"
"6016000","-33.09000039100647","-33.09000039100647","-33.09000039100647"
"6080000","-46.67000189423561","-46.67000189423561","-46.67000189423561"
"6144000","-25.170000553131104","-25.170000553131104","-25.170000553131104"
"6208000","-39.339999198913574","-39.339999198913574","-39.339999198913574"
"6272000","-37.09999966621399","-37.09999966621399","-37.09999966621399"
"6336000","2.4199997782707214","2.4199997782707214","2.4199997782707214"
"6400000","38.900001525878906","38.900001525878906","38.900001525878906"
"6464000","36.439998388290405","36.439998388290405","36.439998388290405"
"6528000","61.28999948501587","61.28999948501587","61.28999948501587"
"6592000","67.53999924659729","67.53999924659729","67.53999924659729"
"6656000","34.05000114440918","34.05000114440918","34.05000114440918"
"6720000","24.56999969482422","24.56999969482422","24.56999969482422"
"6784000","41.32000160217285","41.32000160217285","41.32000160217285"
"6848000","56.01999759674072","56.01999759674072","56.01999759674072"
"6912000","-9.999999046325684","-9.999999046325684","-9.999999046325684"
"6976000","-16.789997100830078","-16.789997100830078","-16.789997100830078"
"7040000","64.48000049591064","64.48000049591064","64.48000049591064"
"7104000","77.03000044822693","77.03000044822693","77.03000044822693"
"7168000","71.0400002002716","71.0400002002716","71.0400002002716"
"7232000","103.81999802589417","103.81999802589417","103.81999802589417"
"7296000","87.71999931335449","87.71999931335449","87.71999931335449"
"7360000","107.91999769210815","107.91999769210815","107.91999769210815"
"7424000","116.79000186920166","116.79000186920166","116.79000186920166"
"7488000","107.20000100135803","107.20000100135803","107.20000100135803"
"7552000","108.90000057220459","108.90000057220459","108.90000057220459"
"7616000","104.80999898910522","104.80999898910522","104.80999898910522"
"7680000","88.99999785423279","88.99999785423279","88.99999785423279"
"7744000","85.94999933242798","85.94999933242798","85.94999933242798"
"7808000","121.60999917984009","121.60999917984009","121.60999917984009"
"7872000","116.18000221252441","116.18000221252441","116.18000221252441"
"7936000","52.74000120162964","52.74000120162964","52.74000120162964"
"8000000","20.17999839782715","20.17999839782715","20.17999839782715"
"8064000","58.65999889373779","58.65999889373779","58.65999889373779"
"8128000","73.70999956130981","73.70999956130981","73.70999956130981"
"8192000","50.74000120162964","50.74000120162964","50.74000120162964"
"8256000","66.28999900817871","66.28999900817871","66.28999900817871"
"8320000","66.46999955177307","66.46999955177307","66.46999955177307"
"8384000","79.60999989509583","79.60999989509583","79.60999989509583"
"8448000","16.79999876022339","16.79999876022339","16.79999876022339"
"8512000","-7.09999942779541","-7.09999942779541","-7.09999942779541"
"8576000","-12.270000457763672","-12.270000457763672","-12.270000457763672"
"8640000","-37.170002937316895","-37.170002937316895","-37.170002937316895"
"8704000","-49.640000343322754","-49.640000343322754","-49.640000343322754"
"8768000","-67.21999955177307","-67.21999955177307","-67.21999955177307"
"8832000","-85.26000046730042","-85.26000046730042","-85.26000046730042"
"8896000","-75.3700011447072","-75.3700011447072","-75.3700011447072"
"8960000","-51.51999807357788","-51.51999807357788","-51.51999807357788"
"9024000","-27.579999923706055","-27.579999923706055","-27.579999923706055"
"9088000","-48.029999017715454","-48.029999017715454","-48.029999017715454"
"9152000","-113.98000192642212","-113.98000192642212","-113.98000192642212"
"9216000","-87.5399985909462","-87.5399985909462","-87.5399985909462"
"9280000","-74.62000036239624","-74.62000036239624","-74.62000036239624"
"9344000","-37.11000084877014","-37.11000084877014","-37.11000084877014"
"9408000","7.379998207092285","7.379998207092285","7.379998207092285"
"9472000","10.130000352859497","10.130000352859497","10.130000352859497"
"9536000","-15.800000190734863","-15.800000190734863","-15.800000190734863"
"9600000","-62.69999980926514","-62.69999980926514","-62.69999980926514"
"9664000","-60.28999900817871","-60.28999900817871","-60.28999900817871"
"9728000","-37.44000029563904","-37.44000029563904","-37.44000029563904"
"9792000","-20.380000591278076","-20.380000591278076","-20.380000591278076"
"9856000","-9.34999942779541","-9.34999942779541","-9.34999942779541"
"9920000","-15.1899995803833","-15.1899995803833","-15.1899995803833"
"9984000","-15.770001411437988","-15.770001411437988","-15.770001411437988"
"10048000","-62.09999942779541","-62.09999942779541","-62.09999942779541"
"10112000","-88.89000225067139","-88.89000225067139","-88.89000225067139"
"10176000","-53.030001640319824","-53.030001640319824","-53.030001640319824"
