"Step","coin5_cbamcausal - SW_ep_rew_total","coin5_cbamcausal - SW_ep_rew_total__MIN","coin5_cbamcausal - SW_ep_rew_total__MAX"
"64000","-10.15999984741211","-10.15999984741211","-10.15999984741211"
"128000","-10.84000015258789","-10.84000015258789","-10.84000015258789"
"192000","-9.65999984741211","-9.65999984741211","-9.65999984741211"
"256000","-11.519999980926514","-11.519999980926514","-11.519999980926514"
"320000","-10.539999961853027","-10.539999961853027","-10.539999961853027"
"384000","-10.399999141693115","-10.399999141693115","-10.399999141693115"
"448000","-9.400000095367432","-9.400000095367432","-9.400000095367432"
"512000","-11.239999771118164","-11.239999771118164","-11.239999771118164"
"576000","-9.460000187158585","-9.460000187158585","-9.460000187158585"
"640000","-10.619999408721924","-10.619999408721924","-10.619999408721924"
"704000","-10.420000076293945","-10.420000076293945","-10.420000076293945"
"768000","-9.480000019073486","-9.480000019073486","-9.480000019073486"
"832000","-10.660000681877136","-10.660000681877136","-10.660000681877136"
"896000","-9.439999222755432","-9.439999222755432","-9.439999222755432"
"960000","-9.219999432563782","-9.219999432563782","-9.219999432563782"
"1024000","-8.840000420808792","-8.840000420808792","-8.840000420808792"
"1088000","-7.860000252723694","-7.860000252723694","-7.860000252723694"
"1152000","-7.080000519752502","-7.080000519752502","-7.080000519752502"
"1216000","-4.719999313354492","-4.719999313354492","-4.719999313354492"
"1280000","-5.479999899864197","-5.479999899864197","-5.479999899864197"
"1344000","-4.399999618530273","-4.399999618530273","-4.399999618530273"
"1408000","-2.559999942779541","-2.559999942779541","-2.559999942779541"
"1472000","-3.7200000286102295","-3.7200000286102295","-3.7200000286102295"
"1536000","-2.9400007724761963","-2.9400007724761963","-2.9400007724761963"
"1600000","-1.6600000858306885","-1.6600000858306885","-1.6600000858306885"
"1664000","-1.7799997329711914","-1.7799997329711914","-1.7799997329711914"
"1728000","-0.9000003337860107","-0.9000003337860107","-0.9000003337860107"
"1792000","-1.1800003051757812","-1.1800003051757812","-1.1800003051757812"
"1856000","-1.119999647140503","-1.119999647140503","-1.119999647140503"
"1920000","-1.4599995613098145","-1.4599995613098145","-1.4599995613098145"
"1984000","-0.5200004577636719","-0.5200004577636719","-0.5200004577636719"
"2048000","-0.6800003051757812","-0.6800003051757812","-0.6800003051757812"
"2112000","-0.7999999523162842","-0.7999999523162842","-0.7999999523162842"
"2176000","-0.619999885559082","-0.619999885559082","-0.619999885559082"
"2240000","-0.6800001859664917","-0.6800001859664917","-0.6800001859664917"
"2304000","-0.5799998044967651","-0.5799998044967651","-0.5799998044967651"
"2368000","-0.16000044345855713","-0.16000044345855713","-0.16000044345855713"
"2432000","-0.9600002765655518","-0.9600002765655518","-0.9600002765655518"
"2496000","0.4800002668052912","0.4800002668052912","0.4800002668052912"
"2560000","0.4799996614456177","0.4799996614456177","0.4799996614456177"
"2624000","-0.399999737739563","-0.399999737739563","-0.399999737739563"
"2688000","0.7000007629394531","0.7000007629394531","0.7000007629394531"
"2752000","-0.48000001907348633","-0.48000001907348633","-0.48000001907348633"
"2816000","-0.4799997806549072","-0.4799997806549072","-0.4799997806549072"
"2880000","-0.38000011444091797","-0.38000011444091797","-0.38000011444091797"
"2944000","-0.23999977111816406","-0.23999977111816406","-0.23999977111816406"
"3008000","-0.3599996566772461","-0.3599996566772461","-0.3599996566772461"
"3072000","-0.11999940872192383","-0.11999940872192383","-0.11999940872192383"
"3136000","0.1400001049041748","0.1400001049041748","0.1400001049041748"
"3200000","-0.4999995231628418","-0.4999995231628418","-0.4999995231628418"
"3264000","-0.6800000667572021","-0.6800000667572021","-0.6800000667572021"
"3328000","-0.7600002288818359","-0.7600002288818359","-0.7600002288818359"
"3392000","-0.34000062942504883","-0.34000062942504883","-0.34000062942504883"
"3456000","-0.9999995231628418","-0.9999995231628418","-0.9999995231628418"
"3520000","0.4400002956390381","0.4400002956390381","0.4400002956390381"
"3584000","0.31999921798706055","0.31999921798706055","0.31999921798706055"
"3648000","0.019999980926513672","0.019999980926513672","0.019999980926513672"
"3712000","0.26000094413757324","0.26000094413757324","0.26000094413757324"
"3776000","0.07999992370605469","0.07999992370605469","0.07999992370605469"
"3840000","0.48000073432922363","0.48000073432922363","0.48000073432922363"
