"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"6336000","6.920000076293945","6.920000076293945","6.920000076293945"
"6400000","6.730000078678131","6.730000078678131","6.730000078678131"
"6464000","6.389999985694885","6.389999985694885","6.389999985694885"
"6528000","6.5899999141693115","6.5899999141693115","6.5899999141693115"
"6592000","6.1700000166893005","6.1700000166893005","6.1700000166893005"
"6656000","7.330000042915344","7.330000042915344","7.330000042915344"
"6720000","7.2500001192092896","7.2500001192092896","7.2500001192092896"
"6784000","6.9700000286102295","6.9700000286102295","6.9700000286102295"
"6848000","6.450000047683716","6.450000047683716","6.450000047683716"
"6912000","7.519999980926514","7.519999980926514","7.519999980926514"
"6976000","7.590000033378601","7.590000033378601","7.590000033378601"
"7040000","7.629999995231628","7.629999995231628","7.629999995231628"
"7104000","7.169999837875366","7.169999837875366","7.169999837875366"
"7168000","7.429999947547913","7.429999947547913","7.429999947547913"
"7232000","7.099999904632568","7.099999904632568","7.099999904632568"
"7296000","6.560000061988831","6.560000061988831","6.560000061988831"
"7360000","7.069999933242798","7.069999933242798","7.069999933242798"
"7424000","6.710000157356262","6.710000157356262","6.710000157356262"
"7488000","7.010000109672546","7.010000109672546","7.010000109672546"
"7552000","7.809999942779541","7.809999942779541","7.809999942779541"
"7616000","7.5899999141693115","7.5899999141693115","7.5899999141693115"
"7680000","7.4999998807907104","7.4999998807907104","7.4999998807907104"
"7744000","6.789999961853027","6.789999961853027","6.789999961853027"
"7808000","7.259999871253967","7.259999871253967","7.259999871253967"
"7872000","7.360000014305115","7.360000014305115","7.360000014305115"
"7936000","8.899999976158142","8.899999976158142","8.899999976158142"
"8000000","8.959999799728394","8.959999799728394","8.959999799728394"
"8064000","8.539999842643738","8.539999842643738","8.539999842643738"
"8128000","8.080000042915344","8.080000042915344","8.080000042915344"
"8192000","7.9100000858306885","7.9100000858306885","7.9100000858306885"
"8256000","8.860000014305115","8.860000014305115","8.860000014305115"
"8320000","8.329999923706055","8.329999923706055","8.329999923706055"
"8384000","8.770000100135803","8.770000100135803","8.770000100135803"
"8448000","8.170000076293945","8.170000076293945","8.170000076293945"
"8512000","9.399999976158142","9.399999976158142","9.399999976158142"
"8576000","9.24999988079071","9.24999988079071","9.24999988079071"
"8640000","8.620000004768372","8.620000004768372","8.620000004768372"
"8704000","8.179999947547913","8.179999947547913","8.179999947547913"
"8768000","7.369999945163727","7.369999945163727","7.369999945163727"
"8832000","8.110000014305115","8.110000014305115","8.110000014305115"
"8896000","8.84000015258789","8.84000015258789","8.84000015258789"
"8960000","8.909999966621399","8.909999966621399","8.909999966621399"
"9024000","7.300000071525574","7.300000071525574","7.300000071525574"
"9088000","6.700000047683716","6.700000047683716","6.700000047683716"
"9152000","7.299999952316284","7.299999952316284","7.299999952316284"
"9216000","8.240000009536743","8.240000009536743","8.240000009536743"
