Step,coin3_cbambaseline - SW_ep_rew_total,coin3_cbambaseline - SW_ep_rew_total__MIN,coin3_cbambaseline - SW_ep_rew_total__MAX
5760000,-2.9600002765655518,-2.9600002765655518,-2.9600002765655518
5824000,-2.7799997329711914,-2.7799997329711914,-2.7799997329711914
5888000,-3.9899998381733894,-3.9899998381733894,-3.9899998381733894
5952000,-1.6200001239776611,-1.6200001239776611,-1.6200001239776611
6016000,-1.2699999809265137,-1.2699999809265137,-1.2699999809265137
6080000,-0.8999998569488525,-0.8999998569488525,-0.8999998569488525
6144000,-0.8400000333786011,-0.8400000333786011,-0.8400000333786011
6208000,-2.779999904334545,-2.779999904334545,-2.779999904334545
6272000,-4.4300001338124275,-4.4300001338124275,-4.4300001338124275
6336000,-2.1999999284744263,-2.1999999284744263,-2.1999999284744263
6400000,-2.570000112056732,-2.570000112056732,-2.570000112056732
6464000,-4.209999829530716,-4.209999829530716,-4.209999829530716
6528000,-1.4900001287460327,-1.4900001287460327,-1.4900001287460327
6592000,-1.6600000858306885,-1.6600000858306885,-1.6600000858306885
6656000,-3.3899999856948853,-3.3899999856948853,-3.3899999856948853
6720000,-2.5099998712539673,-2.5099998712539673,-2.5099998712539673
6784000,-3.6100001335144043,-3.6100001335144043,-3.6100001335144043
6848000,-2.9499999284744263,-2.9499999284744263,-2.9499999284744263
6912000,-2.5599998235702515,-2.5599998235702515,-2.5599998235702515
6976000,-4.18999981880188,-4.18999981880188,-4.18999981880188
7040000,-2.069999933242798,-2.069999933242798,-2.069999933242798
7104000,-3.140000268816948,-3.140000268816948,-3.140000268816948
7168000,-3.5100000351667404,-3.5100000351667404,-3.5100000351667404
7232000,-4.000000044703484,-4.000000044703484,-4.000000044703484
7296000,-3.559999793767929,-3.559999793767929,-3.559999793767929
7360000,-3.509999990463257,-3.509999990463257,-3.509999990463257
7424000,-2.5,-2.5,-2.5
7488000,-1.8399996757507324,-1.8399996757507324,-1.8399996757507324
7552000,-3.8200002312660217,-3.8200002312660217,-3.8200002312660217
7616000,-2.4600002765655518,-2.4600002765655518,-2.4600002765655518
7680000,-3.8499996662139893,-3.8499996662139893,-3.8499996662139893
7744000,-3.050000160932541,-3.050000160932541,-3.050000160932541
7808000,-1.2000000476837158,-1.2000000476837158,-1.2000000476837158
7872000,-4.039999946951866,-4.039999946951866,-4.039999946951866
7936000,-3.000000238418579,-3.000000238418579,-3.000000238418579
8000000,-1.1599999070167542,-1.1599999070167542,-1.1599999070167542
8064000,-1.85999995470047,-1.85999995470047,-1.85999995470047
8128000,-1.9900000095367432,-1.9900000095367432,-1.9900000095367432
8192000,-2.3400001525878906,-2.3400001525878906,-2.3400001525878906
8256000,-2.71999990940094,-2.71999990940094,-2.71999990940094
8320000,-2.799999952316284,-2.799999952316284,-2.799999952316284
8384000,-2.35999995470047,-2.35999995470047,-2.35999995470047
8448000,-2.5000000596046448,-2.5000000596046448,-2.5000000596046448
8512000,-4.2500001192092896,-4.2500001192092896,-4.2500001192092896
8576000,-3.2200002670288086,-3.2200002670288086,-3.2200002670288086
8640000,-2.360000252723694,-2.360000252723694,-2.360000252723694
8704000,-3.4199999570846558,-3.4199999570846558,-3.4199999570846558
8768000,-2.859999895095825,-2.859999895095825,-2.859999895095825
8832000,-1.6800000667572021,-1.6800000667572021,-1.6800000667572021
8896000,-2.6399999856948853,-2.6399999856948853,-2.6399999856948853
8960000,-3.5800000429153442,-3.5800000429153442,-3.5800000429153442
9024000,-3.299999475479126,-3.299999475479126,-3.299999475479126
9088000,-3.800000250339508,-3.800000250339508,-3.800000250339508
9152000,-1.8599998950958252,-1.8599998950958252,-1.8599998950958252
9216000,-1.5699996948242188,-1.5699996948242188,-1.5699996948242188
9280000,-2.249999910593033,-2.249999910593033,-2.249999910593033
9344000,-3.9799997806549072,-3.9799997806549072,-3.9799997806549072
9408000,-2.3399999141693115,-2.3399999141693115,-2.3399999141693115
