"Step","coin5_cbamsvo - SW_ep_rew_total","coin5_cbamsvo - SW_ep_rew_total__MIN","coin5_cbamsvo - SW_ep_rew_total__MAX"
"5440000","-15.719999551773071","-15.719999551773071","-15.719999551773071"
"5504000","-16.579999685287476","-16.579999685287476","-16.579999685287476"
"5568000","-15.940000057220459","-15.940000057220459","-15.940000057220459"
"5632000","-15.899999618530273","-15.899999618530273","-15.899999618530273"
"5696000","-16.139999389648438","-16.139999389648438","-16.139999389648438"
"5760000","-17.019999980926514","-17.019999980926514","-17.019999980926514"
"5824000","-15.34000039100647","-15.34000039100647","-15.34000039100647"
"5888000","-15.419999837875366","-15.419999837875366","-15.419999837875366"
"5952000","-16.260000705718994","-16.260000705718994","-16.260000705718994"
"6016000","-15.65999960899353","-15.65999960899353","-15.65999960899353"
"6080000","-16.499999046325684","-16.499999046325684","-16.499999046325684"
"6144000","-16.02000093460083","-16.02000093460083","-16.02000093460083"
"6208000","-16.12000060081482","-16.12000060081482","-16.12000060081482"
"6272000","-16.31999945640564","-16.31999945640564","-16.31999945640564"
"6336000","-16.300000190734863","-16.300000190734863","-16.300000190734863"
"6400000","-16.299999713897705","-16.299999713897705","-16.299999713897705"
"6464000","-15.43999981880188","-15.43999981880188","-15.43999981880188"
"6528000","-16.079999923706055","-16.079999923706055","-16.079999923706055"
"6592000","-16.559998989105225","-16.559998989105225","-16.559998989105225"
"6656000","-15.90000033378601","-15.90000033378601","-15.90000033378601"
"6720000","-16.359999895095825","-16.359999895095825","-16.359999895095825"
"6784000","-15.259999990463257","-15.259999990463257","-15.259999990463257"
"6848000","-16.660000562667847","-16.660000562667847","-16.660000562667847"
"6912000","-16.080000162124634","-16.080000162124634","-16.080000162124634"
"6976000","-15.639999628067017","-15.639999628067017","-15.639999628067017"
"7040000","-16.299999475479126","-16.299999475479126","-16.299999475479126"
"7104000","-16.580000162124634","-16.580000162124634","-16.580000162124634"
"7168000","-15.899999856948853","-15.899999856948853","-15.899999856948853"
"7232000","-15.53999948501587","-15.53999948501587","-15.53999948501587"
"7296000","-16.49999976158142","-16.49999976158142","-16.49999976158142"
"7360000","-16.499999284744263","-16.499999284744263","-16.499999284744263"
"7424000","-16.30000066757202","-16.30000066757202","-16.30000066757202"
"7488000","-16.339999675750732","-16.339999675750732","-16.339999675750732"
"7552000","-15.920000314712524","-15.920000314712524","-15.920000314712524"
"7616000","-15.09999966621399","-15.09999966621399","-15.09999966621399"
"7680000","-16.53999972343445","-16.53999972343445","-16.53999972343445"
"7744000","-15.679999828338623","-15.679999828338623","-15.679999828338623"
"7808000","-16.239999532699585","-16.239999532699585","-16.239999532699585"
"7872000","-16.200000047683716","-16.200000047683716","-16.200000047683716"
"7936000","-16.019999742507935","-16.019999742507935","-16.019999742507935"
"8000000","-14.87999939918518","-14.87999939918518","-14.87999939918518"
"8064000","-15.22000002861023","-15.22000002861023","-15.22000002861023"
"8128000","-16.040000200271606","-16.040000200271606","-16.040000200271606"
"8192000","-15.700000286102295","-15.700000286102295","-15.700000286102295"
"8256000","-16.119999647140503","-16.119999647140503","-16.119999647140503"
"8320000","-15.820000171661377","-15.820000171661377","-15.820000171661377"
"8384000","-16.499999523162842","-16.499999523162842","-16.499999523162842"
"8448000","-15.84000039100647","-15.84000039100647","-15.84000039100647"
"8512000","-15.760000228881836","-15.760000228881836","-15.760000228881836"
"8576000","-16.05999994277954","-16.05999994277954","-16.05999994277954"
"8640000","-15.579999685287476","-15.579999685287476","-15.579999685287476"
"8704000","-16.059999465942383","-16.059999465942383","-16.059999465942383"
"8768000","-15.760000228881836","-15.760000228881836","-15.760000228881836"
"8832000","-16.219999313354492","-16.219999313354492","-16.219999313354492"
"8896000","-15.740000247955322","-15.740000247955322","-15.740000247955322"
"8960000","-16.40000009536743","-16.40000009536743","-16.40000009536743"
"9024000","-15.459999322891235","-15.459999322891235","-15.459999322891235"
"9088000","-16.31999945640564","-16.31999945640564","-16.31999945640564"
"9152000","-15.480000495910645","-15.480000495910645","-15.480000495910645"
"9216000","-16.21999979019165","-16.21999979019165","-16.21999979019165"
"9280000","-15.459999203681946","-15.459999203681946","-15.459999203681946"
"9344000","-16.059999704360962","-16.059999704360962","-16.059999704360962"
"9408000","-16.03999900817871","-16.03999900817871","-16.03999900817871"
"9472000","-15.820000171661377","-15.820000171661377","-15.820000171661377"
"9536000","-16.00000023841858","-16.00000023841858","-16.00000023841858"
"9600000","-15.53999924659729","-15.53999924659729","-15.53999924659729"
"9664000","-15.919999837875366","-15.919999837875366","-15.919999837875366"
"9728000","-15.399999618530273","-15.399999618530273","-15.399999618530273"
"9792000","-15.37999939918518","-15.37999939918518","-15.37999939918518"
"9856000","-15.859999418258667","-15.859999418258667","-15.859999418258667"
"9920000","-15.900000810623169","-15.900000810623169","-15.900000810623169"
"9984000","-15.579999923706055","-15.579999923706055","-15.579999923706055"
"10048000","-16.259999752044678","-16.259999752044678","-16.259999752044678"
