"Step","coin4_cbambaseline - SW_ep_rew_total","coin4_cbambaseline - SW_ep_rew_total__MIN","coin4_cbambaseline - SW_ep_rew_total__MAX"
"64000","-5.6000001430511475","-5.6000001430511475","-5.6000001430511475"
"128000","-3.540000468492508","-3.540000468492508","-3.540000468492508"
"192000","-4.619999706745148","-4.619999706745148","-4.619999706745148"
"256000","-4.919999897480011","-4.919999897480011","-4.919999897480011"
"320000","-4.400000035762787","-4.400000035762787","-4.400000035762787"
"384000","-4.499999761581421","-4.499999761581421","-4.499999761581421"
"448000","-3.939999595284462","-3.939999595284462","-3.939999595284462"
"512000","-2.4799998849630356","-2.4799998849630356","-2.4799998849630356"
"576000","-2.4599995017051697","-2.4599995017051697","-2.4599995017051697"
"640000","-2.0399997234344482","-2.0399997234344482","-2.0399997234344482"
"704000","-2.4400004148483276","-2.4400004148483276","-2.4400004148483276"
"768000","-3.4999994039535522","-3.4999994039535522","-3.4999994039535522"
"832000","-1.4399994611740112","-1.4399994611740112","-1.4399994611740112"
"896000","-1.6200002431869507","-1.6200002431869507","-1.6200002431869507"
"960000","-1.359999656677246","-1.359999656677246","-1.359999656677246"
"1024000","-1.739999532699585","-1.739999532699585","-1.739999532699585"
"1088000","-0.5499999523162842","-0.5499999523162842","-0.5499999523162842"
"1152000","-0.4600006341934204","-0.4600006341934204","-0.4600006341934204"
"1216000","1.4600000381469727","1.4600000381469727","1.4600000381469727"
"1280000","0.9000005722045898","0.9000005722045898","0.9000005722045898"
"1344000","3.5599995851516724","3.5599995851516724","3.5599995851516724"
"1408000","3.0799999237060547","3.0799999237060547","3.0799999237060547"
"1472000","4.359999895095825","4.359999895095825","4.359999895095825"
"1536000","4.520000100135803","4.520000100135803","4.520000100135803"
"1600000","5.539999723434448","5.539999723434448","5.539999723434448"
"1664000","5.289999961853027","5.289999961853027","5.289999961853027"
"1728000","5.080000638961792","5.080000638961792","5.080000638961792"
"1792000","5.5599998235702515","5.5599998235702515","5.5599998235702515"
"1856000","5.84000027179718","5.84000027179718","5.84000027179718"
"1920000","8.28000020980835","8.28000020980835","8.28000020980835"
"1984000","7.980000078678131","7.980000078678131","7.980000078678131"
"2048000","7.640000268816948","7.640000268816948","7.640000268816948"
"2112000","7.3600000739097595","7.3600000739097595","7.3600000739097595"
"2176000","8.9200000166893","8.9200000166893","8.9200000166893"
"2240000","8.720000505447388","8.720000505447388","8.720000505447388"
"2304000","7.199999839067459","7.199999839067459","7.199999839067459"
"2368000","6.899999916553497","6.899999916553497","6.899999916553497"
"2432000","8.820000171661377","8.820000171661377","8.820000171661377"
"2496000","7.780000016093254","7.780000016093254","7.780000016093254"
"2560000","8.600000381469727","8.600000381469727","8.600000381469727"
"2624000","7.600000023841858","7.600000023841858","7.600000023841858"
"2688000","7.620000123977661","7.620000123977661","7.620000123977661"
"2752000","8.35999983549118","8.35999983549118","8.35999983549118"
"2816000","9.619999885559082","9.619999885559082","9.619999885559082"
"2880000","7.819999992847443","7.819999992847443","7.819999992847443"
"2944000","8.640000104904175","8.640000104904175","8.640000104904175"
