"Step","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MAX"
"64000","-4305.71875","-4305.71875","-4305.71875"
"128000","-4102.970031738281","-4102.970031738281","-4102.970031738281"
"192000","-3585.4100341796875","-3585.4100341796875","-3585.4100341796875"
"256000","-2818.9300537109375","-2818.9300537109375","-2818.9300537109375"
"320000","-2425.75","-2425.75","-2425.75"
"384000","-2109.52001953125","-2109.52001953125","-2109.52001953125"
"448000","-1820.489990234375","-1820.489990234375","-1820.489990234375"
"512000","-1507.719970703125","-1507.719970703125","-1507.719970703125"
"576000","-1248.5799865722656","-1248.5799865722656","-1248.5799865722656"
"640000","-1056.0500183105469","-1056.0500183105469","-1056.0500183105469"
"704000","-815.25","-815.25","-815.25"
"768000","-707.1299896240234","-707.1299896240234","-707.1299896240234"
"832000","-574.2399978637695","-574.2399978637695","-574.2399978637695"
"896000","-512.6800079345703","-512.6800079345703","-512.6800079345703"
"960000","-458.23999786376953","-458.23999786376953","-458.23999786376953"
"1024000","-391.4100036621094","-391.4100036621094","-391.4100036621094"
"1088000","-362.87999725341797","-362.87999725341797","-362.87999725341797"
"1152000","-319.25000381469727","-319.25000381469727","-319.25000381469727"
"1216000","-298.1699981689453","-298.1699981689453","-298.1699981689453"
"1280000","-271.25000381469727","-271.25000381469727","-271.25000381469727"
"1344000","-232.10000228881836","-232.10000228881836","-232.10000228881836"
"1408000","-224.45000076293945","-224.45000076293945","-224.45000076293945"
"1472000","-197.7300033569336","-197.7300033569336","-197.7300033569336"
"1536000","-179.50000381469727","-179.50000381469727","-179.50000381469727"
"1600000","-154.30000114440918","-154.30000114440918","-154.30000114440918"
"1664000","-155.5900001525879","-155.5900001525879","-155.5900001525879"
"1728000","-128.26999855041504","-128.26999855041504","-128.26999855041504"
"1792000","-110.82999992370605","-110.82999992370605","-110.82999992370605"
"1856000","-104.22999954223633","-104.22999954223633","-104.22999954223633"
"1920000","-81.73999881744385","-81.73999881744385","-81.73999881744385"
"1984000","-66.72000026702881","-66.72000026702881","-66.72000026702881"
"2048000","-67.10999870300293","-67.10999870300293","-67.10999870300293"
"2112000","-55.22000026702881","-55.22000026702881","-55.22000026702881"
"2176000","-51.389999866485596","-51.389999866485596","-51.389999866485596"
"2240000","-42.130000591278076","-42.130000591278076","-42.130000591278076"
"2304000","-28.28000020980835","-28.28000020980835","-28.28000020980835"
"2368000","-19.03000009059906","-19.03000009059906","-19.03000009059906"
"2432000","-12.790000200271606","-12.790000200271606","-12.790000200271606"
"2496000","-21.74999976158142","-21.74999976158142","-21.74999976158142"
"2560000","-17.069999754428864","-17.069999754428864","-17.069999754428864"
"2624000","-8.419999957084656","-8.419999957084656","-8.419999957084656"
"2688000","-6.0700000785291195","-6.0700000785291195","-6.0700000785291195"
"2752000","-0.22000005841255188","-0.22000005841255188","-0.22000005841255188"
"2816000","0.26999998092651367","0.26999998092651367","0.26999998092651367"
"2880000","0.8099999129772186","0.8099999129772186","0.8099999129772186"
"2944000","0.83999989554286","0.83999989554286","0.83999989554286"
"3008000","3.210000030696392","3.210000030696392","3.210000030696392"
"3072000","5.989999949932098","5.989999949932098","5.989999949932098"
"3136000","7.529999941587448","7.529999941587448","7.529999941587448"
"3200000","8.47000002861023","8.47000002861023","8.47000002861023"
"3264000","7.219999849796295","7.219999849796295","7.219999849796295"
"3328000","7.9799997210502625","7.9799997210502625","7.9799997210502625"
"3392000","8.039999902248383","8.039999902248383","8.039999902248383"
"3456000","7.139999985694885","7.139999985694885","7.139999985694885"
"3520000","8.310000121593475","8.310000121593475","8.310000121593475"
"3584000","7.209999993443489","7.209999993443489","7.209999993443489"
"3648000","7.390000104904175","7.390000104904175","7.390000104904175"
"3712000","8.589999914169312","8.589999914169312","8.589999914169312"
"3776000","8.75000011920929","8.75000011920929","8.75000011920929"
"3840000","7.519999980926514","7.519999980926514","7.519999980926514"
"3904000","8.559999942779541","8.559999942779541","8.559999942779541"
"3968000","9.519999861717224","9.519999861717224","9.519999861717224"
"4032000","8.820000052452087","8.820000052452087","8.820000052452087"
"4096000","8.559999883174896","8.559999883174896","8.559999883174896"
"4160000","9.379999935626984","9.379999935626984","9.379999935626984"
"4224000","8.240000009536743","8.240000009536743","8.240000009536743"
"4288000","6.81999996304512","6.81999996304512","6.81999996304512"
"4352000","7.809999942779541","7.809999942779541","7.809999942779541"
"4416000","8.230000019073486","8.230000019073486","8.230000019073486"
"4480000","8.559999942779541","8.559999942779541","8.559999942779541"
"4544000","8.27999997138977","8.27999997138977","8.27999997138977"
"4608000","8.080000042915344","8.080000042915344","8.080000042915344"
"4672000","8.180000066757202","8.180000066757202","8.180000066757202"
"4736000","9.459999918937683","9.459999918937683","9.459999918937683"
"4800000","9.019999742507935","9.019999742507935","9.019999742507935"
"4864000","8.569999933242798","8.569999933242798","8.569999933242798"
"4928000","7.809999942779541","7.809999942779541","7.809999942779541"
"4992000","6.699999988079071","6.699999988079071","6.699999988079071"
"5056000","6.570000112056732","6.570000112056732","6.570000112056732"
"5120000","6.8999998569488525","6.8999998569488525","6.8999998569488525"
"5184000","8.319999933242798","8.319999933242798","8.319999933242798"
"5248000","8.090000092983246","8.090000092983246","8.090000092983246"
"5312000","8.319999933242798","8.319999933242798","8.319999933242798"
"5376000","7.819999873638153","7.819999873638153","7.819999873638153"
"5440000","7.990000128746033","7.990000128746033","7.990000128746033"
"5504000","7.260000109672546","7.260000109672546","7.260000109672546"
"5568000","7.03000009059906","7.03000009059906","7.03000009059906"
"5632000","7.209999918937683","7.209999918937683","7.209999918937683"
"5696000","8.259999990463257","8.259999990463257","8.259999990463257"
"5760000","7.490000009536743","7.490000009536743","7.490000009536743"
"5824000","8","8","8"
"5888000","6.900000095367432","6.900000095367432","6.900000095367432"
"5952000","6.4700000286102295","6.4700000286102295","6.4700000286102295"
"6016000","6.690000057220459","6.690000057220459","6.690000057220459"
"6080000","5.960000038146973","5.960000038146973","5.960000038146973"
"6144000","6.120000064373016","6.120000064373016","6.120000064373016"
"6208000","6.939999938011169","6.939999938011169","6.939999938011169"
"6272000","6.689999997615814","6.689999997615814","6.689999997615814"
"6336000","6.450000047683716","6.450000047683716","6.450000047683716"
"6400000","7.35999995470047","7.35999995470047","7.35999995470047"
"6464000","6.990000009536743","6.990000009536743","6.990000009536743"
"6528000","8.119999885559082","8.119999885559082","8.119999885559082"
"6592000","7.490000009536743","7.490000009536743","7.490000009536743"
"6656000","7.620000004768372","7.620000004768372","7.620000004768372"
"6720000","7.370000004768372","7.370000004768372","7.370000004768372"
"6784000","6.110000133514404","6.110000133514404","6.110000133514404"
"6848000","6.489999949932098","6.489999949932098","6.489999949932098"
"6912000","6.379999876022339","6.379999876022339","6.379999876022339"
"6976000","6.019999980926514","6.019999980926514","6.019999980926514"
"7040000","6.8399999141693115","6.8399999141693115","6.8399999141693115"
"7104000","7.210000038146973","7.210000038146973","7.210000038146973"
"7168000","8.139999866485596","8.139999866485596","8.139999866485596"
"7232000","8.56000006198883","8.56000006198883","8.56000006198883"
"7296000","7.879999876022339","7.879999876022339","7.879999876022339"
"7360000","9.170000076293945","9.170000076293945","9.170000076293945"
"7424000","9.039999842643738","9.039999842643738","9.039999842643738"
"7488000","8.679999947547913","8.679999947547913","8.679999947547913"
"7552000","8.669999957084656","8.669999957084656","8.669999957084656"
"7616000","8.759999990463257","8.759999990463257","8.759999990463257"
"7680000","9.539999961853027","9.539999961853027","9.539999961853027"
"7744000","9.039999842643738","9.039999842643738","9.039999842643738"
"7808000","9.630000114440918","9.630000114440918","9.630000114440918"
"7872000","10.28000009059906","10.28000009059906","10.28000009059906"
"7936000","11.850000023841858","11.850000023841858","11.850000023841858"
"8000000","11.59000015258789","11.59000015258789","11.59000015258789"
"8064000","11.370000123977661","11.370000123977661","11.370000123977661"
"8128000","9.78000020980835","9.78000020980835","9.78000020980835"
"8192000","8.620000123977661","8.620000123977661","8.620000123977661"
"8256000","9.940000057220459","9.940000057220459","9.940000057220459"
"8320000","11.109999775886536","11.109999775886536","11.109999775886536"
"8384000","10.570000290870667","10.570000290870667","10.570000290870667"
"8448000","10.569999933242798","10.569999933242798","10.569999933242798"
"8512000","10.930000066757202","10.930000066757202","10.930000066757202"
"8576000","11.540000081062317","11.540000081062317","11.540000081062317"
"8640000","10.400000095367432","10.400000095367432","10.400000095367432"
"8704000","10.109999895095825","10.109999895095825","10.109999895095825"
"8768000","10.579999923706055","10.579999923706055","10.579999923706055"
"8832000","10.90999984741211","10.90999984741211","10.90999984741211"
"8896000","10.580000042915344","10.580000042915344","10.580000042915344"
"8960000","11.320000052452087","11.320000052452087","11.320000052452087"
"9024000","11.580000042915344","11.580000042915344","11.580000042915344"
