"Step","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MAX"
"5568000","5.860000133514404","5.860000133514404","5.860000133514404"
"5632000","6.110000014305115","6.110000014305115","6.110000014305115"
"5696000","5.199999988079071","5.199999988079071","5.199999988079071"
"5760000","5.690000057220459","5.690000057220459","5.690000057220459"
"5824000","6.299999833106995","6.299999833106995","6.299999833106995"
"5888000","7.0000001192092896","7.0000001192092896","7.0000001192092896"
"5952000","6.870000004768372","6.870000004768372","6.870000004768372"
"6016000","5.969999969005585","5.969999969005585","5.969999969005585"
"6080000","6.409999907016754","6.409999907016754","6.409999907016754"
"6144000","6.900000095367432","6.900000095367432","6.900000095367432"
"6208000","6.089999973773956","6.089999973773956","6.089999973773956"
"6272000","6.759999990463257","6.759999990463257","6.759999990463257"
"6336000","7.599999904632568","7.599999904632568","7.599999904632568"
"6400000","7.8399999141693115","7.8399999141693115","7.8399999141693115"
"6464000","7.840000033378601","7.840000033378601","7.840000033378601"
"6528000","7.640000104904175","7.640000104904175","7.640000104904175"
"6592000","8.129999995231628","8.129999995231628","8.129999995231628"
"6656000","8.179999947547913","8.179999947547913","8.179999947547913"
"6720000","7.389999866485596","7.389999866485596","7.389999866485596"
"6784000","8.110000014305115","8.110000014305115","8.110000014305115"
"6848000","8.949999928474426","8.949999928474426","8.949999928474426"
"6912000","9.210000157356262","9.210000157356262","9.210000157356262"
"6976000","8.179999947547913","8.179999947547913","8.179999947547913"
"7040000","8.409999966621399","8.409999966621399","8.409999966621399"
"7104000","7.990000009536743","7.990000009536743","7.990000009536743"
"7168000","7.850000023841858","7.850000023841858","7.850000023841858"
"7232000","8.109999895095825","8.109999895095825","8.109999895095825"
"7296000","8.559999942779541","8.559999942779541","8.559999942779541"
"7360000","8.339999914169312","8.339999914169312","8.339999914169312"
"7424000","8.119999885559082","8.119999885559082","8.119999885559082"
"7488000","7.069999933242798","7.069999933242798","7.069999933242798"
"7552000","7.070000052452087","7.070000052452087","7.070000052452087"
