Step,Reward
448000,-10341.9113935989225865
510569,-9707.0708797905754182
573137,-9167.5967942074221355
635706,-8693.3514188439094141
698275,-8158.9672706472856589
760843,-7535.4516077209573268
823412,-7041.9565879509627848
885981,-6426.7018832531757653
948550,-6221.0919991520604526
1011118,-5925.7545439115874615
1073687,-5673.5835886556724290
1136256,-5422.5697921468590721
1198824,-5112.2368771024921443
1261393,-4841.1369265518424072
1323962,-4671.8382917037833977
1386530,-4554.2276200173546385
1449099,-4440.6850473125223289
1511668,-4353.9379000423950856
1574236,-4187.7736653420324728
1636805,-4181.9040986236832396
1699374,-4084.0432176073563824
1761942,-3941.1929347618324755
1824511,-3857.9247965221970844
1887080,-3677.6609857128482872
1949649,-3429.9125546189566194
2012217,-3248.4569685607712017
2074786,-3042.1854894090993184
2137355,-2866.5972135698084458
2199923,-2764.7085068782625967
2262492,-2546.1236458835037411
2325061,-2514.0777125735367008
2387629,-2570.8225315563977347
2450198,-2439.6474755549616020
2512767,-2400.5749003344922130
2575335,-2449.5673392306539426
2637904,-2402.9495962337246056
2700473,-2278.9917934449699715
2763042,-2207.6346689095030342
2825610,-2154.0685496942223836
2888179,-2071.0167110924853660
2950748,-1893.9978153376682712
3013316,-1766.4587020935705368
3075885,-1672.6603888362469661
3138454,-1660.7163492250367653
3201022,-1588.0543711162017644
3263591,-1476.7811642046196994
3326160,-1516.9076465017844839
3388728,-1442.5300805366350687
3451297,-1344.4087563928346754
3513866,-1291.7801938527443326
3576435,-1295.3474820962808280
3639003,-1172.5875635335939933
3701572,-1093.9960147535125543
3764141,-1064.6442288088524037
3826709,-992.3572747960083689
3889278,-997.9272028503908132
3951847,-861.8689554275759974
4014415,-893.7786865402140393
4076984,-868.9931612517425492
4139553,-815.3429053510444646
4202121,-729.5636852254065161
4264690,-755.4641615615088313
4327259,-659.8522139332374081
4389827,-625.4425729603181026
4452396,-599.1815932227561916
4514965,-637.8650831194297552
4577534,-593.1701788453416384
4640102,-492.6618706705781392
4702671,-488.1256634198446704
4765240,-459.7278863149851418
4827808,-514.3963477502857131
4890377,-490.2559521175562054
4952946,-437.7720848137523717
5015514,-338.1324644195411224
5078083,-322.9713302684965015
5140652,-342.1074584708017028
5203220,-246.2250676344041835
5265789,-200.8874613571084069
5328358,-175.5284801767925842
5390927,-124.8308519749815275
5453495,-159.3671541018532309
5516064,-90.4181805784377275
5578633,-155.1427784753936123
5641201,-31.0881068328878314
5703770,-36.1873608811091501
5766339,-5.9460006159976544
5828907,25.1787541113342463
5891476,-64.6695321111689339
5954045,32.6568106263318612
6016613,-31.8691262391169445
6079182,18.4528677959026801
6141751,-36.1073366894192418
6204319,-24.7253673596361097
6266888,-9.4504276204966278
6329457,50.0920668447910487
6392026,60.9851184995039546
6454594,71.4296957889538362
6517163,73.8605875618191305
6579732,85.4244825778496590
6642300,109.6934300398499147
6704869,112.4086041106847205
6767438,141.8142259994884284
6830006,188.8535497622644357
6892575,142.1246167717036428
6955144,245.3529615352863402
7017712,252.4761187485247831
7080281,282.8649063297845601
7142850,246.5848004318118853
7205419,343.8962660700645415
7267987,253.8776213523918841
7330556,322.6601335560881125
7393125,274.4163296148080349
7455693,247.0430889735417566
7518262,280.6930933137394959
7580831,254.5414740809073351
7643399,321.8297280824353948
7705968,352.6873264000664676
7768537,356.9980336201194291
7831105,291.1138412165207114
7893674,273.3428934805510266
7956243,292.5734704453218455
8018812,336.0896822976359317
8081380,351.9104452340794182
8143949,375.9065031447279353
8206518,365.6905551765351561
8269086,392.4958434927941084
8331655,355.8493844083205886
8394224,417.8309909246667075
8456792,359.3254572416809651
8519361,451.9753381160306844
8581930,448.3383300777024374
8644498,406.9649282809210717
8707067,396.2310815973433478
8769636,340.6233172846153821
8832204,318.3490441481905577
8894773,336.4331160398219254
8957342,335.9110011390434352
9019911,331.8589039160316361
9082479,346.6133838804233278
9145048,356.0170819831863582
9207617,453.6183160898049778
9270185,468.3550468754696681
9332754,404.9958964553479177
9395323,478.0778929094232694
9457891,498.4685353119662068
9520460,514.1823414120333382
