"Step","lbf10_cbam_122_causal - SW_ep_rew_total","lbf10_cbam_122_causal - SW_ep_rew_total__MIN","lbf10_cbam_122_causal - SW_ep_rew_total__MAX"
"64000","11.765625","11.765625","11.765625"
"128000","11.31000030040741","11.31000030040741","11.31000030040741"
"192000","10.274999856948853","10.274999856948853","10.274999856948853"
"256000","8.684999942779541","8.684999942779541","8.684999942779541"
"320000","8.53499984741211","8.53499984741211","8.53499984741211"
"384000","7.2449997663497925","7.2449997663497925","7.2449997663497925"
"448000","6.509999990463257","6.509999990463257","6.509999990463257"
"512000","6.884999871253967","6.884999871253967","6.884999871253967"
"576000","6.3749998807907104","6.3749998807907104","6.3749998807907104"
"640000","5.505000114440918","5.505000114440918","5.505000114440918"
"704000","4.425000011920929","4.425000011920929","4.425000011920929"
"768000","5.159999966621399","5.159999966621399","5.159999966621399"
"832000","8.834999918937683","8.834999918937683","8.834999918937683"
"896000","6.734999895095825","6.734999895095825","6.734999895095825"
"960000","4.619999974966049","4.619999974966049","4.619999974966049"
"1024000","3.6449999809265137","3.6449999809265137","3.6449999809265137"
"1088000","5.235000014305115","5.235000014305115","5.235000014305115"
"1152000","6.555000066757202","6.555000066757202","6.555000066757202"
"1216000","8.59500002861023","8.59500002861023","8.59500002861023"
"1280000","8.18999969959259","8.18999969959259","8.18999969959259"
"1344000","6.434999942779541","6.434999942779541","6.434999942779541"
"1408000","6.194999933242798","6.194999933242798","6.194999933242798"
"1472000","5.445000112056732","5.445000112056732","5.445000112056732"
"1536000","4.065000087022781","4.065000087022781","4.065000087022781"
"1600000","3.5249999314546585","3.5249999314546585","3.5249999314546585"
"1664000","6.67499977350235","6.67499977350235","6.67499977350235"
"1728000","6.389999985694885","6.389999985694885","6.389999985694885"
"1792000","4.229999989271164","4.229999989271164","4.229999989271164"
"1856000","5.249999821186066","5.249999821186066","5.249999821186066"
"1920000","6.705000042915344","6.705000042915344","6.705000042915344"
"1984000","5.730000019073486","5.730000019073486","5.730000019073486"
"2048000","5.7149999141693115","5.7149999141693115","5.7149999141693115"
"2112000","6.540000081062317","6.540000081062317","6.540000081062317"
"2176000","6.029999852180481","6.029999852180481","6.029999852180481"
"2240000","4.90500009059906","4.90500009059906","4.90500009059906"
"2304000","5.114999949932098","5.114999949932098","5.114999949932098"
"2368000","4.289999961853027","4.289999961853027","4.289999961853027"
"2432000","4.9200000166893005","4.9200000166893005","4.9200000166893005"
"2496000","7.424999952316284","7.424999952316284","7.424999952316284"
"2560000","6.945000052452087","6.945000052452087","6.945000052452087"
"2624000","5.580000042915344","5.580000042915344","5.580000042915344"
"2688000","4.32000008225441","4.32000008225441","4.32000008225441"
"2752000","4.139999985694885","4.139999985694885","4.139999985694885"
"2816000","4.0500000566244125","4.0500000566244125","4.0500000566244125"
"2880000","3.76500004529953","3.76500004529953","3.76500004529953"
"2944000","3.7799999713897705","3.7799999713897705","3.7799999713897705"
"3008000","3.7649999856948853","3.7649999856948853","3.7649999856948853"
"3072000","4.319999933242798","4.319999933242798","4.319999933242798"
"3136000","5.549999952316284","5.549999952316284","5.549999952316284"
"3200000","5.760000109672546","5.760000109672546","5.760000109672546"
"3264000","4.515000104904175","4.515000104904175","4.515000104904175"
"3328000","6.854999899864197","6.854999899864197","6.854999899864197"
"3392000","7.48499983549118","7.48499983549118","7.48499983549118"
"3456000","6.150000095367432","6.150000095367432","6.150000095367432"
"3520000","4.634999930858612","4.634999930858612","4.634999930858612"
"3584000","4.079999953508377","4.079999953508377","4.079999953508377"
"3648000","4.575000122189522","4.575000122189522","4.575000122189522"
"3712000","5.730000048875809","5.730000048875809","5.730000048875809"
"3776000","4.664999961853027","4.664999961853027","4.664999961853027"
"3840000","5.084999859333038","5.084999859333038","5.084999859333038"
"3904000","4.935000061988831","4.935000061988831","4.935000061988831"
"3968000","3.9149999618530273","3.9149999618530273","3.9149999618530273"
"4032000","6.9299997091293335","6.9299997091293335","6.9299997091293335"
"4096000","7.1549999713897705","7.1549999713897705","7.1549999713897705"
"4160000","5.6700000166893005","5.6700000166893005","5.6700000166893005"
"4224000","7.394999861717224","7.394999861717224","7.394999861717224"
"4288000","5.114999890327454","5.114999890327454","5.114999890327454"
"4352000","5.415000021457672","5.415000021457672","5.415000021457672"
"4416000","5.7899999767541885","5.7899999767541885","5.7899999767541885"
"4480000","3.9749999344348907","3.9749999344348907","3.9749999344348907"
"4544000","6.674999952316284","6.674999952316284","6.674999952316284"
"4608000","5.669999837875366","5.669999837875366","5.669999837875366"
"4672000","5.549999833106995","5.549999833106995","5.549999833106995"
"4736000","5.310000002384186","5.310000002384186","5.310000002384186"
"4800000","5.1899999007582664","5.1899999007582664","5.1899999007582664"
"4864000","4.380000025033951","4.380000025033951","4.380000025033951"
"4928000","3.6449999809265137","3.6449999809265137","3.6449999809265137"
"4992000","6.194999933242798","6.194999933242798","6.194999933242798"
"5056000","8.505000114440918","8.505000114440918","8.505000114440918"
"5120000","5.804999947547913","5.804999947547913","5.804999947547913"
"5184000","4.53000009059906","4.53000009059906","4.53000009059906"
"5248000","6.540000081062317","6.540000081062317","6.540000081062317"
"5312000","8.054999828338623","8.054999828338623","8.054999828338623"
