"Step","lbf10_cbam_112_causal - SW_ep_rew_total","lbf10_cbam_112_causal - SW_ep_rew_total__MIN","lbf10_cbam_112_causal - SW_ep_rew_total__MAX"
"48000","24.924998998641968","24.924998998641968","24.924998998641968"
"96000","24.487499237060547","24.487499237060547","24.487499237060547"
"144000","23.832000255584717","23.832000255584717","23.832000255584717"
"192000","21.99600052833557","21.99600052833557","21.99600052833557"
"240000","20.628000020980835","20.628000020980835","20.628000020980835"
"288000","21.984001398086548","21.984001398086548","21.984001398086548"
"336000","24.10800051689148","24.10800051689148","24.10800051689148"
"384000","23.627999305725098","23.627999305725098","23.627999305725098"
"432000","21.935999631881714","21.935999631881714","21.935999631881714"
"480000","21.576000213623047","21.576000213623047","21.576000213623047"
"528000","21.875998973846436","21.875998973846436","21.875998973846436"
"576000","23.064000368118286","23.064000368118286","23.064000368118286"
"624000","23.880001068115234","23.880001068115234","23.880001068115234"
"672000","24.288000345230103","24.288000345230103","24.288000345230103"
"720000","24.995999813079834","24.995999813079834","24.995999813079834"
"768000","25.10400152206421","25.10400152206421","25.10400152206421"
"816000","24.455999851226807","24.455999851226807","24.455999851226807"
"864000","24.552001476287842","24.552001476287842","24.552001476287842"
"912000","24.791999101638794","24.791999101638794","24.791999101638794"
"960000","25.39199924468994","25.39199924468994","25.39199924468994"
"1008000","25.728001594543457","25.728001594543457","25.728001594543457"
"1056000","25.655997276306152","25.655997276306152","25.655997276306152"
"1104000","24.983999490737915","24.983999490737915","24.983999490737915"
"1152000","24.623998165130615","24.623998165130615","24.623998165130615"
"1200000","24.959998607635498","24.959998607635498","24.959998607635498"
"1248000","24.996000289916992","24.996000289916992","24.996000289916992"
"1296000","25.5","25.5","25.5"
"1344000","25.511998176574707","25.511998176574707","25.511998176574707"
"1392000","25.28399920463562","25.28399920463562","25.28399920463562"
"1440000","24.852001667022705","24.852001667022705","24.852001667022705"
"1488000","24.52799916267395","24.52799916267395","24.52799916267395"
"1536000","25.30799913406372","25.30799913406372","25.30799913406372"
"1584000","25.992000579833984","25.992000579833984","25.992000579833984"
"1632000","26.544000148773193","26.544000148773193","26.544000148773193"
"1680000","26.460001468658447","26.460001468658447","26.460001468658447"
"1728000","26.544000148773193","26.544000148773193","26.544000148773193"
"1776000","25.655999660491943","25.655999660491943","25.655999660491943"
"1824000","25.007999420166016","25.007999420166016","25.007999420166016"
"1872000","26.292001724243164","26.292001724243164","26.292001724243164"
"1920000","26.904000282287598","26.904000282287598","26.904000282287598"
"1968000","25.991999626159668","25.991999626159668","25.991999626159668"
"2016000","25.728000164031982","25.728000164031982","25.728000164031982"
"2064000","25.95599937438965","25.95599937438965","25.95599937438965"
"2112000","25.8240008354187","25.8240008354187","25.8240008354187"
"2160000","26.507999897003174","26.507999897003174","26.507999897003174"
"2208000","26.663999557495117","26.663999557495117","26.663999557495117"
"2256000","26.14799976348877","26.14799976348877","26.14799976348877"
"2304000","25.87199878692627","25.87199878692627","25.87199878692627"
"2352000","25.991998195648193","25.991998195648193","25.991998195648193"
"2400000","26.25599956512451","26.25599956512451","26.25599956512451"
"2448000","26.063998222351074","26.063998222351074","26.063998222351074"
"2496000","26.36400079727173","26.36400079727173","26.36400079727173"
"2544000","26.687998294830322","26.687998294830322","26.687998294830322"
"2592000","26.447998046875","26.447998046875","26.447998046875"
"2640000","26.303998947143555","26.303998947143555","26.303998947143555"
"2688000","26.73599672317505","26.73599672317505","26.73599672317505"
"2736000","26.579999923706055","26.579999923706055","26.579999923706055"
"2784000","25.932002067565918","25.932002067565918","25.932002067565918"
"2832000","26.39999771118164","26.39999771118164","26.39999771118164"
"2880000","26.268001079559326","26.268001079559326","26.268001079559326"
"2928000","26.160001754760742","26.160001754760742","26.160001754760742"
"2976000","26.387999534606934","26.387999534606934","26.387999534606934"
"3024000","26.09999990463257","26.09999990463257","26.09999990463257"
"3072000","26.60400152206421","26.60400152206421","26.60400152206421"
"3120000","27.216001510620117","27.216001510620117","27.216001510620117"
"3168000","26.892001152038574","26.892001152038574","26.892001152038574"
"3216000","26.279996871948242","26.279996871948242","26.279996871948242"
"3264000","26.028000831604004","26.028000831604004","26.028000831604004"
"3312000","25.96799898147583","25.96799898147583","25.96799898147583"
"3360000","26.00399875640869","26.00399875640869","26.00399875640869"
"3408000","26.064002513885498","26.064002513885498","26.064002513885498"
"3456000","25.643999576568604","25.643999576568604","25.643999576568604"
"3504000","25.499999046325684","25.499999046325684","25.499999046325684"
"3552000","25.81199836730957","25.81199836730957","25.81199836730957"
"3600000","26.280002117156982","26.280002117156982","26.280002117156982"
"3648000","26.315999507904053","26.315999507904053","26.315999507904053"
"3696000","25.955999851226807","25.955999851226807","25.955999851226807"
"3744000","25.848000526428223","25.848000526428223","25.848000526428223"
"3792000","26.28000020980835","26.28000020980835","26.28000020980835"
"3840000","26.999999523162842","26.999999523162842","26.999999523162842"
"3888000","26.351998329162598","26.351998329162598","26.351998329162598"
"3936000","25.416001319885254","25.416001319885254","25.416001319885254"
"3984000","26.280001163482666","26.280001163482666","26.280001163482666"
"4032000","26.159998893737793","26.159998893737793","26.159998893737793"
"4080000","26.24400043487549","26.24400043487549","26.24400043487549"
"4128000","26.196001052856445","26.196001052856445","26.196001052856445"
"4176000","26.14799928665161","26.14799928665161","26.14799928665161"
"4224000","26.46000051498413","26.46000051498413","26.46000051498413"
"4272000","26.62799882888794","26.62799882888794","26.62799882888794"
"4320000","26.880001544952393","26.880001544952393","26.880001544952393"
"4368000","26.459999561309814","26.459999561309814","26.459999561309814"
