"Step","lbf10_cbambaseline - SW_ep_rew_total","lbf10_cbambaseline - SW_ep_rew_total__MIN","lbf10_cbambaseline - SW_ep_rew_total__MAX"
"64000","33.00000047683716","33.00000047683716","33.00000047683716"
"128000","29.619998931884766","29.619998931884766","29.619998931884766"
"192000","29.060001611709595","29.060001611709595","29.060001611709595"
"256000","30.839999675750732","30.839999675750732","30.839999675750732"
"320000","31.68000054359436","31.68000054359436","31.68000054359436"
"384000","32.31000208854675","32.31000208854675","32.31000208854675"
"448000","30.529999494552612","30.529999494552612","30.529999494552612"
"512000","30.100003719329834","30.100003719329834","30.100003719329834"
"576000","31.000001907348633","31.000001907348633","31.000001907348633"
"640000","30.220003128051758","30.220003128051758","30.220003128051758"
"704000","31.439997911453247","31.439997911453247","31.439997911453247"
"768000","29.49999976158142","29.49999976158142","29.49999976158142"
"832000","29.820000886917114","29.820000886917114","29.820000886917114"
"896000","30.630001544952393","30.630001544952393","30.630001544952393"
"960000","30.599997758865356","30.599997758865356","30.599997758865356"
"1024000","29.31000065803528","29.31000065803528","29.31000065803528"
"1088000","30.430001735687256","30.430001735687256","30.430001735687256"
"1152000","30.16000199317932","30.16000199317932","30.16000199317932"
"1216000","31.320001363754272","31.320001363754272","31.320001363754272"
"1280000","31.13000178337097","31.13000178337097","31.13000178337097"
"1344000","31.53000259399414","31.53000259399414","31.53000259399414"
"1408000","30.340001583099365","30.340001583099365","30.340001583099365"
"1472000","30.360000371932983","30.360000371932983","30.360000371932983"
"1536000","29.46999979019165","29.46999979019165","29.46999979019165"
"1600000","29.090002059936523","29.090002059936523","29.090002059936523"
"1664000","30.280003309249878","30.280003309249878","30.280003309249878"
"1728000","31.000000715255737","31.000000715255737","31.000000715255737"
"1792000","32.40999984741211","32.40999984741211","32.40999984741211"
"1856000","30.170003652572632","30.170003652572632","30.170003652572632"
"1920000","32.26000118255615","32.26000118255615","32.26000118255615"
"1984000","32.38999962806702","32.38999962806702","32.38999962806702"
"2048000","31.6899995803833","31.6899995803833","31.6899995803833"
"2112000","32.80000066757202","32.80000066757202","32.80000066757202"
"2176000","31.290000200271606","31.290000200271606","31.290000200271606"
"2240000","32.19999980926514","32.19999980926514","32.19999980926514"
"2304000","31.59000062942505","31.59000062942505","31.59000062942505"
"2368000","31.88999891281128","31.88999891281128","31.88999891281128"
"2432000","30.910000324249268","30.910000324249268","30.910000324249268"
"2496000","31.879998683929443","31.879998683929443","31.879998683929443"
"2560000","31.750003337860107","31.750003337860107","31.750003337860107"
"2624000","33.180001735687256","33.180001735687256","33.180001735687256"
"2688000","32.58000135421753","32.58000135421753","32.58000135421753"
"2752000","32.08000087738037","32.08000087738037","32.08000087738037"
