"Step","lbf10_cbam_122_baseline - SW_ep_rew_total","lbf10_cbam_122_baseline - SW_ep_rew_total__MIN","lbf10_cbam_122_baseline - SW_ep_rew_total__MAX"
"64000","11.90625","11.90625","11.90625"
"128000","11.384999871253967","11.384999871253967","11.384999871253967"
"192000","11.25","11.25","11.25"
"256000","10.019999980926514","10.019999980926514","10.019999980926514"
"320000","9.675000071525574","9.675000071525574","9.675000071525574"
"384000","7.785000026226044","7.785000026226044","7.785000026226044"
"448000","5.940000057220459","5.940000057220459","5.940000057220459"
"512000","7.499999761581421","7.499999761581421","7.499999761581421"
"576000","6.374999940395355","6.374999940395355","6.374999940395355"
"640000","4.875","4.875","4.875"
"704000","6.644999980926514","6.644999980926514","6.644999980926514"
"768000","6.284999966621399","6.284999966621399","6.284999966621399"
"832000","9.03000009059906","9.03000009059906","9.03000009059906"
"896000","7.694999992847443","7.694999992847443","7.694999992847443"
"960000","5.355000004172325","5.355000004172325","5.355000004172325"
"1024000","5.384999871253967","5.384999871253967","5.384999871253967"
"1088000","5.685000151395798","5.685000151395798","5.685000151395798"
"1152000","5.9700000286102295","5.9700000286102295","5.9700000286102295"
"1216000","6.555000185966492","6.555000185966492","6.555000185966492"
"1280000","6.914999961853027","6.914999961853027","6.914999961853027"
"1344000","8.054999947547913","8.054999947547913","8.054999947547913"
"1408000","7.274999976158142","7.274999976158142","7.274999976158142"
"1472000","5.849999770522118","5.849999770522118","5.849999770522118"
"1536000","6.060000032186508","6.060000032186508","6.060000032186508"
"1600000","6.915000081062317","6.915000081062317","6.915000081062317"
"1664000","7.755000054836273","7.755000054836273","7.755000054836273"
"1728000","6.735000014305115","6.735000014305115","6.735000014305115"
"1792000","6.644999742507935","6.644999742507935","6.644999742507935"
"1856000","5.68499993532896","5.68499993532896","5.68499993532896"
"1920000","6.8099998235702515","6.8099998235702515","6.8099998235702515"
"1984000","6.434999942779541","6.434999942779541","6.434999942779541"
"2048000","7.064999938011169","7.064999938011169","7.064999938011169"
"2112000","8.68500006198883","8.68500006198883","8.68500006198883"
"2176000","8.324999690055847","8.324999690055847","8.324999690055847"
"2240000","8.369999766349792","8.369999766349792","8.369999766349792"
"2304000","9.00000011920929","9.00000011920929","9.00000011920929"
"2368000","9.824999928474426","9.824999928474426","9.824999928474426"
"2432000","9.554999947547913","9.554999947547913","9.554999947547913"
"2496000","9.194999933242798","9.194999933242798","9.194999933242798"
