Step,cleanup_cbaminequity_aversion - SW_ep_rew_total,cleanup_cbaminequity_aversion - SW_ep_rew_total__MIN,cleanup_cbaminequity_aversion - SW_ep_rew_total__MAX
64000,-6718.374755859375,-6718.374755859375,-6718.374755859375
128000,-6171.7159423828125,-6171.7159423828125,-6171.7159423828125
192000,-5571.0306396484375,-5571.0306396484375,-5571.0306396484375
256000,-4612.18017578125,-4612.18017578125,-4612.18017578125
320000,-3688.0806274414062,-3688.0806274414062,-3688.0806274414062
384000,-3060.3165283203125,-3060.3165283203125,-3060.3165283203125
448000,-2586.755096435547,-2586.755096435547,-2586.755096435547
512000,-1998.7288208007812,-1998.7288208007812,-1998.7288208007812
576000,-1679.41943359375,-1679.41943359375,-1679.41943359375
640000,-1440.0671997070312,-1440.0671997070312,-1440.0671997070312
704000,-1078.8150939941406,-1078.8150939941406,-1078.8150939941406
768000,-825.7177124023438,-825.7177124023438,-825.7177124023438
832000,-734.5176696777344,-734.5176696777344,-734.5176696777344
896000,-657.1601791381836,-657.1601791381836,-657.1601791381836
960000,-594.7601013183594,-594.7601013183594,-594.7601013183594
1024000,-531.6700820922852,-531.6700820922852,-531.6700820922852
1088000,-535.1325988769531,-535.1325988769531,-535.1325988769531
1152000,-498.8701400756836,-498.8701400756836,-498.8701400756836
1216000,-473.7850799560547,-473.7850799560547,-473.7850799560547
1280000,-388.58753967285156,-388.58753967285156,-388.58753967285156
1344000,-361.8975372314453,-361.8975372314453,-361.8975372314453
1408000,-310.0374984741211,-310.0374984741211,-310.0374984741211
1472000,-259.12001037597656,-259.12001037597656,-259.12001037597656
1536000,-243.25500869750977,-243.25500869750977,-243.25500869750977
1600000,-199.7774887084961,-199.7774887084961,-199.7774887084961
1664000,-183.07749366760254,-183.07749366760254,-183.07749366760254
1728000,-160.42999649047852,-160.42999649047852,-160.42999649047852
1792000,-147.3374843597412,-147.3374843597412,-147.3374843597412
1856000,-130.16998100280762,-130.16998100280762,-130.16998100280762
1920000,-122.55746841430664,-122.55746841430664,-122.55746841430664
1984000,-100.82747459411621,-100.82747459411621,-100.82747459411621
2048000,-79.13747024536133,-79.13747024536133,-79.13747024536133
2112000,-76.20746803283691,-76.20746803283691,-76.20746803283691
2176000,-52.08497476577759,-52.08497476577759,-52.08497476577759
2240000,-52.5849723815918,-52.5849723815918,-52.5849723815918
2304000,-39.499983072280884,-39.499983072280884,-39.499983072280884
2368000,-31.919983625411987,-31.919983625411987,-31.919983625411987
2432000,-28.112477600574493,-28.112477600574493,-28.112477600574493
2496000,-25.639978766441345,-25.639978766441345,-25.639978766441345
2560000,-15.752484738826752,-15.752484738826752,-15.752484738826752
2624000,-12.724988460540771,-12.724988460540771,-12.724988460540771
