"Step","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"4672000","-3980.25830078125","-3980.25830078125","-3980.25830078125"
"4736000","-3625.552276611328","-3625.552276611328","-3625.552276611328"
"4800000","-3121.416229248047","-3121.416229248047","-3121.416229248047"
"4864000","-3075.3663330078125","-3075.3663330078125","-3075.3663330078125"
"4928000","-3069.1483154296875","-3069.1483154296875","-3069.1483154296875"
"4992000","-3112.9332275390625","-3112.9332275390625","-3112.9332275390625"
"5056000","-3070.7315368652344","-3070.7315368652344","-3070.7315368652344"
"5120000","-2906.545196533203","-2906.545196533203","-2906.545196533203"
"5184000","-2953.979949951172","-2953.979949951172","-2953.979949951172"
"5248000","-2775.515380859375","-2775.515380859375","-2775.515380859375"
"5312000","-2795.8837280273438","-2795.8837280273438","-2795.8837280273438"
"5376000","-2794.4500122070312","-2794.4500122070312","-2794.4500122070312"
"5440000","-2779.4000854492188","-2779.4000854492188","-2779.4000854492188"
"5504000","-2736.0169067382812","-2736.0169067382812","-2736.0169067382812"
"5568000","-2750.241912841797","-2750.241912841797","-2750.241912841797"
"5632000","-3010.8714599609375","-3010.8714599609375","-3010.8714599609375"
"5696000","-3045.2549438476562","-3045.2549438476562","-3045.2549438476562"
"5760000","-2985.870086669922","-2985.870086669922","-2985.870086669922"
"5824000","-2619.8551635742188","-2619.8551635742188","-2619.8551635742188"
"5888000","-2506.1768188476562","-2506.1768188476562","-2506.1768188476562"
"5952000","-2347.6720275878906","-2347.6720275878906","-2347.6720275878906"
"6016000","-2037.8018646240234","-2037.8018646240234","-2037.8018646240234"
"6080000","-1890.8534851074219","-1890.8534851074219","-1890.8534851074219"
"6144000","-1609.7532806396484","-1609.7532806396484","-1609.7532806396484"
"6208000","-1412.898178100586","-1412.898178100586","-1412.898178100586"
