"Step","coin3_cbamcausal_5_incentives - 0/selfish_incentivate_reward","coin3_cbamcausal_5_incentives - 0/selfish_incentivate_reward__MIN","coin3_cbamcausal_5_incentives - 0/selfish_incentivate_reward__MAX"
"64000","-0.013767432421445847","-0.013767432421445847","-0.013767432421445847"
"128000","-0.004857158754020929","-0.004857158754020929","-0.004857158754020929"
"192000","0.043958209455013275","0.043958209455013275","0.043958209455013275"
"256000","0.053673647344112396","0.053673647344112396","0.053673647344112396"
"320000","0.12446882575750351","0.12446882575750351","0.12446882575750351"
"384000","0.1470925360918045","0.1470925360918045","0.1470925360918045"
"448000","0.21799269318580627","0.21799269318580627","0.21799269318580627"
"512000","0.33888760209083557","0.33888760209083557","0.33888760209083557"
"576000","0.38527432084083557","0.38527432084083557","0.38527432084083557"
"640000","0.4251607358455658","0.4251607358455658","0.4251607358455658"
"704000","0.533740758895874","0.533740758895874","0.533740758895874"
"768000","0.5379101037979126","0.5379101037979126","0.5379101037979126"
"832000","0.5562868714332581","0.5562868714332581","0.5562868714332581"
"896000","0.5092371106147766","0.5092371106147766","0.5092371106147766"
"960000","0.5778757929801941","0.5778757929801941","0.5778757929801941"
"1024000","0.6994870901107788","0.6994870901107788","0.6994870901107788"
"1088000","0.6770183444023132","0.6770183444023132","0.6770183444023132"
"1152000","0.7303695678710938","0.7303695678710938","0.7303695678710938"
"1216000","0.7406505942344666","0.7406505942344666","0.7406505942344666"
"1280000","0.7523624300956726","0.7523624300956726","0.7523624300956726"
"1344000","0.7340800166130066","0.7340800166130066","0.7340800166130066"
"1408000","0.7048724293708801","0.7048724293708801","0.7048724293708801"
"1472000","0.7620120644569397","0.7620120644569397","0.7620120644569397"
"1536000","0.778801679611206","0.778801679611206","0.778801679611206"
"1600000","0.7880468368530273","0.7880468368530273","0.7880468368530273"
"1664000","0.7887015342712402","0.7887015342712402","0.7887015342712402"
"1728000","0.7641017436981201","0.7641017436981201","0.7641017436981201"
"1792000","0.8841477036476135","0.8841477036476135","0.8841477036476135"
"1856000","0.8657033443450928","0.8657033443450928","0.8657033443450928"
"1920000","0.8080562949180603","0.8080562949180603","0.8080562949180603"
"1984000","0.8087418079376221","0.8087418079376221","0.8087418079376221"
"2048000","0.908778965473175","0.908778965473175","0.908778965473175"
"2112000","0.85085529088974","0.85085529088974","0.85085529088974"
"2176000","0.7981120347976685","0.7981120347976685","0.7981120347976685"
"2240000","0.8681942224502563","0.8681942224502563","0.8681942224502563"
"2304000","0.8062857389450073","0.8062857389450073","0.8062857389450073"
"2368000","0.8431788682937622","0.8431788682937622","0.8431788682937622"
"2432000","0.901836097240448","0.901836097240448","0.901836097240448"
"2496000","0.8397431373596191","0.8397431373596191","0.8397431373596191"
"2560000","0.8143452405929565","0.8143452405929565","0.8143452405929565"
"2624000","0.8305560350418091","0.8305560350418091","0.8305560350418091"
"2688000","0.8635242581367493","0.8635242581367493","0.8635242581367493"
"2752000","0.8361356854438782","0.8361356854438782","0.8361356854438782"
"2816000","0.8962022066116333","0.8962022066116333","0.8962022066116333"
"2880000","0.8240328431129456","0.8240328431129456","0.8240328431129456"
"2944000","0.8820178508758545","0.8820178508758545","0.8820178508758545"
"3008000","0.8859812021255493","0.8859812021255493","0.8859812021255493"
"3072000","0.8892300128936768","0.8892300128936768","0.8892300128936768"
"3136000","0.8689150214195251","0.8689150214195251","0.8689150214195251"
"3200000","0.8935192227363586","0.8935192227363586","0.8935192227363586"
"3264000","0.8609263896942139","0.8609263896942139","0.8609263896942139"
"3328000","0.8959364891052246","0.8959364891052246","0.8959364891052246"
"3392000","0.8639591932296753","0.8639591932296753","0.8639591932296753"
"3456000","0.8924649357795715","0.8924649357795715","0.8924649357795715"
"3520000","0.8695297241210938","0.8695297241210938","0.8695297241210938"
"3584000","0.8706311583518982","0.8706311583518982","0.8706311583518982"
"3648000","0.8642377257347107","0.8642377257347107","0.8642377257347107"
"3712000","0.8913238048553467","0.8913238048553467","0.8913238048553467"
"3776000","0.9216344356536865","0.9216344356536865","0.9216344356536865"
"3840000","0.8237823843955994","0.8237823843955994","0.8237823843955994"
"3904000","0.8995512127876282","0.8995512127876282","0.8995512127876282"
