"Step","harvest_cbaminequity_aversion - SW_ep_rew_total","harvest_cbaminequity_aversion - SW_ep_rew_total__MIN","harvest_cbaminequity_aversion - SW_ep_rew_total__MAX"
"2048000","-101.35899543762207","-101.35899543762207","-101.35899543762207"
"2112000","-89.80674993991852","-89.80674993991852","-89.80674993991852"
"2176000","-75.19849586486816","-75.19849586486816","-75.19849586486816"
"2240000","-83.20624303817749","-83.20624303817749","-83.20624303817749"
"2304000","-55.08199644088745","-55.08199644088745","-55.08199644088745"
"2368000","-47.63199782371521","-47.63199782371521","-47.63199782371521"
"2432000","-36.83625212311745","-36.83625212311745","-36.83625212311745"
"2496000","-28.621246695518494","-28.621246695518494","-28.621246695518494"
"2560000","-28.1874962747097","-28.1874962747097","-28.1874962747097"
"2624000","-14.667750239372253","-14.667750239372253","-14.667750239372253"
"2688000","-15.981751918792725","-15.981751918792725","-15.981751918792725"
"2752000","-17.254498451948166","-17.254498451948166","-17.254498451948166"
"2816000","-7.949002981185913","-7.949002981185913","-7.949002981185913"
"2880000","-2.926752805709839","-2.926752805709839","-2.926752805709839"
"2944000","-0.853250996209681","-0.853250996209681","-0.853250996209681"
"3008000","-1.3747493028640747","-1.3747493028640747","-1.3747493028640747"
"3072000","3.0624970197677612","3.0624970197677612","3.0624970197677612"
"3136000","8.79674643278122","8.79674643278122","8.79674643278122"
"3200000","9.168249249458313","9.168249249458313","9.168249249458313"
"3264000","9.900750875473022","9.900750875473022","9.900750875473022"
"3328000","7.548248887062073","7.548248887062073","7.548248887062073"
"3392000","5.649750381708145","5.649750381708145","5.649750381708145"
"3456000","14.018747366964817","14.018747366964817","14.018747366964817"
"3520000","13.392994716763496","13.392994716763496","13.392994716763496"
"3584000","13.60999721288681","13.60999721288681","13.60999721288681"
"3648000","12.050001576542854","12.050001576542854","12.050001576542854"
"3712000","13.192751407623291","13.192751407623291","13.192751407623291"
"3776000","16.196996927261353","16.196996927261353","16.196996927261353"
"3840000","16.33149743080139","16.33149743080139","16.33149743080139"
"3904000","17.65374967455864","17.65374967455864","17.65374967455864"
"3968000","18.80774438381195","18.80774438381195","18.80774438381195"
"4032000","17.71824848651886","17.71824848651886","17.71824848651886"
"4096000","16.391501784324646","16.391501784324646","16.391501784324646"
"4160000","18.24549961090088","18.24549961090088","18.24549961090088"
"4224000","18.794496536254883","18.794496536254883","18.794496536254883"
"4288000","18.770997762680054","18.770997762680054","18.770997762680054"
"4352000","21.512997291982174","21.512997291982174","21.512997291982174"
"4416000","20.303750157356262","20.303750157356262","20.303750157356262"
"4480000","19.98025071620941","19.98025071620941","19.98025071620941"
"4544000","21.20900058746338","21.20900058746338","21.20900058746338"
"4608000","21.52174949645996","21.52174949645996","21.52174949645996"
"4672000","20.876251220703125","20.876251220703125","20.876251220703125"
"4736000","19.813252210617065","19.813252210617065","19.813252210617065"
"4800000","21.406747341156006","21.406747341156006","21.406747341156006"
"4864000","21.32124948501587","21.32124948501587","21.32124948501587"
"4928000","23.632996320724487","23.632996320724487","23.632996320724487"
"4992000","22.737499237060547","22.737499237060547","22.737499237060547"
"5056000","21.864251136779785","21.864251136779785","21.864251136779785"
"5120000","23.600250720977783","23.600250720977783","23.600250720977783"
"5184000","24.410749435424805","24.410749435424805","24.410749435424805"
"5248000","23.369000673294067","23.369000673294067","23.369000673294067"
"5312000","22.292249262332916","22.292249262332916","22.292249262332916"
"5376000","23.73699927330017","23.73699927330017","23.73699927330017"
"5440000","24.627748250961304","24.627748250961304","24.627748250961304"
"5504000","24.791251182556152","24.791251182556152","24.791251182556152"
"5568000","23.352749824523926","23.352749824523926","23.352749824523926"
"5632000","23.49099850654602","23.49099850654602","23.49099850654602"
"5696000","23.541998624801636","23.541998624801636","23.541998624801636"
"5760000","22.96424925327301","22.96424925327301","22.96424925327301"
"5824000","24.809500694274902","24.809500694274902","24.809500694274902"
"5888000","24.76724910736084","24.76724910736084","24.76724910736084"
"5952000","23.661999344825745","23.661999344825745","23.661999344825745"
"6016000","24.625749111175537","24.625749111175537","24.625749111175537"
"6080000","25.108748078346252","25.108748078346252","25.108748078346252"
"6144000","25.276249289512634","25.276249289512634","25.276249289512634"
"6208000","24.2275008559227","24.2275008559227","24.2275008559227"
"6272000","24.507750511169434","24.507750511169434","24.507750511169434"
"6336000","25.520501673221588","25.520501673221588","25.520501673221588"
"6400000","25.70650029182434","25.70650029182434","25.70650029182434"
"6464000","25.379501342773438","25.379501342773438","25.379501342773438"
"6528000","25.125749588012695","25.125749588012695","25.125749588012695"
"6592000","26.0672504901886","26.0672504901886","26.0672504901886"
"6656000","26.08174967765808","26.08174967765808","26.08174967765808"
"6720000","25.813000440597534","25.813000440597534","25.813000440597534"
"6784000","26.409252166748047","26.409252166748047","26.409252166748047"
"6848000","26.584251642227173","26.584251642227173","26.584251642227173"
"6912000","25.226751804351807","25.226751804351807","25.226751804351807"
"6976000","25.475749611854553","25.475749611854553","25.475749611854553"
"7040000","25.889999628067017","25.889999628067017","25.889999628067017"
"7104000","24.759751081466675","24.759751081466675","24.759751081466675"
"7168000","23.815001487731934","23.815001487731934","23.815001487731934"
"7232000","23.60574960708618","23.60574960708618","23.60574960708618"
"7296000","25.608500480651855","25.608500480651855","25.608500480651855"
"7360000","26.49274969100952","26.49274969100952","26.49274969100952"
"7424000","25.75450086593628","25.75450086593628","25.75450086593628"
"7488000","25.942750453948975","25.942750453948975","25.942750453948975"
"7552000","25.224501609802246","25.224501609802246","25.224501609802246"
"7616000","24.918249368667603","24.918249368667603","24.918249368667603"
"7680000","25.74850034713745","25.74850034713745","25.74850034713745"
"7744000","25.78275203704834","25.78275203704834","25.78275203704834"
"7808000","26.490249633789062","26.490249633789062","26.490249633789062"
"7872000","25.981499910354614","25.981499910354614","25.981499910354614"
"7936000","25.527748346328735","25.527748346328735","25.527748346328735"
"8000000","26.02799940109253","26.02799940109253","26.02799940109253"
"8064000","26.046250745654106","26.046250745654106","26.046250745654106"
"8128000","25.702499747276306","25.702499747276306","25.702499747276306"
"8192000","25.82550048828125","25.82550048828125","25.82550048828125"
"8256000","25.677751064300537","25.677751064300537","25.677751064300537"
"8320000","25.792251348495483","25.792251348495483","25.792251348495483"
"8384000","25.690499544143677","25.690499544143677","25.690499544143677"
"8448000","25.648749589920044","25.648749589920044","25.648749589920044"
"8512000","25.51799964904785","25.51799964904785","25.51799964904785"
"8576000","25.54900062084198","25.54900062084198","25.54900062084198"
"8640000","24.787251472473145","24.787251472473145","24.787251472473145"
"8704000","24.403250217437744","24.403250217437744","24.403250217437744"
"8768000","25.36125087738037","25.36125087738037","25.36125087738037"
"8832000","25.648751258850098","25.648751258850098","25.648751258850098"
"8896000","24.906501054763794","24.906501054763794","24.906501054763794"
"8960000","26.330750465393066","26.330750465393066","26.330750465393066"
"9024000","26.304750680923462","26.304750680923462","26.304750680923462"
"9088000","25.652251482009888","25.652251482009888","25.652251482009888"
"9152000","25.833500385284424","25.833500385284424","25.833500385284424"
"9216000","24.82124948501587","24.82124948501587","24.82124948501587"
