"Step","harvest_cbaminequity_aversion - SW_ep_rew_total","harvest_cbaminequity_aversion - SW_ep_rew_total__MIN","harvest_cbaminequity_aversion - SW_ep_rew_total__MAX"
"8960000","85.06995868682861","85.06995868682861","85.06995868682861"
"9024000","86.30745697021484","86.30745697021484","86.30745697021484"
"9088000","86.33495044708252","86.33495044708252","86.33495044708252"
"9152000","86.02495098114014","86.02495098114014","86.02495098114014"
"9216000","86.0074462890625","86.0074462890625","86.0074462890625"
"9280000","86.16744804382324","86.16744804382324","86.16744804382324"
"9344000","85.29995918273926","85.29995918273926","85.29995918273926"
"9408000","85.43245220184326","85.43245220184326","85.43245220184326"
"9472000","85.30494785308838","85.30494785308838","85.30494785308838"
"9536000","86.17744827270508","86.17744827270508","86.17744827270508"
"9600000","85.75994873046875","85.75994873046875","85.75994873046875"
"9664000","85.95495223999023","85.95495223999023","85.95495223999023"
"9728000","86.03994941711426","86.03994941711426","86.03994941711426"
"9792000","85.93995380401611","85.93995380401611","85.93995380401611"
"9856000","86.14995384216309","86.14995384216309","86.14995384216309"
"9920000","85.96745586395264","85.96745586395264","85.96745586395264"
"9984000","85.90995216369629","85.90995216369629","85.90995216369629"
"10048000","86.3074426651001","86.3074426651001","86.3074426651001"
