"Step","lbf10_cbam_112_baseline - SW_ep_rew_total","lbf10_cbam_112_baseline - SW_ep_rew_total__MIN","lbf10_cbam_112_baseline - SW_ep_rew_total__MAX"
"64000","24.712499380111694","24.712499380111694","24.712499380111694"
"128000","23.651997566223145","23.651997566223145","23.651997566223145"
"192000","20.628000736236572","20.628000736236572","20.628000736236572"
"256000","20.868000268936157","20.868000268936157","20.868000268936157"
"320000","20.363999128341675","20.363999128341675","20.363999128341675"
"384000","21.51599884033203","21.51599884033203","21.51599884033203"
"448000","23.316001176834106","23.316001176834106","23.316001176834106"
"512000","21.995999813079834","21.995999813079834","21.995999813079834"
"576000","21.552000761032104","21.552000761032104","21.552000761032104"
"640000","22.23600125312805","22.23600125312805","22.23600125312805"
"704000","20.652000665664673","20.652000665664673","20.652000665664673"
"768000","19.86000084877014","19.86000084877014","19.86000084877014"
"832000","18.19200038909912","18.19200038909912","18.19200038909912"
"896000","17.784000396728516","17.784000396728516","17.784000396728516"
"960000","17.772000312805176","17.772000312805176","17.772000312805176"
"1024000","18.18000054359436","18.18000054359436","18.18000054359436"
"1088000","18.600000858306885","18.600000858306885","18.600000858306885"
"1152000","16.332000732421875","16.332000732421875","16.332000732421875"
"1216000","15.899999141693115","15.899999141693115","15.899999141693115"
"1280000","16.860000371932983","16.860000371932983","16.860000371932983"
"1344000","17.61600160598755","17.61600160598755","17.61600160598755"
"1408000","16.428000688552856","16.428000688552856","16.428000688552856"
"1472000","15.900001287460327","15.900001287460327","15.900001287460327"
"1536000","17.35200071334839","17.35200071334839","17.35200071334839"
"1600000","17.49600100517273","17.49600100517273","17.49600100517273"
"1664000","16.679999589920044","16.679999589920044","16.679999589920044"
"1728000","15.516000509262085","15.516000509262085","15.516000509262085"
"1792000","13.932000160217285","13.932000160217285","13.932000160217285"
"1856000","13.944000005722046","13.944000005722046","13.944000005722046"
"1920000","14.375999927520752","14.375999927520752","14.375999927520752"
"1984000","14.243999719619751","14.243999719619751","14.243999719619751"
"2048000","15.204001188278198","15.204001188278198","15.204001188278198"
"2112000","15.420000076293945","15.420000076293945","15.420000076293945"
"2176000","14.232000589370728","14.232000589370728","14.232000589370728"
"2240000","13.355998992919922","13.355998992919922","13.355998992919922"
"2304000","13.500000238418579","13.500000238418579","13.500000238418579"
"2368000","14.400000810623169","14.400000810623169","14.400000810623169"
"2432000","14.75999903678894","14.75999903678894","14.75999903678894"
"2496000","13.476000308990479","13.476000308990479","13.476000308990479"
"2560000","12.443999528884888","12.443999528884888","12.443999528884888"
"2624000","11.79599928855896","11.79599928855896","11.79599928855896"
"2688000","11.652000784873962","11.652000784873962","11.652000784873962"
"2752000","12.131999850273132","12.131999850273132","12.131999850273132"
"2816000","12.827999711036682","12.827999711036682","12.827999711036682"
"2880000","13.127999663352966","13.127999663352966","13.127999663352966"
"2944000","13.355999946594238","13.355999946594238","13.355999946594238"
"3008000","14.820000410079956","14.820000410079956","14.820000410079956"
"3072000","14.495999336242676","14.495999336242676","14.495999336242676"
"3136000","14.651999950408936","14.651999950408936","14.651999950408936"
"3200000","15.119999647140503","15.119999647140503","15.119999647140503"
"3264000","15.731999635696411","15.731999635696411","15.731999635696411"
"3328000","15.288000583648682","15.288000583648682","15.288000583648682"
"3392000","15.456001281738281","15.456001281738281","15.456001281738281"
"3456000","15.2760009765625","15.2760009765625","15.2760009765625"
"3520000","14.315999984741211","14.315999984741211","14.315999984741211"
"3584000","14.052000045776367","14.052000045776367","14.052000045776367"
"3648000","14.075999975204468","14.075999975204468","14.075999975204468"
"3712000","14.076001644134521","14.076001644134521","14.076001644134521"
"3776000","15.072000741958618","15.072000741958618","15.072000741958618"
"3840000","15.52799940109253","15.52799940109253","15.52799940109253"
"3904000","15.26400089263916","15.26400089263916","15.26400089263916"
"3968000","14.544000387191772","14.544000387191772","14.544000387191772"
"4032000","16.3439998626709","16.3439998626709","16.3439998626709"
"4096000","15.648000240325928","15.648000240325928","15.648000240325928"
"4160000","15.516000270843506","15.516000270843506","15.516000270843506"
"4224000","16.23600196838379","16.23600196838379","16.23600196838379"
"4288000","16.092000007629395","16.092000007629395","16.092000007629395"
"4352000","15.396000862121582","15.396000862121582","15.396000862121582"
"4416000","16.260000228881836","16.260000228881836","16.260000228881836"
"4480000","15.960000038146973","15.960000038146973","15.960000038146973"
"4544000","15.576000452041626","15.576000452041626","15.576000452041626"
"4608000","16.355998754501343","16.355998754501343","16.355998754501343"
"4672000","15.503999590873718","15.503999590873718","15.503999590873718"
"4736000","14.892000913619995","14.892000913619995","14.892000913619995"
"4800000","14.519999027252197","14.519999027252197","14.519999027252197"
"4864000","15.767999172210693","15.767999172210693","15.767999172210693"
"4928000","15.911999702453613","15.911999702453613","15.911999702453613"
"4992000","14.351999998092651","14.351999998092651","14.351999998092651"
"5056000","13.584000587463379","13.584000587463379","13.584000587463379"
"5120000","14.808000564575195","14.808000564575195","14.808000564575195"
"5184000","15.348000049591064","15.348000049591064","15.348000049591064"
"5248000","16.248000144958496","16.248000144958496","16.248000144958496"
"5312000","17.14799928665161","17.14799928665161","17.14799928665161"
"5376000","16.799999475479126","16.799999475479126","16.799999475479126"
"5440000","17.208001375198364","17.208001375198364","17.208001375198364"
"5504000","17.675999641418457","17.675999641418457","17.675999641418457"
"5568000","16.607999563217163","16.607999563217163","16.607999563217163"
"5632000","16.94399929046631","16.94399929046631","16.94399929046631"
"5696000","15.76800012588501","15.76800012588501","15.76800012588501"
"5760000","16.008000373840332","16.008000373840332","16.008000373840332"
