"Step","lbf10_cbam_122_baseline - SW_ep_rew_total","lbf10_cbam_122_baseline - SW_ep_rew_total__MIN","lbf10_cbam_122_baseline - SW_ep_rew_total__MAX"
"64000","11.90625","11.90625","11.90625"
"128000","10.004999995231628","10.004999995231628","10.004999995231628"
"192000","8.489999771118164","8.489999771118164","8.489999771118164"
"256000","7.605000227689743","7.605000227689743","7.605000227689743"
"320000","7.9649999141693115","7.9649999141693115","7.9649999141693115"
"384000","6.975000023841858","6.975000023841858","6.975000023841858"
"448000","7.950000047683716","7.950000047683716","7.950000047683716"
"512000","7.755000293254852","7.755000293254852","7.755000293254852"
"576000","6.750000059604645","6.750000059604645","6.750000059604645"
"640000","8.68500018119812","8.68500018119812","8.68500018119812"
"704000","8.070000052452087","8.070000052452087","8.070000052452087"
"768000","6.404999852180481","6.404999852180481","6.404999852180481"
"832000","6.870000004768372","6.870000004768372","6.870000004768372"
"896000","7.274999916553497","7.274999916553497","7.274999916553497"
"960000","7.6649999767541885","7.6649999767541885","7.6649999767541885"
"1024000","6.495000049471855","6.495000049471855","6.495000049471855"
"1088000","6.179999887943268","6.179999887943268","6.179999887943268"
"1152000","8.445000112056732","8.445000112056732","8.445000112056732"
"1216000","7.680000305175781","7.680000305175781","7.680000305175781"
"1280000","6.929999947547913","6.929999947547913","6.929999947547913"
"1344000","4.259999990463257","4.259999990463257","4.259999990463257"
"1408000","4.304999961517751","4.304999961517751","4.304999961517751"
"1472000","5.625000029802322","5.625000029802322","5.625000029802322"
"1536000","4.635000213980675","4.635000213980675","4.635000213980675"
"1600000","4.724999964237213","4.724999964237213","4.724999964237213"
"1664000","6.255000114440918","6.255000114440918","6.255000114440918"
"1728000","7.15500020980835","7.15500020980835","7.15500020980835"
"1792000","5.519999980926514","5.519999980926514","5.519999980926514"
"1856000","5.715000033378601","5.715000033378601","5.715000033378601"
"1920000","8.459999918937683","8.459999918937683","8.459999918937683"
"1984000","7.169999837875366","7.169999837875366","7.169999837875366"
"2048000","8.849999904632568","8.849999904632568","8.849999904632568"
"2112000","9.989999771118164","9.989999771118164","9.989999771118164"
"2176000","6.585000097751617","6.585000097751617","6.585000097751617"
"2240000","7.019999861717224","7.019999861717224","7.019999861717224"
"2304000","7.380000054836273","7.380000054836273","7.380000054836273"
"2368000","7.769999861717224","7.769999861717224","7.769999861717224"
"2432000","8.505000233650208","8.505000233650208","8.505000233650208"
"2496000","6.900000095367432","6.900000095367432","6.900000095367432"
"2560000","4.560000032186508","4.560000032186508","4.560000032186508"
"2624000","5.114999918267131","5.114999918267131","5.114999918267131"
"2688000","4.559999942779541","4.559999942779541","4.559999942779541"
"2752000","4.5450000166893005","4.5450000166893005","4.5450000166893005"
"2816000","5.654999881982803","5.654999881982803","5.654999881982803"
"2880000","6.615000128746033","6.615000128746033","6.615000128746033"
"2944000","7.169999957084656","7.169999957084656","7.169999957084656"
"3008000","8.879999876022339","8.879999876022339","8.879999876022339"
"3072000","7.109999775886536","7.109999775886536","7.109999775886536"
"3136000","6.2250001430511475","6.2250001430511475","6.2250001430511475"
"3200000","6.165000140666962","6.165000140666962","6.165000140666962"
"3264000","8.115000069141388","8.115000069141388","8.115000069141388"
"3328000","8.744999885559082","8.744999885559082","8.744999885559082"
"3392000","7.020000159740448","7.020000159740448","7.020000159740448"
"3456000","6.120000004768372","6.120000004768372","6.120000004768372"
"3520000","5.745000004768372","5.745000004768372","5.745000004768372"
"3584000","5.069999873638153","5.069999873638153","5.069999873638153"
"3648000","5.069999873638153","5.069999873638153","5.069999873638153"
"3712000","3.7649999409914017","3.7649999409914017","3.7649999409914017"
"3776000","3.495000032708049","3.495000032708049","3.495000032708049"
"3840000","5.970000056549907","5.970000056549907","5.970000056549907"
"3904000","5.219999939203262","5.219999939203262","5.219999939203262"
"3968000","3.7799999080598354","3.7799999080598354","3.7799999080598354"
"4032000","3.269999921321869","3.269999921321869","3.269999921321869"
"4096000","3.375","3.375","3.375"
"4160000","3.9149999618530273","3.9149999618530273","3.9149999618530273"
"4224000","4.125","4.125","4.125"
"4288000","7.139999866485596","7.139999866485596","7.139999866485596"
"4352000","6.194999992847443","6.194999992847443","6.194999992847443"
"4416000","3.4200000166893005","3.4200000166893005","3.4200000166893005"
"4480000","4.0799999833106995","4.0799999833106995","4.0799999833106995"
"4544000","5.670000076293945","5.670000076293945","5.670000076293945"
"4608000","5.3549999594688416","5.3549999594688416","5.3549999594688416"
"4672000","7.139999985694885","7.139999985694885","7.139999985694885"
"4736000","6.929999947547913","6.929999947547913","6.929999947547913"
"4800000","5.100000023841858","5.100000023841858","5.100000023841858"
"4864000","6.944999873638153","6.944999873638153","6.944999873638153"
"4928000","9.179999947547913","9.179999947547913","9.179999947547913"
"4992000","6.885000050067902","6.885000050067902","6.885000050067902"
"5056000","5.504999995231628","5.504999995231628","5.504999995231628"
"5120000","5.354999989271164","5.354999989271164","5.354999989271164"
"5184000","5.399999976158142","5.399999976158142","5.399999976158142"
"5248000","5.069999992847443","5.069999992847443","5.069999992847443"
"5312000","5.055000066757202","5.055000066757202","5.055000066757202"
"5376000","5.369999885559082","5.369999885559082","5.369999885559082"
"5440000","4.665000110864639","4.665000110864639","4.665000110864639"
"5504000","5.519999861717224","5.519999861717224","5.519999861717224"
"5568000","4.515000015497208","4.515000015497208","4.515000015497208"
"5632000","2.9100000401958823","2.9100000401958823","2.9100000401958823"
"5696000","3.060000032186508","3.060000032186508","3.060000032186508"
"5760000","3.810000002384186","3.810000002384186","3.810000002384186"
"5824000","3.6300000846385956","3.6300000846385956","3.6300000846385956"
"5888000","7.035000026226044","7.035000026226044","7.035000026226044"
"5952000","6.945000231266022","6.945000231266022","6.945000231266022"
"6016000","4.69499996304512","4.69499996304512","4.69499996304512"
"6080000","4.560000002384186","4.560000002384186","4.560000002384186"
"6144000","7.32000008225441","7.32000008225441","7.32000008225441"
"6208000","4.950000047683716","4.950000047683716","4.950000047683716"
"6272000","4.290000081062317","4.290000081062317","4.290000081062317"
"6336000","6.3000001311302185","6.3000001311302185","6.3000001311302185"
"6400000","5.279999941587448","5.279999941587448","5.279999941587448"
"6464000","3.375","3.375","3.375"
"6528000","2.6249999701976776","2.6249999701976776","2.6249999701976776"
"6592000","4.064999997615814","4.064999997615814","4.064999997615814"
"6656000","2.92499996162951","2.92499996162951","2.92499996162951"
"6720000","3.4050001185387373","3.4050001185387373","3.4050001185387373"
