"Step","cleanup_cbam_causal - SW_ep_rew_total","cleanup_cbam_causal - SW_ep_rew_total__MIN","cleanup_cbam_causal - SW_ep_rew_total__MAX"
"64000","-4782.1875","-4782.1875","-4782.1875"
"128000","-4725.630065917969","-4725.630065917969","-4725.630065917969"
"192000","-4480.43994140625","-4480.43994140625","-4480.43994140625"
"256000","-4018.5800170898438","-4018.5800170898438","-4018.5800170898438"
"320000","-3989.97998046875","-3989.97998046875","-3989.97998046875"
"384000","-3793.75","-3793.75","-3793.75"
"448000","-3156.31005859375","-3156.31005859375","-3156.31005859375"
"512000","-2820.8899536132812","-2820.8899536132812","-2820.8899536132812"
"576000","-2435.529998779297","-2435.529998779297","-2435.529998779297"
"640000","-2006.22998046875","-2006.22998046875","-2006.22998046875"
"704000","-1621.6699829101562","-1621.6699829101562","-1621.6699829101562"
"768000","-1401.5699462890625","-1401.5699462890625","-1401.5699462890625"
"832000","-1183.8300018310547","-1183.8300018310547","-1183.8300018310547"
"896000","-1004.5799865722656","-1004.5799865722656","-1004.5799865722656"
"960000","-891.8599853515625","-891.8599853515625","-891.8599853515625"
"1024000","-735.6799926757812","-735.6799926757812","-735.6799926757812"
"1088000","-609.4700088500977","-609.4700088500977","-609.4700088500977"
"1152000","-548.0599975585938","-548.0599975585938","-548.0599975585938"
"1216000","-470.95999908447266","-470.95999908447266","-470.95999908447266"
"1280000","-371.4300003051758","-371.4300003051758","-371.4300003051758"
"1344000","-329.03000259399414","-329.03000259399414","-329.03000259399414"
"1408000","-276.61000061035156","-276.61000061035156","-276.61000061035156"
"1472000","-208.67000198364258","-208.67000198364258","-208.67000198364258"
"1536000","-212.0900001525879","-212.0900001525879","-212.0900001525879"
"1600000","-168.22999954223633","-168.22999954223633","-168.22999954223633"
"1664000","-149.05999565124512","-149.05999565124512","-149.05999565124512"
"1728000","-137.42000198364258","-137.42000198364258","-137.42000198364258"
"1792000","-104.12999725341797","-104.12999725341797","-104.12999725341797"
"1856000","-80.61999893188477","-80.61999893188477","-80.61999893188477"
"1920000","-80.90999984741211","-80.90999984741211","-80.90999984741211"
"1984000","-58.83000040054321","-58.83000040054321","-58.83000040054321"
"2048000","-43.4399995803833","-43.4399995803833","-43.4399995803833"
"2112000","-46.92999982833862","-46.92999982833862","-46.92999982833862"
"2176000","-28.579999685287476","-28.579999685287476","-28.579999685287476"
"2240000","-20.270000100135803","-20.270000100135803","-20.270000100135803"
"2304000","-16.899999670684338","-16.899999670684338","-16.899999670684338"
"2368000","-11.78999987244606","-11.78999987244606","-11.78999987244606"
"2432000","-3.7000000439584255","-3.7000000439584255","-3.7000000439584255"
"2496000","3.6000001337379217","3.6000001337379217","3.6000001337379217"
"2560000","4.249999962747097","4.249999962747097","4.249999962747097"
"2624000","3.109999919310212","3.109999919310212","3.109999919310212"
"2688000","13.489999771118164","13.489999771118164","13.489999771118164"
"2752000","15.009999811649323","15.009999811649323","15.009999811649323"
"2816000","15.680000066757202","15.680000066757202","15.680000066757202"
"2880000","12.97000002861023","12.97000002861023","12.97000002861023"
"2944000","13.559999965131283","13.559999965131283","13.559999965131283"
"3008000","20.45999974012375","20.45999974012375","20.45999974012375"
"3072000","25.87999987602234","25.87999987602234","25.87999987602234"
"3136000","23.25000023841858","23.25000023841858","23.25000023841858"
"3200000","22.15000009536743","22.15000009536743","22.15000009536743"
"3264000","24.049999713897705","24.049999713897705","24.049999713897705"
"3328000","23.889999330043793","23.889999330043793","23.889999330043793"
"3392000","21.09999966621399","21.09999966621399","21.09999966621399"
"3456000","24.190000534057617","24.190000534057617","24.190000534057617"
"3520000","19.630000352859497","19.630000352859497","19.630000352859497"
"3584000","22.070000171661377","22.070000171661377","22.070000171661377"
"3648000","27.509999990463257","27.509999990463257","27.509999990463257"
"3712000","30.180000066757202","30.180000066757202","30.180000066757202"
"3776000","31.480000019073486","31.480000019073486","31.480000019073486"
"3840000","28.859999656677246","28.859999656677246","28.859999656677246"
"3904000","27.690000534057617","27.690000534057617","27.690000534057617"
"3968000","27.630000114440918","27.630000114440918","27.630000114440918"
"4032000","28.910000324249268","28.910000324249268","28.910000324249268"
"4096000","27.080000400543213","27.080000400543213","27.080000400543213"
"4160000","25.170000076293945","25.170000076293945","25.170000076293945"
"4224000","27.360000133514404","27.360000133514404","27.360000133514404"
"4288000","28.360000610351562","28.360000610351562","28.360000610351562"
"4352000","28.949999809265137","28.949999809265137","28.949999809265137"
"4416000","32.88000011444092","32.88000011444092","32.88000011444092"
"4480000","35.71999979019165","35.71999979019165","35.71999979019165"
"4544000","37.81999969482422","37.81999969482422","37.81999969482422"
"4608000","41.519999980926514","41.519999980926514","41.519999980926514"
"4672000","39.88999938964844","39.88999938964844","39.88999938964844"
"4736000","44.99000072479248","44.99000072479248","44.99000072479248"
"4800000","44.39999961853027","44.39999961853027","44.39999961853027"
"4864000","43.09000015258789","43.09000015258789","43.09000015258789"
"4928000","37.429999351501465","37.429999351501465","37.429999351501465"
"4992000","39.8100004196167","39.8100004196167","39.8100004196167"
"5056000","40.200000286102295","40.200000286102295","40.200000286102295"
"5120000","41.4200005531311","41.4200005531311","41.4200005531311"
"5184000","41.959999084472656","41.959999084472656","41.959999084472656"
"5248000","38.52000045776367","38.52000045776367","38.52000045776367"
"5312000","40.75999927520752","40.75999927520752","40.75999927520752"
"5376000","49.36999988555908","49.36999988555908","49.36999988555908"
"5440000","54.63000011444092","54.63000011444092","54.63000011444092"
"5504000","54.42000150680542","54.42000150680542","54.42000150680542"
"5568000","50.66000032424927","50.66000032424927","50.66000032424927"
"5632000","56.09000110626221","56.09000110626221","56.09000110626221"
"5696000","56.11999988555908","56.11999988555908","56.11999988555908"
"5760000","56.30000019073486","56.30000019073486","56.30000019073486"
"5824000","54.510000228881836","54.510000228881836","54.510000228881836"
"5888000","57.5","57.5","57.5"
"5952000","54.49000072479248","54.49000072479248","54.49000072479248"
"6016000","52.21999931335449","52.21999931335449","52.21999931335449"
"6080000","55.22999954223633","55.22999954223633","55.22999954223633"
"6144000","56.34999942779541","56.34999942779541","56.34999942779541"
"6208000","61.08000087738037","61.08000087738037","61.08000087738037"
"6272000","67.36999988555908","67.36999988555908","67.36999988555908"
"6336000","70.52000141143799","70.52000141143799","70.52000141143799"
"6400000","67.19999980926514","67.19999980926514","67.19999980926514"
"6464000","67.30999946594238","67.30999946594238","67.30999946594238"
"6528000","67.14999961853027","67.14999961853027","67.14999961853027"
"6592000","67.80000019073486","67.80000019073486","67.80000019073486"
"6656000","70.66999912261963","70.66999912261963","70.66999912261963"
"6720000","73.09999942779541","73.09999942779541","73.09999942779541"
"6784000","73.05999946594238","73.05999946594238","73.05999946594238"
"6848000","67.85000038146973","67.85000038146973","67.85000038146973"
"6912000","67.97000026702881","67.97000026702881","67.97000026702881"
"6976000","78.0200023651123","78.0200023651123","78.0200023651123"
"7040000","76.18000030517578","76.18000030517578","76.18000030517578"
"7104000","78.76999950408936","78.76999950408936","78.76999950408936"
"7168000","78.35999870300293","78.35999870300293","78.35999870300293"
"7232000","74.29999923706055","74.29999923706055","74.29999923706055"
"7296000","75.11999988555908","75.11999988555908","75.11999988555908"
