"Step","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX"
"1728000","-2342.6600036621094","-2342.6600036621094","-2342.6600036621094"
"1792000","-2228.4000549316406","-2228.4000549316406","-2228.4000549316406"
"1856000","-2170.029998779297","-2170.029998779297","-2170.029998779297"
"1920000","-2277.760009765625","-2277.760009765625","-2277.760009765625"
"1984000","-2429.0800170898438","-2429.0800170898438","-2429.0800170898438"
"2048000","-2337.8200073242188","-2337.8200073242188","-2337.8200073242188"
"2112000","-2273.8900146484375","-2273.8900146484375","-2273.8900146484375"
"2176000","-2180.2100219726562","-2180.2100219726562","-2180.2100219726562"
"2240000","-1864.1800231933594","-1864.1800231933594","-1864.1800231933594"
"2304000","-1744.47998046875","-1744.47998046875","-1744.47998046875"
"2368000","-1709.75","-1709.75","-1709.75"
"2432000","-1538.3900146484375","-1538.3900146484375","-1538.3900146484375"
"2496000","-1545.489990234375","-1545.489990234375","-1545.489990234375"
"2560000","-1584.3199768066406","-1584.3199768066406","-1584.3199768066406"
"2624000","-1557.6400146484375","-1557.6400146484375","-1557.6400146484375"
"2688000","-1536.0999755859375","-1536.0999755859375","-1536.0999755859375"
"2752000","-1449.3600158691406","-1449.3600158691406","-1449.3600158691406"
"2816000","-1444.7200012207031","-1444.7200012207031","-1444.7200012207031"
"2880000","-1328.9500274658203","-1328.9500274658203","-1328.9500274658203"
"2944000","-1325.8199920654297","-1325.8199920654297","-1325.8199920654297"
"3008000","-1304.8199920654297","-1304.8199920654297","-1304.8199920654297"
"3072000","-1248.5800018310547","-1248.5800018310547","-1248.5800018310547"
"3136000","-1154.2899932861328","-1154.2899932861328","-1154.2899932861328"
"3200000","-1057.8799896240234","-1057.8799896240234","-1057.8799896240234"
"3264000","-1035.010009765625","-1035.010009765625","-1035.010009765625"
"3328000","-1023.8500061035156","-1023.8500061035156","-1023.8500061035156"
"3392000","-1036.989990234375","-1036.989990234375","-1036.989990234375"
"3456000","-1029","-1029","-1029"
"3520000","-991.7500152587891","-991.7500152587891","-991.7500152587891"
"3584000","-838.8999938964844","-838.8999938964844","-838.8999938964844"
"3648000","-819.0699920654297","-819.0699920654297","-819.0699920654297"
"3712000","-795.4200134277344","-795.4200134277344","-795.4200134277344"
"3776000","-752.6700057983398","-752.6700057983398","-752.6700057983398"
"3840000","-671.2800064086914","-671.2800064086914","-671.2800064086914"
"3904000","-625.4199981689453","-625.4199981689453","-625.4199981689453"
"3968000","-583.9800033569336","-583.9800033569336","-583.9800033569336"
"4032000","-555.6899948120117","-555.6899948120117","-555.6899948120117"
"4096000","-492.4599914550781","-492.4599914550781","-492.4599914550781"
"4160000","-489.9300003051758","-489.9300003051758","-489.9300003051758"
"4224000","-439.6899948120117","-439.6899948120117","-439.6899948120117"
"4288000","-374.200008392334","-374.200008392334","-374.200008392334"
"4352000","-361.73000717163086","-361.73000717163086","-361.73000717163086"
"4416000","-385.2700080871582","-385.2700080871582","-385.2700080871582"
"4480000","-356.58000564575195","-356.58000564575195","-356.58000564575195"
"4544000","-345.06999588012695","-345.06999588012695","-345.06999588012695"
"4608000","-323.1399917602539","-323.1399917602539","-323.1399917602539"
"4672000","-316.9600028991699","-316.9600028991699","-316.9600028991699"
"4736000","-267.70999908447266","-267.70999908447266","-267.70999908447266"
"4800000","-234.81000137329102","-234.81000137329102","-234.81000137329102"
"4864000","-235.11000442504883","-235.11000442504883","-235.11000442504883"
"4928000","-233.86999893188477","-233.86999893188477","-233.86999893188477"
"4992000","-227.5","-227.5","-227.5"
"5056000","-298.13999938964844","-298.13999938964844","-298.13999938964844"
"5120000","-297.8300018310547","-297.8300018310547","-297.8300018310547"
"5184000","-312.3999938964844","-312.3999938964844","-312.3999938964844"
"5248000","-332.1999931335449","-332.1999931335449","-332.1999931335449"
"5312000","-273.8299980163574","-273.8299980163574","-273.8299980163574"
"5376000","-242.11999893188477","-242.11999893188477","-242.11999893188477"
"5440000","-232.20999908447266","-232.20999908447266","-232.20999908447266"
"5504000","-217.64999771118164","-217.64999771118164","-217.64999771118164"
"5568000","-201.04999923706055","-201.04999923706055","-201.04999923706055"
"5632000","-218.4099998474121","-218.4099998474121","-218.4099998474121"
"5696000","-242.34000396728516","-242.34000396728516","-242.34000396728516"
"5760000","-244.02999877929688","-244.02999877929688","-244.02999877929688"
"5824000","-218.4499969482422","-218.4499969482422","-218.4499969482422"
"5888000","-194.75","-194.75","-194.75"
"5952000","-205.90000534057617","-205.90000534057617","-205.90000534057617"
"6016000","-205.71000289916992","-205.71000289916992","-205.71000289916992"
"6080000","-194.60000038146973","-194.60000038146973","-194.60000038146973"
"6144000","-207.66000366210938","-207.66000366210938","-207.66000366210938"
"6208000","-214.26000213623047","-214.26000213623047","-214.26000213623047"
"6272000","-194.77000045776367","-194.77000045776367","-194.77000045776367"
"6336000","-163.17000198364258","-163.17000198364258","-163.17000198364258"
"6400000","-169.4900016784668","-169.4900016784668","-169.4900016784668"
"6464000","-156.18999862670898","-156.18999862670898","-156.18999862670898"
"6528000","-150.3400001525879","-150.3400001525879","-150.3400001525879"
"6592000","-150.17999839782715","-150.17999839782715","-150.17999839782715"
"6656000","-139.54999923706055","-139.54999923706055","-139.54999923706055"
"6720000","-135.31999969482422","-135.31999969482422","-135.31999969482422"
"6784000","-130.11999893188477","-130.11999893188477","-130.11999893188477"
"6848000","-124.71000099182129","-124.71000099182129","-124.71000099182129"
"6912000","-130.85000038146973","-130.85000038146973","-130.85000038146973"
"6976000","-123.63999938964844","-123.63999938964844","-123.63999938964844"
"7040000","-118.01000213623047","-118.01000213623047","-118.01000213623047"
"7104000","-118.98999977111816","-118.98999977111816","-118.98999977111816"
"7168000","-105.55000305175781","-105.55000305175781","-105.55000305175781"
"7232000","-93.53999710083008","-93.53999710083008","-93.53999710083008"
"7296000","-95.6299991607666","-95.6299991607666","-95.6299991607666"
"7360000","-86.16000080108643","-86.16000080108643","-86.16000080108643"
"7424000","-91.8199987411499","-91.8199987411499","-91.8199987411499"
"7488000","-80.98000144958496","-80.98000144958496","-80.98000144958496"
"7552000","-70.55000019073486","-70.55000019073486","-70.55000019073486"
"7616000","-62.93000030517578","-62.93000030517578","-62.93000030517578"
"7680000","-63.05999946594238","-63.05999946594238","-63.05999946594238"
"7744000","-57.67000102996826","-57.67000102996826","-57.67000102996826"
"7808000","-53.989999294281006","-53.989999294281006","-53.989999294281006"
"7872000","-46.139999866485596","-46.139999866485596","-46.139999866485596"
"7936000","-57.010000228881836","-57.010000228881836","-57.010000228881836"
"8000000","-61.35000038146973","-61.35000038146973","-61.35000038146973"
"8064000","-51.90000057220459","-51.90000057220459","-51.90000057220459"
"8128000","-52.329999923706055","-52.329999923706055","-52.329999923706055"
"8192000","-42.46999931335449","-42.46999931335449","-42.46999931335449"
"8256000","-36.72999954223633","-36.72999954223633","-36.72999954223633"
"8320000","-29.90999960899353","-29.90999960899353","-29.90999960899353"
"8384000","-32.34000062942505","-32.34000062942505","-32.34000062942505"
"8448000","-28.25","-28.25","-28.25"
"8512000","-26.250000476837158","-26.250000476837158","-26.250000476837158"
"8576000","-21.949999809265137","-21.949999809265137","-21.949999809265137"
"8640000","-17.130000054836273","-17.130000054836273","-17.130000054836273"
"8704000","-15.730000153183937","-15.730000153183937","-15.730000153183937"
"8768000","-15.120000079274178","-15.120000079274178","-15.120000079274178"
"8832000","-12.100000083446503","-12.100000083446503","-12.100000083446503"
"8896000","-8.51999980211258","-8.51999980211258","-8.51999980211258"
"8960000","-14.970000267028809","-14.970000267028809","-14.970000267028809"
"9024000","-9.170000195503235","-9.170000195503235","-9.170000195503235"
"9088000","1.649999886751175","1.649999886751175","1.649999886751175"
"9152000","3.6000000834465027","3.6000000834465027","3.6000000834465027"
"9216000","1.9099999070167542","1.9099999070167542","1.9099999070167542"
"9280000","2.9400001168251038","2.9400001168251038","2.9400001168251038"
"9344000","5.720000207424164","5.720000207424164","5.720000207424164"
"9408000","7.219999969005585","7.219999969005585","7.219999969005585"
"9472000","8.669999748468399","8.669999748468399","8.669999748468399"
