"Step","coin4_cbamcausal - SW_ep_rew_total","coin4_cbamcausal - SW_ep_rew_total__MIN","coin4_cbamcausal - SW_ep_rew_total__MAX"
"64000","-5.059999942779541","-5.059999942779541","-5.059999942779541"
"128000","-5.479999899864197","-5.479999899864197","-5.479999899864197"
"192000","-5.960000157356262","-5.960000157356262","-5.960000157356262"
"256000","-5.620000004768372","-5.620000004768372","-5.620000004768372"
"320000","-4.419999659061432","-4.419999659061432","-4.419999659061432"
"384000","-4.06000018119812","-4.06000018119812","-4.06000018119812"
"448000","-4.780000150203705","-4.780000150203705","-4.780000150203705"
"512000","-4.05999943614006","-4.05999943614006","-4.05999943614006"
"576000","-5.6000001430511475","-5.6000001430511475","-5.6000001430511475"
"640000","-3.0800000429153442","-3.0800000429153442","-3.0800000429153442"
"704000","-3.3999997973442078","-3.3999997973442078","-3.3999997973442078"
"768000","-3.579999804496765","-3.579999804496765","-3.579999804496765"
"832000","-3.78000009059906","-3.78000009059906","-3.78000009059906"
"896000","-3.699999749660492","-3.699999749660492","-3.699999749660492"
"960000","-4.540000140666962","-4.540000140666962","-4.540000140666962"
"1024000","-2.5999999046325684","-2.5999999046325684","-2.5999999046325684"
"1088000","-2.080000400543213","-2.080000400543213","-2.080000400543213"
"1152000","-3.060000419616699","-3.060000419616699","-3.060000419616699"
"1216000","-2.219999670982361","-2.219999670982361","-2.219999670982361"
"1280000","-3.660000205039978","-3.660000205039978","-3.660000205039978"
"1344000","-4.420000076293945","-4.420000076293945","-4.420000076293945"
"1408000","-1.6999995708465576","-1.6999995708465576","-1.6999995708465576"
"1472000","-3.760000228881836","-3.760000228881836","-3.760000228881836"
"1536000","-1.8199999332427979","-1.8199999332427979","-1.8199999332427979"
"1600000","-4.199999928474426","-4.199999928474426","-4.199999928474426"
"1664000","-3.679999828338623","-3.679999828338623","-3.679999828338623"
"1728000","-4.399999141693115","-4.399999141693115","-4.399999141693115"
"1792000","-3.919999599456787","-3.919999599456787","-3.919999599456787"
"1856000","-3.880000114440918","-3.880000114440918","-3.880000114440918"
"1920000","-2.9200005531311035","-2.9200005531311035","-2.9200005531311035"
"1984000","-2.539999485015869","-2.539999485015869","-2.539999485015869"
"2048000","-1.6399996280670166","-1.6399996280670166","-1.6399996280670166"
"2112000","-3.039999485015869","-3.039999485015869","-3.039999485015869"
"2176000","-0.2999992370605469","-0.2999992370605469","-0.2999992370605469"
"2240000","1.0799999237060547","1.0799999237060547","1.0799999237060547"
"2304000","1.6600003242492676","1.6600003242492676","1.6600003242492676"
