"Step","harvest_original_cbam_inequity_aversion - SW_ep_rew_total","harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN","harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"2880000","-5125.016906738281","-5125.016906738281","-5125.016906738281"
"2944000","-5158.7093505859375","-5158.7093505859375","-5158.7093505859375"
"3008000","-5407.761535644531","-5407.761535644531","-5407.761535644531"
"3072000","-5357.2100830078125","-5357.2100830078125","-5357.2100830078125"
"3136000","-5373.4754638671875","-5373.4754638671875","-5373.4754638671875"
"3200000","-4982.2752685546875","-4982.2752685546875","-4982.2752685546875"
"3264000","-4544.7274169921875","-4544.7274169921875","-4544.7274169921875"
"3328000","-4545.100158691406","-4545.100158691406","-4545.100158691406"
"3392000","-4549.235046386719","-4549.235046386719","-4549.235046386719"
"3456000","-4089.1529541015625","-4089.1529541015625","-4089.1529541015625"
"3520000","-3680.0972595214844","-3680.0972595214844","-3680.0972595214844"
"3584000","-3569.9956970214844","-3569.9956970214844","-3569.9956970214844"
"3648000","-3397.518798828125","-3397.518798828125","-3397.518798828125"
"3712000","-3030.2447509765625","-3030.2447509765625","-3030.2447509765625"
"3776000","-2962.945556640625","-2962.945556640625","-2962.945556640625"
"3840000","-2689.54736328125","-2689.54736328125","-2689.54736328125"
"3904000","-2613.6812438964844","-2613.6812438964844","-2613.6812438964844"
"3968000","-2349.4122314453125","-2349.4122314453125","-2349.4122314453125"
"4032000","-2367.143524169922","-2367.143524169922","-2367.143524169922"
"4096000","-2259.2005310058594","-2259.2005310058594","-2259.2005310058594"
"4160000","-2212.11767578125","-2212.11767578125","-2212.11767578125"
"4224000","-2190.8641052246094","-2190.8641052246094","-2190.8641052246094"
"4288000","-1986.445541381836","-1986.445541381836","-1986.445541381836"
"4352000","-1748.5119934082031","-1748.5119934082031","-1748.5119934082031"
"4416000","-1583.7618255615234","-1583.7618255615234","-1583.7618255615234"
"4480000","-1489.0269927978516","-1489.0269927978516","-1489.0269927978516"
"4544000","-1326.9841003417969","-1326.9841003417969","-1326.9841003417969"
"4608000","-1281.9229431152344","-1281.9229431152344","-1281.9229431152344"
"4672000","-1231.6938934326172","-1231.6938934326172","-1231.6938934326172"
"4736000","-1059.4324951171875","-1059.4324951171875","-1059.4324951171875"
"4800000","-925.2881088256836","-925.2881088256836","-925.2881088256836"
"4864000","-867.7957763671875","-867.7957763671875","-867.7957763671875"
"4928000","-863.4214477539062","-863.4214477539062","-863.4214477539062"
"4992000","-835.8108596801758","-835.8108596801758","-835.8108596801758"
"5056000","-794.9810104370117","-794.9810104370117","-794.9810104370117"
"5120000","-740.3607597351074","-740.3607597351074","-740.3607597351074"
"5184000","-715.0983047485352","-715.0983047485352","-715.0983047485352"
"5248000","-666.6662406921387","-666.6662406921387","-666.6662406921387"
"5312000","-590.3625183105469","-590.3625183105469","-590.3625183105469"
"5376000","-492.79983139038086","-492.79983139038086","-492.79983139038086"
"5440000","-487.77645111083984","-487.77645111083984","-487.77645111083984"
"5504000","-465.6155948638916","-465.6155948638916","-465.6155948638916"
"5568000","-439.9218063354492","-439.9218063354492","-439.9218063354492"
"5632000","-452.0236930847168","-452.0236930847168","-452.0236930847168"
"5696000","-500.2836456298828","-500.2836456298828","-500.2836456298828"
"5760000","-495.47552490234375","-495.47552490234375","-495.47552490234375"
"5824000","-484.5382843017578","-484.5382843017578","-484.5382843017578"
"5888000","-474.2266101837158","-474.2266101837158","-474.2266101837158"
"5952000","-504.6665496826172","-504.6665496826172","-504.6665496826172"
"6016000","-468.94969177246094","-468.94969177246094","-468.94969177246094"
"6080000","-500.68597412109375","-500.68597412109375","-500.68597412109375"
"6144000","-492.40361404418945","-492.40361404418945","-492.40361404418945"
"6208000","-477.0237121582031","-477.0237121582031","-477.0237121582031"
"6272000","-514.9757347106934","-514.9757347106934","-514.9757347106934"
"6336000","-535.9494400024414","-535.9494400024414","-535.9494400024414"
"6400000","-572.4448623657227","-572.4448623657227","-572.4448623657227"
"6464000","-617.6180801391602","-617.6180801391602","-617.6180801391602"
"6528000","-613.7797431945801","-613.7797431945801","-613.7797431945801"
"6592000","-641.3203659057617","-641.3203659057617","-641.3203659057617"
"6656000","-604.1418151855469","-604.1418151855469","-604.1418151855469"
"6720000","-555.6741714477539","-555.6741714477539","-555.6741714477539"
"6784000","-603.3803329467773","-603.3803329467773","-603.3803329467773"
"6848000","-568.8475112915039","-568.8475112915039","-568.8475112915039"
"6912000","-585.3464584350586","-585.3464584350586","-585.3464584350586"
"6976000","-502.8748779296875","-502.8748779296875","-502.8748779296875"
"7040000","-657.8553848266602","-657.8553848266602","-657.8553848266602"
"7104000","-546.3418655395508","-546.3418655395508","-546.3418655395508"
"7168000","-580.6146850585938","-580.6146850585938","-580.6146850585938"
"7232000","-570.083625793457","-570.083625793457","-570.083625793457"
"7296000","-577.646125793457","-577.646125793457","-577.646125793457"
"7360000","-522.5289306640625","-522.5289306640625","-522.5289306640625"
"7424000","-513.6144752502441","-513.6144752502441","-513.6144752502441"
"7488000","-546.7967147827148","-546.7967147827148","-546.7967147827148"
"7552000","-509.05089950561523","-509.05089950561523","-509.05089950561523"
"7616000","-521.2714653015137","-521.2714653015137","-521.2714653015137"
"7680000","-467.977840423584","-467.977840423584","-467.977840423584"
"7744000","-463.5930862426758","-463.5930862426758","-463.5930862426758"
"7808000","-446.6409797668457","-446.6409797668457","-446.6409797668457"
"7872000","-426.05998611450195","-426.05998611450195","-426.05998611450195"
"7936000","-359.45117568969727","-359.45117568969727","-359.45117568969727"
"8000000","-450.4836540222168","-450.4836540222168","-450.4836540222168"
"8064000","-454.6147232055664","-454.6147232055664","-454.6147232055664"
"8128000","-421.7528190612793","-421.7528190612793","-421.7528190612793"
"8192000","-407.6819381713867","-407.6819381713867","-407.6819381713867"
"8256000","-380.1818428039551","-380.1818428039551","-380.1818428039551"
"8320000","-392.41333389282227","-392.41333389282227","-392.41333389282227"
