"Step","lbf10_cbamcausal - SW_ep_rew_total","lbf10_cbamcausal - SW_ep_rew_total__MIN","lbf10_cbamcausal - SW_ep_rew_total__MAX"
"64000","32.53125047683716","32.53125047683716","32.53125047683716"
"128000","32.02000188827515","32.02000188827515","32.02000188827515"
"192000","33.600000858306885","33.600000858306885","33.600000858306885"
"256000","32.40000081062317","32.40000081062317","32.40000081062317"
"320000","32.09999895095825","32.09999895095825","32.09999895095825"
"384000","32.43000030517578","32.43000030517578","32.43000030517578"
"448000","30.620002031326294","30.620002031326294","30.620002031326294"
"512000","29.40000009536743","29.40000009536743","29.40000009536743"
"576000","30.280001640319824","30.280001640319824","30.280001640319824"
"640000","31.699998378753662","31.699998378753662","31.699998378753662"
"704000","30.009999752044678","30.009999752044678","30.009999752044678"
"768000","29.490001916885376","29.490001916885376","29.490001916885376"
"832000","29.979999780654907","29.979999780654907","29.979999780654907"
"896000","30.08000111579895","30.08000111579895","30.08000111579895"
"960000","31.47000217437744","31.47000217437744","31.47000217437744"
"1024000","32.17999982833862","32.17999982833862","32.17999982833862"
"1088000","30.659998893737793","30.659998893737793","30.659998893737793"
"1152000","31.59999942779541","31.59999942779541","31.59999942779541"
"1216000","33.42000198364258","33.42000198364258","33.42000198364258"
"1280000","31.790000677108765","31.790000677108765","31.790000677108765"
"1344000","33.98000144958496","33.98000144958496","33.98000144958496"
"1408000","31.730000495910645","31.730000495910645","31.730000495910645"
"1472000","34.12000274658203","34.12000274658203","34.12000274658203"
"1536000","34.540000915527344","34.540000915527344","34.540000915527344"
"1600000","33.45000076293945","33.45000076293945","33.45000076293945"
"1664000","33.32999849319458","33.32999849319458","33.32999849319458"
"1728000","33.739999294281006","33.739999294281006","33.739999294281006"
"1792000","34.140000343322754","34.140000343322754","34.140000343322754"
"1856000","33.320000648498535","33.320000648498535","33.320000648498535"
"1920000","32.78000020980835","32.78000020980835","32.78000020980835"
"1984000","35.30000114440918","35.30000114440918","35.30000114440918"
"2048000","34.63000202178955","34.63000202178955","34.63000202178955"
"2112000","33.61000156402588","33.61000156402588","33.61000156402588"
"2176000","33.820000410079956","33.820000410079956","33.820000410079956"
"2240000","33.82000207901001","33.82000207901001","33.82000207901001"
"2304000","36.27000045776367","36.27000045776367","36.27000045776367"
"2368000","35.31000232696533","35.31000232696533","35.31000232696533"
"2432000","35.80000114440918","35.80000114440918","35.80000114440918"
"2496000","34.869999408721924","34.869999408721924","34.869999408721924"
"2560000","36.05000019073486","36.05000019073486","36.05000019073486"
"2624000","35.33999967575073","35.33999967575073","35.33999967575073"
"2688000","34.640002727508545","34.640002727508545","34.640002727508545"
"2752000","34.600001096725464","34.600001096725464","34.600001096725464"
"2816000","34.04000186920166","34.04000186920166","34.04000186920166"
"2880000","35.700000286102295","35.700000286102295","35.700000286102295"
"2944000","36.71999979019165","36.71999979019165","36.71999979019165"
"3008000","35.720001220703125","35.720001220703125","35.720001220703125"
"3072000","34.14000082015991","34.14000082015991","34.14000082015991"
"3136000","34.59999895095825","34.59999895095825","34.59999895095825"
"3200000","35.299999713897705","35.299999713897705","35.299999713897705"
"3264000","35.70000100135803","35.70000100135803","35.70000100135803"
"3328000","36.00000238418579","36.00000238418579","36.00000238418579"
"3392000","35.80000305175781","35.80000305175781","35.80000305175781"
"3456000","35.48000192642212","35.48000192642212","35.48000192642212"
"3520000","36.63999843597412","36.63999843597412","36.63999843597412"
"3584000","35.91999959945679","35.91999959945679","35.91999959945679"
"3648000","35.90000343322754","35.90000343322754","35.90000343322754"
"3712000","35.96000146865845","35.96000146865845","35.96000146865845"
"3776000","35.86000204086304","35.86000204086304","35.86000204086304"
"3840000","35.02000045776367","35.02000045776367","35.02000045776367"
"3904000","36.5799994468689","36.5799994468689","36.5799994468689"
"3968000","35.71999979019165","35.71999979019165","35.71999979019165"
"4032000","35.90000104904175","35.90000104904175","35.90000104904175"
"4096000","36.39999961853027","36.39999961853027","36.39999961853027"
"4160000","35.819998264312744","35.819998264312744","35.819998264312744"
"4224000","35.120001554489136","35.120001554489136","35.120001554489136"
"4288000","35.22000241279602","35.22000241279602","35.22000241279602"
"4352000","35.66000175476074","35.66000175476074","35.66000175476074"
"4416000","37.51999807357788","37.51999807357788","37.51999807357788"
"4480000","36.24000024795532","36.24000024795532","36.24000024795532"
"4544000","35.02000069618225","35.02000069618225","35.02000069618225"
"4608000","35.40000057220459","35.40000057220459","35.40000057220459"
"4672000","35.92000198364258","35.92000198364258","35.92000198364258"
"4736000","35.50000238418579","35.50000238418579","35.50000238418579"
"4800000","36.66000175476074","36.66000175476074","36.66000175476074"
"4864000","36.30000114440918","36.30000114440918","36.30000114440918"
"4928000","35.03999900817871","35.03999900817871","35.03999900817871"
"4992000","35.12000131607056","35.12000131607056","35.12000131607056"
"5056000","36.339999198913574","36.339999198913574","36.339999198913574"
"5120000","35.24000072479248","35.24000072479248","35.24000072479248"
"5184000","35.96000289916992","35.96000289916992","35.96000289916992"
"5248000","35.880001068115234","35.880001068115234","35.880001068115234"
"5312000","35.44000244140625","35.44000244140625","35.44000244140625"
"5376000","34.72000026702881","34.72000026702881","34.72000026702881"
"5440000","34.600000619888306","34.600000619888306","34.600000619888306"
"5504000","34.14000153541565","34.14000153541565","34.14000153541565"
"5568000","34.76000094413757","34.76000094413757","34.76000094413757"
"5632000","36.579999923706055","36.579999923706055","36.579999923706055"
"5696000","36.74000024795532","36.74000024795532","36.74000024795532"
"5760000","35.61999988555908","35.61999988555908","35.61999988555908"
"5824000","35.5400013923645","35.5400013923645","35.5400013923645"
